"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Angeles M.D.P.; Gomez-Adorno H.; Hernandez-Guevara S.D.; Corza-Vargas V.M.","Angeles, Maria Del Pilar (35092462300); Gomez-Adorno, Helena (55641734200); Hernandez-Guevara, Sinuhe David (59724028900); Corza-Vargas, Victor Manuel (57031521700)","35092462300; 55641734200; 59724028900; 57031521700","Predicting Collaborations among Research Scientists: A Datathon Experience","2025","Journal of Scientometric Research","14","1","","300","308","0","10.5530/jscires.20251453","https://www.scopus.com/pages/publications/105001977623?origin=resultslist","Departamento de Ingeniería de Sistemas Computacionales y Automatización, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de Mexico (UNAM), MEXICO, Mexico; Divulgación Académica, Centro de Estudios en Computación Avanzada, Universidad Nacional Autónoma de Mexico (UNAM), MEXICO, Mexico","Angeles M.D.P., Departamento de Ingeniería de Sistemas Computacionales y Automatización, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de Mexico (UNAM), MEXICO, Mexico; Gomez-Adorno H., Departamento de Ingeniería de Sistemas Computacionales y Automatización, Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de Mexico (UNAM), MEXICO, Mexico; Hernandez-Guevara S.D., Divulgación Académica, Centro de Estudios en Computación Avanzada, Universidad Nacional Autónoma de Mexico (UNAM), MEXICO, Mexico; Corza-Vargas V.M., Divulgación Académica, Centro de Estudios en Computación Avanzada, Universidad Nacional Autónoma de Mexico (UNAM), MEXICO, Mexico","This paper presents the challenge of predicting collaborations between research scientists as a datathon experience. The focus of the challenge task is determining whether or not the author of a research paper is keen to collaborate with another author in the future. The main aims of the datathon challenge are: (i) to show the feasibility of automatically identifying potential collaboration in a research network as a link prediction task; (ii) to propose a methodology for the environment configuration that covers data collection, selection and preparation stages required for link prediction in a massive event. (iii) to join the efforts of students from different fields of study in solving the task from a multi-disciplinary perspective. For this purpose, we created a corpus with DBLP data covering publications from 1990 to 2004. The created dataset has been made available for further research. Altogether, the datathon attracted 78 registered students, yielding 13 submissions of teams composed of 6 students each. In this paper, we compare their approaches and analyze their performance. Copyright Author (s) 2025.","Authorship predictions; Datathon; Imbalanced classification model; Link prediction problem; Topological features","","23216654","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105001977623"
"Wolf G.; Ortega-Arjona J.L.","Wolf, Gunnar (24340383200); Ortega-Arjona, Jorge Luis (15119348600)","24340383200; 15119348600","A Protocol for Solving Certificate Poisoning for the OpenPGP Keyserver Network","2024","Journal of Internet Services and Applications","15","1","","46","58","3","10.5753/JISA.2024.3810","https://www.scopus.com/pages/publications/85197185054?origin=resultslist","Universidad Nacional Autónoma de México, Mexico","Wolf G., Universidad Nacional Autónoma de México, Mexico; Ortega-Arjona J.L., Universidad Nacional Autónoma de México, Mexico","The OpenPGP encryption standard builds on a transitive trust distribution model for identity assertion, using a non-authenticated, distributed keyserver network for key distribution and discovery. An attack termed “certificate poisoning”, surfaced in 2019 and consisting in adding excessive trust signatures from inexistent actors to the victim key so that it is no longer usable, has endangered the continued operation of said keyserver network. In this article, we explore a protocol modification in the key acceptance and synchronization protocol termed First-party attested third-party certification that, without requiring the redeployment of updated client software, prevents the ill effects of certificate poisoning without breaking compatibility with the OpenPGP installed base. We also discuss some potential challenges and limitations of this approach, providing recommendations for its adoption. © 2024, Brazilian Computing Society. All rights reserved.","Certificate poisoning; Distributed trust; OpenPGP; Transitive trust models; Web of Trust","Certificate poisoning; Distributed trust; Distribution models; Encryption standards; KeyServer; OpenPGP; Transitive trust model; Transitive trusts; Trust models; Web of trust; Cryptography","18674828","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85197185054"
"Al-Jarah A.I.H.; Ortega-Arjona J.L.","Al-Jarah, Ahmed Imad Hammoodi (57267200200); Ortega-Arjona, Jorge Luis (15119348600)","57267200200; 15119348600","Enhancing the Capacity and Robustness of an LSB Algorithm Using a Novel Insertion Method, Hashing Function, and Secret Key","2024","IEEE Access","12","","","159534","159544","6","10.1109/ACCESS.2024.3483832","https://www.scopus.com/pages/publications/85207461790?origin=resultslist","National Autonomous University of Mexico (UNAM), Postgraduate in Science and Computing Engineering, Mexico City, 04510, Mexico; National Autonomous University of Mexico (UNAM), Science Faculty, Mathematics Department, Mexico City, 04510, Mexico","Al-Jarah A.I.H., National Autonomous University of Mexico (UNAM), Postgraduate in Science and Computing Engineering, Mexico City, 04510, Mexico; Ortega-Arjona J.L., National Autonomous University of Mexico (UNAM), Science Faculty, Mathematics Department, Mexico City, 04510, Mexico","Steganography hides a secret message inside another medium (cover-image) while maintaining imperceptibility and/or robustness/embedding capacity, making it a suitable candidate for keeping information safe and hiding the existence of data itself inside another medium. Secret data is susceptible to attacks or may be modified while steg-image is transiting through the Internet. The present paper explains how secret key steganography uses a new insertion method to hide information inside an image and a hashing function applied on the secret data. The SHA 256 function detects errors in data and assures its arrival without modifications. The proposed algorithm improves the security level by adding a robustness parameter (secret key and hash function) and creating a new insertion method that doubles the cover-image capacity to hide a secret message inside a color image compared with LSB, useful for keeping sensitive, relevant, and important information invulnerable. The results are compared with the LSB algorithm and related work in terms of the peak signal to noise ratio (PSNR) values, cover-image maximum capacity (MX), image quality index (Q), bit per pixel (BPP), processing time and robustness, showing that the proposed algorithm has a great balance between capacity and PSNR (big capacity with high PSNR level). It also increases the robustness level using secret key and hash function without affecting image imperceptibility. The proposed algorithm speed is outstanding, despite having complex calculations. This makes it eligible to be used in online platforms.  © 2024 The Authors.","Hiding data; image steganography; improve capacity; insertion method; robustness; secret key steganography; steganography","Steganography; Cover-image; Hashing functions; Hiding data; Image steganography; Improve capacity; Insertion methods; Peak signal to noise ratio; Robustness; Secret key; Secret key steganography; Hash functions","21693536","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85207461790"
