Title,Author,Author affiliation,Source,Sponsor,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
"Augmented Reality Interface for UR5e Robot that Transfers Parts to a Human in Collaborative Assembly","Mustafin, M. (1); Tsoy, T. (1); Bai, Y. (2); Svinin, M. (3); Chebotareva, E. (1) ","(1) Kazan Federal University, 35, Kremlyovskaya St., Russia (2) Osaka University, Graduate School of Information Science and Technology, 1-5 Yamada, Japan (3) Ritsumeikan University, College of Information Science and Engineering, 1-1-1 Noji-Higashi, Japan ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","","Springer Nature, Berlin, Germany","","1-14","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_1","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","Collaborative assembly is one of the most common tasks in collaborative robotics, which requires an efficient, simple and user-friendly way of communication with a collaborative robot. This paper presents an augmented reality (AR) interface for controlling a UR5e robot in order to get assembly parts from a robot's desktop in a collaborative assembly process. This AR interface is based on the concept of a smart mirror that recognizes user's hand gestures as control signals. A goal of the study is to investigate user perception of a contactless interaction method with a collaborative robot UR5e using the proposed AR interface. The conducted experiments involved 15 participants who are not professional operators of robots and industrial manipulators. During the experiments, the participants demonstrated a quick adaptation and an evident interest to working side by side with the UR5e robot using the AR interface. Our results suggest that the developed AR interface is flexible, intuitive for an operator, scalable in terms of development for different cases of production goals and can be recommended for equipping a workcell for collaborative assembly of various products.","20",,"assembling - augmented reality - control engineering computing - gesture recognition - human computer interaction - industrial manipulators - robot vision","assembly parts - augmented reality interface - collaborative assembly process - collaborative robot UR5e - collaborative robotics - developed AR interface - UR5e Robot - UR5e robot","E1520C Assembling - E1550A Robotics - C3390M Manipulators - C5260B Computer vision and image processing techniques - C6130V Virtual reality - C6180R Human-robot interaction - C6180 User interfaces - C7420 Control engineering computing","B25J13/00 - B25J - G06T - G05B15/00 - G06V40/20","Practical (PRA)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Development of a Computer Vision System for an Optical Sorting Robot","Didmanidze, O. (1); Karelina, M. (1); Filatov, V. (1); Rybakov, D. (1); Andriyanov, N. (1); Korchagin, S. (1); Kafiyatullina, Y. (1); Serdechnyy, D. (1) ","(1) State University of Management, 99 Ryazansky Av., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","","Springer Nature, Berlin, Germany","","213-28","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_16","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","The use of sorting robots at some stages of agricultural production seems quite promising. In addition to the high-tech design, the most important element of such robots may be a pattern recognition system, which in turn, in addition to optical devices, includes an intelligent decision support system. This paper presents the development of a computer vision system for recognizing suitable samples of grain crops for an optical sorting robot. The aim of the work is to create a reliable and efficient algorithm that can accurately determine the presence and characteristics of damage in images of wheat, oats and peas. Modern machine learning methods, such as convolutional neural networks, were implemented to train the recognition model. The development process included collecting and preparing training data, selecting and setting up the neural network architecture, as well as testing and optimizing the algorithm. A comparison of computer vision libraries YOLO, FASTER R-CNN, VISSL, OpenCV was carried out. The resulting system demonstrated high accuracy in recognizing defects and morphological features of seeds in test images, with an accuracy of up to 87%. The developed system can be used in optical sorting robots and various mechatronic applications related to automation of agricultural processes, product quality analysis, robotic phenotyping devices, as well as in seed quality control systems and in intelligent control systems for agricultural production processes in crop production.","39",,"agricultural products - agriculture - computer vision - convolutional neural nets - crops - decision support systems - deep learning (artificial intelligence) - feature extraction - intelligent control - learning (artificial intelligence) - mechatronics - neural nets - object detection - pattern recognition - product quality - production engineering computing - quality control","agricultural production processes - computer vision libraries YOLO - computer vision system - high-tech design - intelligent control systems - intelligent decision support system - optical devices - optical sorting robot - pattern recognition system - robotic phenotyping devices - seed quality control systems - sorting robots","E0410D Industrial applications of IT - E0410 Information technology applications - E1610 Inspection and quality control - E3010 Agriculture - C5260B Computer vision and image processing techniques - B6135E Image recognition - C6264 Neural nets - C7102 Decision support systems - C7480 Production engineering computing - C7860 Agriculture, forestry and fisheries computing","G06N3/02 - G06T - G06Q10/00 - A01 - G06N20/00","Practical (PRA)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Spectral characterization of the ictal phase in epileptic seizures of temporal lobe using the wavelet transform","Gonzalez-Gonzalez, G. (1); Velasco-Herrera, V.M. (2); Alvarado-Serrano, C. (3); Ortega-Aguilar, A. (4) ","(1) Universidad Nacional Autonoma de Mexico, Biophysics and Medical Physics Department, Mexico (2) Universidad Nacional Autonoma de Mexico, Solar Radiation Department, Mexico (3) Bioelectronics Section, Electrical Engineering Department, Mexico (4) Universidad Nacional Autonoma de Mexico, Biochemistry Department, Mexico ","2025 22nd International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)","","IEEE, Piscataway, NJ, USA","","1-6","2025","","","","","979-8-3315-5315-9","10.1109/CCE67728.2025.11272017","","2025 22nd International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)","2025","Mexico City, Mexico","Epilepsy is a chronic disorder of brain function related to neuronal hyperactivity and hypersychronization. The electroencephalogram is the main clinical technic used to the epilepsy diagnosis and study. The ictal phase of the epileptic activity occurs when the brain and behavior manifestations are most prominent, however, there are no objective parameters to determine it, as well as to identify its onset and offset. In this research we propose a spectral time-frequency analysis to characterize this phase. Twenty-one ictal phases of temporal lobe epilepsy from men and women with focal onset were analyzed with the wavelet transform. Specific power and frequency patterns on the spectrograms were identified in 75% of ictal phases: an intermittent activity in $\delta$ band, followed by a hypersynchronization in $\delta$ and $\theta$ bands, and finally a power dispersion from 2 to 30 Hz; regardless of onset lateralization and sex. This pattern clearly limited the onset and offset of the seizure. Additionally, power and frequencies dispersion analysis between the nearest channels to the focus and the other channels were performed. No dispersion patterns were observed, but it was proposed that it could be related to the individual brain damage caused by the recurrent seizures. In conclusion, the quantitative analysis of ictal phases by means of wavelet transform offered a new visualization of the ictal phase and highlighted objective information in power and frequency, which can be used for helping with understanding and classification of this kind of seizures.","0",,"diseases - electroencephalography - medical disorders - medical signal processing - neurophysiology - spectral analysis - time-frequency analysis - wavelet transforms","brain damage - brain function - chronic disorder - dispersion analysis - electroencephalogram - epilepsy diagnosis - epileptic activity - epileptic seizures - frequency patterns - hypersychronization - ictal phase - neuronal hyperactivity - recurrent seizures - spectral characterization - spectral time-frequency analysis - spectrograms - temporal lobe epilepsy - wavelet transform","C5260 Digital signal processing - B6140 Signal processing and detection - C7330 Biology and medical computing - B7510D Bioelectric signals - A8730C Electrical activity in neurophysiological processes - A8770F Electrodiagnostics and other electrical measurement techniques","G01N33/48 - G16B - A61B5/00","Practical (PRA); Experimental (EXP)",,,,"Inspec","Copyright 2026, The Institution of Engineering and Technology","Engineering Village"
"Minimal FCN for image segmentation","Ramos, R. (1); Olveres, J. (1); Escalante-Ramírez, B. (1) ","(1) UNAM, Facultad de Ingenierıa, Mexico ","Proceedings of SPIE","","SPIE, USA","v 12998","1299808 (12 pp.)","2024","","","1996-756X","","","10.1117/12.3022259","","Optics, Photonics, and Digital Technologies for Imaging Applications VIII","2024","Strasbourg, France","Research on interpretable CNN classifiers, involves comparing semantic segmentation masks with heat maps designed as visual explanations. A robust explanation accurately identifies or approximates the segmentation of an object. Our focus is on CNN classifiers with enhanced explainability, particularly in the middle layers. To explore this, we propose testing an encoder, trimmed to a medium layer, within a Fully Convolutional Network (FCN). Semantic segmentation is a pivotal task in computer vision preceding object recognition, and demands efficiency to optimize performance, energy consumption, and hardware costs. While various lightweight FCN proposals exist for distinct semantic segmentation tasks, their designs often introduce additional complexity compared to the more basic FCN design we advocate. Our goal is to see how well a minimal FCN works in a simple semantic segmentation task using medical images and how its accuracy changes when the training dataset is shrunk. The study involves characterizing and comparing our minimal FCN against other lightweight deep segmentation models and analyzing accuracy curves concerning the quantity of training data. Utilizing chest CT imaging, we focus on segmenting the lungs. We highlight the importance of data consumption and model size as decisive factors in selecting an architecture, especially when differences in predictive accuracy are marginal. Characterizing deep architectures based on their data requirements, allows for a thorough comparison fostering a deeper understanding of their suitability for specific applications.","11",,"computer vision - computerised tomography - convolutional neural nets - deep learning (artificial intelligence) - feature extraction - image classification - image segmentation - lung - medical image processing - object recognition","accuracy changes - analyzing accuracy curves - basic FCN design - computer vision - data consumption - demands efficiency - distinct semantic segmentation tasks - energy consumption - enhanced explainability - Fully Convolutional Network - hardware costs - heat maps - image segmentation - interpretable CNN classifiers - lightweight deep segmentation models - lightweight FCN proposals - medical images - medium layer - middle layers - minimal FCN works - object recognition - pivotal task - robust explanation - semantic segmentation masks - simple semantic segmentation task - training data - utilizing chest CT imaging - visual explanations","C5260B Computer vision and image processing techniques - B6135E Image recognition - B6135 Optical, image and video signal processing - C6264 Neural nets - C7330 Biology and medical computing - B7510P X-ray techniques: radiography and computed tomography (biomedical imaging/measurement) - A8760J X-rays and particle beams (medical uses) - A8770E Patient diagnostic methods and instrumentation","G06N3/02 - G16B - G06T - G01N33/48 - G06N20/00 - A61B6/03","Practical (PRA)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"A guided-ensembling approach for cell counting in fluorescence microscopy images","Emre Dedeagac, C. (1); Koyuncu, C.F. (2, 3); Adams, M.M. (4, 5); Edemen, C. (6); Ugurdag, B.C. (7); Ilgim Ardic-Avci, N. (4); Fatih Ugurdag, H. (6) ","(1) Ozyegin University, Department of Computer Science, Turkey (2) Georgia Institute of Technology, Department of Biomedical Engineering, Atlanta, GA 30332, United States (3) Emory University, Atlanta, GA 30322, United States (4) UNAM, Interdisciplinary Graduate Program in Neuroscience, Turkey (5) Bilkent University, Department of Psychology, Turkey (6) Ozyegin University, Department of Electrical and Electronics Engineering, Turkey (7) Georgetown University, Department of Computer Science, Washington, DC 20057, United States ","IEEE Access","","IEEE, USA","v 12","195552-60","2024","","","2169-3536","","","10.1109/ACCESS.2024.3517641","","","","","Although deep learning and computer vision based approaches have demonstrated success in the field of cell counting and detection in microscopic images, they continue to have certain limitations. More specifically, they experience an overall increase in false positives when dealing with cell populations that show high density and heterogeneity. Existing approaches require the reselection of parameters for each new dataset to improve the accuracy of cell counting. Therefore, it is necessary to revise the fundamental models for each new microscopic image. This study introduces a novel neural network-based method that eliminates the need for retraining by combining the pretrained Cellpose and Stardist models. The accuracy of our proposed approach was evaluated on a variety of microscopic images. Despite variations in cell densities, our proposed approach demonstrated a notably improved cell counting performance in comparison to solely utilizing the Cellpose and Stardist models.",,,"biology computing - cellular biophysics - computer vision - convolutional neural nets - deep learning (artificial intelligence) - image resolution - image segmentation - learning (artificial intelligence) - medical image processing - neural nets - object detection","cell densities - cell populations - computer vision based approaches - deep learning - fluorescence microscopy images - guided-ensembling approach - microscopic image - notably improved cell counting performance - novel neural network-based method","C5260B Computer vision and image processing techniques - B6135 Optical, image and video signal processing - C6264 Neural nets - C7330 Biology and medical computing - A8770E Patient diagnostic methods and instrumentation","G06T - G01N33/48 - G06N3/02 - G16B - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)",,,"All Open Access, Gold","Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Development Of An Algorithm For Strength Training With Use Haptic Feedback And Artificial Intelligence (AI) Based Enhancement","Villegas-Jimenez, E.A. (1); Bello-Guerrero, A.H. (1); Padilla-Torres, M.D. (1); Villagomez-Venegas, L.N. (1); Chavez-Ramirez, C.S. (1) ","(1) Universidad Nacional Autonoma de Mexico, Facultad de Estudios Superiores Aragon, Mexico ","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)","","IEEE, Piscataway, NJ, USA","","1-6","2025","","","","","979-8-3315-3559-9","10.1109/ICECET63943.2025.11472504","","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)","2025","Paris, France","The increasing popularity of the use of AI in everyday life has enabled the development of virtual systems for human assistance. This research proposes an implemented linear regression model with a vector of random weights, using a mean square error (MSE), based cost function and regularisation and corresponding Python code that integrates AI-based haptic feedback through vibration, specifically designed to optimise weight training.The results of the simulation model analysis show how key biomechanical parameters are identified and used to improve a person's posture by adjusting technique through real-time vibrational stimuli. The development of the system involves physical benefits such as injury prevention, continuous biomechanical monitoring, adaptive programme structuring and haptic vibration feedback for immediate movement correction. Popular and accurate tools for building linguistic models are mentioned, such as machine learning, computer vision and neural networks. Technological tools such as machine learning, computer vision and neural networks, applied to process biomechanical data and trigger personalised vibrational responses, are highlighted.",,,"biomechanics - computer vision - force feedback - haptic interfaces - learning (artificial intelligence) - mean square error methods - neural nets - Python - regression analysis - vibrations","adaptive programme structuring - AI-based haptic feedback - artificial intelligence - based cost function - biomechanical data - computer vision - continuous biomechanical monitoring - corresponding python code - haptic vibration feedback - human assistance - immediate movement correction - implemented linear regression model - injury prevention - key biomechanical parameters - linguistic models - machine learning - mean square error - MSE - neural networks - random weights - real-time vibrational stimuli - simulation model analysis - trigger personalised vibrational responses - virtual systems - weight training","C1140V Regression analysis - C6264 Neural nets - C7330 Biology and medical computing","G06N3/02 - G16B - G06F8/40 - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2026, The Institution of Engineering and Technology","Engineering Village"
"Neural style transfer in tiny sets of ultrasound images for data augmentation","Camargo, A.M. (1); Olveres, J. (2, 3); Escalante-Ramírez, B. (2, 3) ","(1) Universidad Nacional Autónoma de México, Mexico City, Mexico (2) Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico (3) Centro de Estudios en Computación Avanzada, Universidad Nacional Autónoma de México, Mexico City, Mexico ","Proceedings of SPIE - The International Society for Optical Engineering","The Society of Photo-Optical Instrumentation Engineers (SPIE)","SPIE","v 12998","","2024","Optics, Photonics, and Digital Technologies for Imaging Applications VIII","2024","0277786X","1996756X","9781510673144","10.1117/12.3017658","1299805","Optics, Photonics, and Digital Technologies for Imaging Applications VIII 2024","April 9, 2024 - April 11, 2024","","Deep learning models (DLM) encounter challenges in medical image segmentation and classification tasks, primarily due to the requirement for a substantial volume of annotated images, which are both time-consuming and expensive to acquire. In our work, we utilize neural style transfer (NST) to enhance a tiny dataset of ultrasound images, significantly improving the performance of deep learning models (DLM). Additionally, we explore style interpolation to generate new target styles, specifically tailored for ultrasound images. In summary, our objective is to demonstrate the potential utility of neural style transfer in scenarios with limited datasets, particularly in the context of ultrasound images using the dataset of breast ultrasound images (Walid Al-Dhabyani, Mohammed Gomaa, Hussien Khaled, & Aly Fahmy, 2020). © 2024 SPIE.","10","Medical imaging","Deep learning - Image enhancement - Image segmentation - Learning systems - Ultrasonics","Classification tasks - Data augmentation - Deep learning - Learning models - Medical image classification - Medical image segmentation - Neural style transfer - Performance - Style interpolation - Ultrasound images","461.1 Biomedical Engineering - 461.4 Ergonomics and Human Factors Engineering - 746 Imaging Techniques - 753.1 Ultrasonic Waves","",,"Number: 1228000, Acronym: Conahcyt, Sponsor: Consejo Nacional de Humanidades, Ciencias y Tecnolog&iacute;as; Number: IT101624,IN108624, Acronym: -, Sponsor: -; ","CONAHCYT for the received fellowship 1228000 to study the master in Posgrado en Ciencia e Ingenier\u00EDa de la Computaci\u00F3n at Universidad Nacional Aut\u00F3noma de M\u00E9xico UNAM. UNAM PAPIIT grants IT101624 and IN108624.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Generating a database for deep learning-based applications in multimodal tomography of the human brain","Osorio-Durán, R. (1, 2); Adame-Ocampo, G.A. (2); Martínez-Gudiño, M.D.L. (2); Rodríguez-Villafuerte, M. (1); Moncada-Gutiérrez, F. (1); Martínez-Dávalos, A. (1) ","(1) Universidad Nacional Autonoma de Mexico, Physica Institute, Mexico (2) National Institute of Phsychiatry 'Ramón de la Fuente Muñiz', Mexico ","AIP Conference Proceedings","","AIP Publishing, USA","v 3391, n 1","040018 (6 pp.)","22 Dec 2025","","","1551-7616","","","10.1063/5.0308438","","EIGHTEENTH MEXICAN SYMPOSIUM ON MEDICAL PHYSICS","2024","Guanajuato, Mexico","We present a preliminary database of human brain studies of 25 adult subjects (age range 18 to 72 years, 8 men and 17 women). The images were obtained at Instituto Nacional de Psiquiatría 'Ramón de la Fuente Muñiz' (INPRFM). All subjects underwent brain perfusion imaging using Tc99m-ECD, an X-ray CT scan, and magnetic resonance imaging at T1-weighted, T2-weighted, and FLAIR. The images were passed through visual inspection of expert nuclear medicine radiologists. The specific acquisition parameters and the image processing chain, which included anonymization, removal of the table in CT images, co-registration, and spatial and intensity normalization, are described. The database was compiled in two different formats: DICOM for unprocessed data, and NIfTI for co-registered multimodal images. Results on the application of neural networks in the process of generating attenuation-corrected SPECT images, and synthetic CT images generated from T1 MRI images are presented. Permission was obtained from the INPRFM Ethics Committee to use the images in the database. [The copyright for the referenced work is owned by Author(s). Copies of full-text articles should only be made or obtained from the publisher or authorized sources.]","11",,"biomedical MRI - brain - deep learning (artificial intelligence) - image reconstruction - image segmentation - medical image processing - single photon emission computed tomography - technetium","acquisition parameters - age 18.0 year to 72.0 year - attenuation-corrected SPECT images - brain perfusion imaging - co-registered multimodal images - deep learning-based applications - DICOM - expert nuclear medicine radiologists - FLAIR - human brain studies - image processing chain - INPRFM ethics committee - intensity normalization - magnetic resonance imaging - multimodal tomography - neural networks - NIfTI - synthetic CT images - T1 MRI images - T2-weighted - Tc99m-ECD - visual inspection - X-ray CT scan","C1250M Image recognition - A2980F Programming for nuclear information processing - C5260B Computer vision and image processing techniques - B6135 Optical, image and video signal processing - C6160 Database management systems (DBMS) - C6264 Neural nets - C7330 Biology and medical computing - B7510R Nuclear medicine, emission tomography - B7510P X-ray techniques: radiography and computed tomography (biomedical imaging/measurement) - B7510N Biomedical magnetic resonance imaging and spectroscopy - A8730 Biophysics of neurophysiological processes - A8760J X-rays and particle beams (medical uses) - A8760I Medical magnetic resonance imaging and spectroscopy - A8760K Nuclear medicine, emission tomography - A8770E Patient diagnostic methods and instrumentation","G06F16/00 - G01T - G01T1/164 - G06T - G16B - G01N33/48 - G06N3/02 - A61B5/055 - G06N20/00","Practical (PRA); Experimental (EXP)",,,,"Inspec","Copyright 2026, The Institution of Engineering and Technology","Engineering Village"
"Human-robot physical interaction system as a tool for neurocognitive stimulation in children with ADHD in Mexico","Aparicio-Juarez, J. (1); Dominguez-Ramirez, O.A. (1); Sepulveda-Cervantes, G. (2); Garcia-Blancas, J. (1); Ramirez-Zamora, J.D. (1); Escotto-Cordova, E.A. (3); Reyes-Hernandez, I. (4) ","(1) Autonomous University of the State of Hidalgo, Mexico (2) National Polytechnic Institute, Center for Technological Innovation and Development in Computing, Mexico (3) National Autonomous University of Mexico, Faculty of Higher Studies Zaragoza, Mexico (4) Autonomous University of the State of Hidalgo, Pachuca, Mexico ","2024 XXVI Robotics Mexican Congress (COMRob)","","IEEE, Piscataway, NJ, USA","","39-46","2024","","","","","979-8-3315-3339-7","10.1109/COMRob64055.2024.10777441","","2024 XXVI Robotics Mexican Congress (COMRob)","2024","Torreon, Mexico","This research work promotes the use of an interactive virtual environment, with the purpose of strengthening neurocognitive stimulation in children with ADHD (Attention Deficit Hyperactivity Disorder), through a human-robot physical interaction system (HRpI); as well as establishing the conditions that allow the application of supervised and unsupervised machine learning techniques that favor diagnosis. Clinical evaluation strategies in care and treatment centers for neurodivergent children are based on the Diagnostic and Statistical Manual of Mental Disorders (DSM-5); however, not using integrated technological platforms with biofeedback and neurophysiological stimulation associated with each case study, which contributes to the improvement of the clinical procedure. The proposed HRpI system is constituted by a haptic device with the human operator (patient) in the control loop. The movement instructions are designed based on a clinical protocol that evaluates hand-eye coordination, based on virtual mazes to navigate with one or two upper limbs. The platform is configured with strategies: i) passive haptic guidance and ii) active haptic exploration. In the first case, the robot guides the human in the optimal solution, correcting the interactive forces that condition the presence of disturbances, and shape the required energy; and in the second case, the human voluntarily solves the maze, which implies that the velocity and instantaneous position are variable. Kinesthetic force feedback is based on a viscoelasticity model (spring-damper system) in both haptic interaction strategies. During the development of the task, the instrumentation of brain waves are correlated with the state of the robotic system (position, velocity, energy and instantaneous errors); all this for the evaluation of performance metrics that contribute to the diagnosis. The expected result corresponds to determining the engram in terms of duration and frequency in brain plasticity for self-regulation purposes of the neurodivergent patient; as well as its impact as a value proposition to the Continuous Improvement School Program (PEMC) of basic education institutions in Mexico.",,,"brain - educational institutions - force feedback - haptic interfaces - human-robot interaction - interactive systems - learning (artificial intelligence) - medical disorders - neurophysiology - patient treatment - psychology - virtual reality - viscoelasticity","ADHD - Attention Deficit Hyperactivity Disorder - clinical evaluation strategies - haptic interaction strategies - HRpI system - human operator - human-robot physical interaction system - interactive forces - interactive virtual environment - neurocognitive stimulation - neurodivergent children - neurophysiological stimulation - robotic system - spring-damper system","C0240 Ergonomic aspects of computing - C3385 Biological and medical control systems - C3390 Robotics - C5540B Interactive-input devices - C6130V Virtual reality - C6180R Human-robot interaction - C6180 User interfaces - C7330 Biology and medical computing - A8770G Patient care and treatment","B25J13/00 - G16B - G06F3/00 - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Intelligent MRI diagnosis of neurological alterations in infants from 4 to 12 months","Calderon-Uribe, S. (1); Morales-Hernandez, L.A. (1); De Leo-Jimenez, J.O. (2); Resendiz-Ochoa, E. (1); Toledano-Ayala, M. (3); Cruz-Albarran, I.A. (1) ","(1) Autonomous University of Queretaro, Laboratory of Artificial Vision and Thermography, Mexico (2) National Autonomous University of Mexico, Neurodevelopment Research Unit of the Institute of Neurobiology, Mexico (3) Autonomous University of Queretaro, Research and Postgraduate Division, Mexico ","International Journal of Imaging Systems and Technology","","Wiley, USA","v 34, n 3","e23074 (17 pp.)","2024","","","1098-1098","","","10.1002/ima.23074","","","","","Magnetic resonance imaging is an essential tool for the identification of neurological problems since it provides relevant information on brain development. The aim of the present work was the detection of neurological alterations in newborns from 4 to 12 months of age by segmentation and analysis of lateral ventricles in magnetic resonance images. For this purpose, an automated deep approach based on U-net is proposed to segment the cerebral ventricles of the newborn. Subsequently, for these regions, features were extracted based on the patient's clinical history and on the shape (area, roundness, normalized central moment, among others) and pixel intensity (mean gray value, contrast level, among others). Once the features were extracted, different types of intelligent models (Logistic Regression, k-Nearest Neighbors (kNN), and a Convolutional Neural Network) were assessed to detect the presence of neurological alterations. The segmentation phase of the system was tested on 50 patients and the classification phase on 28 patients (11 healthy, 17 with neurological changes). The results show a DICE similarity coefficient of 0.89 and a volume ratio of 1.05 for the segmentation stage and an accuracy of 98%, precision of 100%, sensitivity of 92%, and specificity of 100% for the classification stage using kNN. The last one proved to be the most computationally feasible model, due to the time required for training and inference (0.36 s and 35.2e-4 s, respectively), as well as the consumption of computational resources (0.1 GB RAM CPU). In conclusion, it is possible to detect neurological alterations in newborns aged 4 to 12 months by segmenting and classifying the lateral ventricles in magnetic resonance images, using image processing techniques, the U-net, as well as the kNN algorithm. This proposed methodology could play an important role in the early diagnosis and treatment of neurological disorders. © 2024 Wiley Periodicals, LLC.","75",,"biomedical MRI - brain - convolutional neural nets - feature extraction - image segmentation - logistic regression - medical disorders - medical image processing - neurophysiology","intelligent MRI diagnosis - lateral ventricles - magnetic resonance images - magnetic resonance imaging - neurological alterations - neurological disorders - neurological problems - newborns - segmentation phase - segmentation stage","B0240V Regression analysis - C1140V Regression analysis - C5260B Computer vision and image processing techniques - B6135E Image recognition - C6264 Neural nets - C7330 Biology and medical computing - B7510N Biomedical magnetic resonance imaging and spectroscopy - A8730 Biophysics of neurophysiological processes - A8760I Medical magnetic resonance imaging and spectroscopy - A8770E Patient diagnostic methods and instrumentation","G01N33/48 - G06T - G06N3/02 - G16B - A61B5/055","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
