Title,Author,Author affiliation,Source,Sponsor,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
"Noise factor in a chain mail birdcage coil for enhanced preclinical MRI at 7 Tesla","Ruiz, R. (1); Lazovic, J. (2); Rodriguez, A.O. (3); Solís-Nájera, S.E. (4) ","(1) Universidad Nacional Autonoma de Mexico, Mexico (2) Max Planck Institute for Intelligent Systems, Department of Physical Intelligence, Germany (3) Universidad Autonoma Metropolitana - Iztapalapa, Department of Electrical Engineering, Mexico (4) Universidad Nacional Autonoma de Mexico, Departamento de Fisica, Mexico ","AIP Conference Proceedings","","AIP Publishing, USA","v 3391, n 1","040011 (5 pp.)","22 Dec 2025","","","1551-7616","","","10.1063/5.0309384","","EIGHTEENTH MEXICAN SYMPOSIUM ON MEDICAL PHYSICS","2024","Guanajuato, Mexico","This study introduces a modified birdcage coil featuring a chain mail configuration to enhance performance in preclinical MRI studies at 7 Tesla, with a focus on achieving a low noise factor. Phantom images were meticulously obtained and compared with an in-house birdcage coil to assess the noise factor and overall performance. Remarkably, the chain mail birdcage coil demonstrated a noise factor comparable to the in-house birdcage coil, despite employing a distinct coil rung configuration. The findings suggest that the modified chain mail birdcage coil could emerge as a promising alternative to the conventional birdcage coil commonly used in both clinical and preclinical MRI. This potential shift holds the promise of improving imaging capabilities without compromising on noise performance. [The copyright for the referenced work is owned by Author(s). Copies of full-text articles should only be made or obtained from the publisher or authorized sources.]","13",,"biomedical equipment - biomedical MRI - coils - medical image processing - phantoms","7 Tesla - chain mail configuration - clinical MRI - conventional birdcage coil - distinct coil rung configuration - enhanced preclinical MRI - in-house birdcage coil - low noise factor - modified birdcage coil - modified chain mail birdcage coil - noise performance - preclinical MRI studies","C5260B Computer vision and image processing techniques - B6135 Optical, image and video signal processing - C7330 Biology and medical computing - B7510N Biomedical magnetic resonance imaging and spectroscopy - A8740 Biomagnetism - A8760I Medical magnetic resonance imaging and spectroscopy - A8770E Patient diagnostic methods and instrumentation","G01N33/48 - G06T - G16B - H01F5/00 - H01F27/28 - A61B5/055","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2026, The Institution of Engineering and Technology","Engineering Village"
"Synthetic versus real: exploring the impact of synthetic data on medical image classification","Moreno-Tagle, J.C. (1); Olveres, J. (1); Escalante-Ramírez, B. (1) ","(1) Universidad Nacional Autonoma de Mexico, Posgrado en Ciencia e Ingenierıa de la Computacio, Mexico ","Proceedings of SPIE","","SPIE, USA","v 12998","1299802 (10 pp.)","2024","","","1996-756X","","","10.1117/12.3022261","","Optics, Photonics, and Digital Technologies for Imaging Applications VIII","2024","Strasbourg, France","This study explores the impact of synthetic medical images, created through Stable Diffusion, on neural network training for lung condition classification. Using a hybrid dataset combining real and synthetic images, diverse state-of-the-art vision models were trained. Neural networks effectively learned from synthetic data, its performance is similar or superior to models trained purely on real images as long as the training is carried out under equal conditions: same architecture, same number of epochs, same training style, same resolution of the input image. We selected ConvNext-small as our test architecture. Its best performance when trained with a hybrid dataset (synthetic and real images) was 89% while when trained with purely real images it was 85%. These results were obtained when evaluated with an external validation data set curated by a radiologist. However, hybrid models seem to show a limit in their performance when exploring different training techniques. In contrast, a simpler architecture trained with only real images can take advantage of more complex training regimes to elevate its final performance. In this regard, our best hybrid-trained model (ConvNext-small) achieved an external validation accuracy of 87% while ResNet-34 attained a 93% validation accuracy trained only on real images. Both models were evaluated with the real-image-only dataset provided by the radiologist. This study concludes by comparing our top AI models and radiologists' performance levels.","15",,"convolutional neural nets - deep learning (artificial intelligence) - feature extraction - image classification - learning (artificial intelligence) - lung - medical image processing - neural nets","complex training regimes - different training techniques - diverse state-of-the-art vision models - equal conditions - external validation accuracy - external validation data - hybrid dataset - hybrid models - hybrid-trained model - input image - lung condition classification - medical image classification - neural network training - neural networks - radiologists - real-image-only dataset - simpler architecture - Stable Diffusion - synthetic data - synthetic images - synthetic medical images - test architecture - top AI models - training style","C5260B Computer vision and image processing techniques - B6135E Image recognition - B6135 Optical, image and video signal processing - C6264 Neural nets - C7330 Biology and medical computing - A8770E Patient diagnostic methods and instrumentation","G01N33/48 - G06N3/02 - G06T - G16B - G06N20/00","Practical (PRA)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Fish Image Classification Based on MobileNetV2 with Transfer Learning Technique for Robotic Application in Aquaculture","Van Nghia, L. (1); Van Tuyen, T. (2); Ronzhin, A. (1) ","(1) St. Petersburg Federal Research Center of the Russian Academy of Sciences (SPC RAS), 39, 14Th Line V.O., St. Petersburg, Russia (2) Le Quy Don Technical University, Viet Nam ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","","Springer Nature, Berlin, Germany","","201-12","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_15","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","Intelligent aquaculture helps solve the problems of traditional aquaculture by applying smart production methods. The combination of technology and the art of farming has opened the door to the smart seafood industry, where artificial intelligence, IoT and automation systems are effectively applied and are completely changing management. From water quality management to monitoring the health of farm animals, harvesting, and feeding are all done automatically and quickly with high efficiency. Among them, fish classification is an essential task in smart aquaculture. In the field of image classification DCNN has achieved remarkable successes. However, applying DCNN models also requires a large amount of data to train the model and a long training time. Therefore, applying a model based on MobileNetv2 has solved these problems. In this article, the fish image classification method based on MobileNetv2 with Transfer learning is applied. We used the MobileNetV2 network pre-trained by the ImageNet dataset as the base network and added the following layers to the base model and Softmax classifier, this new model is Adam optimized. This method finally achieved a classification accuracy of 98.18% in the test dataset of 330 images of 5 fish types.","27",,"aquaculture - artificial intelligence - convolutional neural nets - deep learning (artificial intelligence) - feature extraction - image classification - Internet of Things - learning (artificial intelligence) - pattern classification - quality management - water quality","5 fish types - applying DCNN models - artificial intelligence - automation systems - base network - classification accuracy - farm animals - fish classification - fish image classification method - image classification DCNN - intelligent aquaculture - long training time - MobileNetV2 network pre-trained - robotic application - smart aquaculture - smart production methods - smart seafood industry - traditional aquaculture - Transfer learning technique - water quality management","E3010 Agriculture - C5260B Computer vision and image processing techniques - C5620D Internet of Things - B6135E Image recognition - C6264 Neural nets - C7330 Biology and medical computing - C7860 Agriculture, forestry and fisheries computing","G16B - H04L12/28 - G16Y - G06T - A01 - G06N3/02 - A01K61/00 - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Synthetic versus real: Exploring the impact of synthetic data on medical image classification","Moreno-Tagle, José Carlos (1, 2); Olveres, Jimena (2, 3); Escalante-Ramírez, Boris (2, 3) ","(1) Universidad Nacional Autónoma de México, Mexico City, Mexico (2) Departamento de Procesamiento de Señales, Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico (3) Centro de Estudios en Computación Avanzada, Universidad Nacional Autónoma de México, Mexico City, Mexico ","Proceedings of SPIE - The International Society for Optical Engineering","The Society of Photo-Optical Instrumentation Engineers (SPIE)","SPIE","v 12998","","2024","Optics, Photonics, and Digital Technologies for Imaging Applications VIII","2024","0277786X","1996756X","9781510673144","10.1117/12.3022261","1299802","Optics, Photonics, and Digital Technologies for Imaging Applications VIII 2024","April 9, 2024 - April 11, 2024","","This study explores the impact of synthetic medical images, created through Stable Diffusion, on neural network training for lung condition classification. Using a hybrid dataset combining real and synthetic images, diverse state-of-the-art vision models were trained. Neural networks effectively learned from synthetic data, its performance is similar or superior to models trained purely on real images as long as the training is carried out under equal conditions: same architecture, same number of epochs, same training style, same resolution of the input image. We selected ConvNext-small as our test architecture. Its best performance when trained with a hybrid dataset (synthetic and real images) was 89% while when trained with purely real images it was 85%. These results were obtained when evaluated with an external validation data set curated by a radiologist. However, hybrid models seem to show a limit in their performance when exploring different training techniques. In contrast, a simpler architecture trained with only real images can take advantage of more complex training regimes to elevate its final performance. In this regard, our best hybrid-trained model (ConvNext-small) achieved an external validation accuracy of 87% while ResNet-34 attained a 93% validation accuracy trained only on real images. Both models were evaluated with the real-image-only dataset provided by the radiologist. This study concludes by comparing our top AI models and radiologists’ performance levels. © 2024 SPIE.","15","Classification (of information)","Biological organs - Image classification - Medical imaging - Network architecture - Neural networks","Condition - Convnet - Hybrid dataset - Lung condition classification - Neural networks trainings - Performance - Real images - Stable diffusion - Synthetic medical image - Vision transformer","461.1 Biomedical Engineering - 461.2 Biological Materials and Tissue Engineering - 716.1 Information Theory and Signal Processing - 723.2 Data Processing and Image Processing - 746 Imaging Techniques - 903.1 Information Sources and Analysis","",,"Number: IT101624,IN108624, Acronym: UNAM, Sponsor: Universidad Nacional Aut&oacute;noma de M&eacute;xico; Number: -, Acronym: UNAM, Sponsor: Universidad Nacional Aut&oacute;noma de M&eacute;xico; Number: 857565, Acronym: Conahcyt, Sponsor: Consejo Nacional de Humanidades, Ciencias y Tecnolog&iacute;as; Number: -, Acronym: Conahcyt, Sponsor: Consejo Nacional de Humanidades, Ciencias y Tecnolog&iacute;as; ","Authors wish to thank UNAM PAPIIT grants IT101624 and IN108624 for sponsoring this research. Jose Carlos would like to thank CONAHCYT (Consejo Nacional de Humanidades, Ciencias y Tecnologias) for the financial support (CVU: 857565) during his graduate studies. Many thanks to Carlos Valencia, M.D. and his medical team for their invaluable contributions in data collection, consulting and feedback in medical imaging and for having faith in our AI models as medical assistants in the midst of a health emergency.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"RF coil that minimizes electronic components while enhancing performance for rodent MRI at 7 Tesla","Vazquez, F. (1); Villareal, A. (1); Lazovic, J. (2); Martin, R. (1); Solis-Najera, S.E. (1); Rodriguez, A.O. (3) ","(1) Universidad Nacional Autonoma de Mexico, Departamento de Fisica, Mexico (2) Max Planck Institute for Intelligent Systems, Department of Physical Intelligence, Germany (3) Universidad Autonoma Metropolitana-Iztapalapa, Department of Electrical Engineering, Mexico ","Biomedical Physics & Engineering Express","","IOP Publishing, UK","v 10, n 5","055040 (10 pp.)","2024","","","2057-1976","","","10.1088/2057-1976/ad7265","","","","","This study introduces a novel volume coil design that features two slotted end-plates connected by six rungs, resembling the traditional birdcage coil. The end rings are equipped with six evenly distributed circular slots, inspired by Mansfield's cavity resonator theory, which suggests that circular slots can generate a baseline resonant frequency. One notable advantage of this proposed coil design is its reduced reliance on electronic components compared to other volume coils, making it more efficient. Additionally, the dimensions of the coil can be theoretically computed in advance, enhancing its practicality. To evaluate the performance and safety of the coil, electromagnetic field and specific absorption rate simulations were simulated using a cylindrical saline phantom and the finite element method. Furthermore, a transceiver coil prototype optimized for 7 Tesla and driven in quadrature was constructed, enabling whole-body imaging of rats. The resonant frequency of the coil prototype obtained through experimental measurements closely matched the theoretical frequency derived from Mansfield's theory. To validate the coil design, phantom images were acquired to demonstrate its viability and assess its performance. These images also served to validate the magnetic field simulations. The experimental results aligned well with the simulation findings, confirming the reliability of the proposed coil design. Importantly, the prototype coil showcased significant improvements over a similarly-sized birdcage coil, indicating its potential for enhanced performance. The noise figure was lower in the prototype versus the birdcage coil (NFbirdcage − NFslotcage = 0.7). Phantom image data were also used to compute the image SNR, giving SNRslotcage/SNRbirdcage = 34.36/24.34. By proving the feasibility of the coil design through successful rat whole-body imaging, the study provides evidence supporting its potential as a viable option for high-field MRI applications on rodents.","42",,"biomedical equipment - biomedical MRI - coils - finite element analysis - medical image processing - phantoms - plates (structures)","baseline resonant frequency - electronic components - evenly distributed circular slots - Mansfield's cavity resonator theory - novel volume coil design - prototype coil - RF coil - slotted end-plates - traditional birdcage coil - transceiver coil prototype - volume coils","B0290T Finite element analysis - C5260B Computer vision and image processing techniques - C7330 Biology and medical computing - B7510N Biomedical magnetic resonance imaging and spectroscopy - A8760I Medical magnetic resonance imaging and spectroscopy - A8770E Patient diagnostic methods and instrumentation","G01N33/48 - G16B - G06T - A61B5/055 - H01F5/00 - H01F27/28","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Neural style transfer in tiny sets of ultrasound images for data augmentation","Camargo, A.M. (1); Olveres, J. (2, 3); Escalante-Ramírez, B. (2, 3) ","(1) Universidad Nacional Autónoma de México, Mexico City, Mexico (2) Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico (3) Centro de Estudios en Computación Avanzada, Universidad Nacional Autónoma de México, Mexico City, Mexico ","Proceedings of SPIE - The International Society for Optical Engineering","The Society of Photo-Optical Instrumentation Engineers (SPIE)","SPIE","v 12998","","2024","Optics, Photonics, and Digital Technologies for Imaging Applications VIII","2024","0277786X","1996756X","9781510673144","10.1117/12.3017658","1299805","Optics, Photonics, and Digital Technologies for Imaging Applications VIII 2024","April 9, 2024 - April 11, 2024","","Deep learning models (DLM) encounter challenges in medical image segmentation and classification tasks, primarily due to the requirement for a substantial volume of annotated images, which are both time-consuming and expensive to acquire. In our work, we utilize neural style transfer (NST) to enhance a tiny dataset of ultrasound images, significantly improving the performance of deep learning models (DLM). Additionally, we explore style interpolation to generate new target styles, specifically tailored for ultrasound images. In summary, our objective is to demonstrate the potential utility of neural style transfer in scenarios with limited datasets, particularly in the context of ultrasound images using the dataset of breast ultrasound images (Walid Al-Dhabyani, Mohammed Gomaa, Hussien Khaled, & Aly Fahmy, 2020). © 2024 SPIE.","10","Medical imaging","Deep learning - Image enhancement - Image segmentation - Learning systems - Ultrasonics","Classification tasks - Data augmentation - Deep learning - Learning models - Medical image classification - Medical image segmentation - Neural style transfer - Performance - Style interpolation - Ultrasound images","461.1 Biomedical Engineering - 461.4 Ergonomics and Human Factors Engineering - 746 Imaging Techniques - 753.1 Ultrasonic Waves","",,"Number: 1228000, Acronym: Conahcyt, Sponsor: Consejo Nacional de Humanidades, Ciencias y Tecnolog&iacute;as; Number: IT101624,IN108624, Acronym: -, Sponsor: -; ","CONAHCYT for the received fellowship 1228000 to study the master in Posgrado en Ciencia e Ingenier\u00EDa de la Computaci\u00F3n at Universidad Nacional Aut\u00F3noma de M\u00E9xico UNAM. UNAM PAPIIT grants IT101624 and IN108624.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"The Mexican dataset of a repetitive transcranial magnetic stimulation clinical trial on cocaine use disorder patients: SUDMEX TMS","Angeles-Valdez, D. (1, 2); Rasgado-Toledo, J. (1); Villicana, V. (3); Davalos-Guzman, A. (4); Almanza, C. (1); Fajardo-Valdez, A. (1); Alcala-Lozano, R. (4); Garza-Villarreal, E.A. (1) ","(1) Universidad Nacional Autonoma de Mexico, Instituto de Neurobiologia, Mexico (2) University of Groningen, Department of Biomedical Sciences of Cells and Systems, Netherlands (3) University of Bordeaux, Interdisciplinary Institute for Neuroscience, France (4) Instituto Nacional de Psiquiatria Ramon de la Fuente Muniz, Laboratorio de Neuromodulacion, Subdireccion de Investigaciones Clinicas, Mexico ","Scientific Data","","Springer Nature, Germany","v 11, n 1","408 (9 pp.)","2024","","","2052-4463","","","10.1038/s41597-024-03242-y","","","","","Cocaine use disorder (CUD) is a global health problem with severe consequences, leading to behavioral, cognitive, and neurobiological disturbances. While consensus on treatments is still ongoing, repetitive transcranial magnetic stimulation (rTMS) has emerged as a promising approach for medication-resistant disorders, including substance use disorders. In this context, here we present the SUDMEX-TMS, a Mexican dataset from an rTMS clinical trial involving CUD patients. This longitudinal dataset comprises 54 CUD patients (including 8 females) with data collected at five time points: baseline (T0), two weeks (T1), three months (T2), six months (T3) follow-up, and twelve months (T4) follow-up. The clinical rTMS treatment followed a double-blinded randomized clinical trial design (n = 24 sham/30 active) for 2 weeks, followed by an open-label phase. The dataset includes demographic, clinical, and cognitive measures, as well as magnetic resonance imaging (MRI) data collected at all time points, encompassing structural (T1-weighted), functional (resting-state fMRI), and multishell diffusion-weighted (DWI-HARDI) sequences. This dataset offers the opportunity to investigate the impact of rTMS on CUD participants, considering clinical, cognitive, and multimodal MRI metrics in a longitudinal framework.","37",,"biodiffusion - biomedical MRI - brain - cognition - medical disorders - medical image processing - neurophysiology - patient treatment - transcranial magnetic stimulation","clinical MRI metrics - clinical rTMS treatment - cocaine use disorder patients - cognitive MRI metrics - CUD participants - CUD patients - double-blinded randomized clinical trial design - longitudinal dataset - magnetic resonance imaging data - medication-resistant disorders - Mexican dataset - multimodal MRI metrics - neurobiological disturbances - rTMS clinical trial - SUDMEX TMS - SUDMEX-TMS - transcranial magnetic stimulation clinical trial","C5260B Computer vision and image processing techniques - B6135 Optical, image and video signal processing - C7330 Biology and medical computing - B7510N Biomedical magnetic resonance imaging and spectroscopy - B7520 Patient care and treatment - A8730C Electrical activity in neurophysiological processes - A8760I Medical magnetic resonance imaging and spectroscopy - A8770G Patient care and treatment - A8770E Patient diagnostic methods and instrumentation","G01N33/48 - G06T - G16B - A61B5/055","Practical (PRA); Experimental (EXP)",,,"All Open Access, Gold","Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"A guided-ensembling approach for cell counting in fluorescence microscopy images","Emre Dedeagac, C. (1); Koyuncu, C.F. (2, 3); Adams, M.M. (4, 5); Edemen, C. (6); Ugurdag, B.C. (7); Ilgim Ardic-Avci, N. (4); Fatih Ugurdag, H. (6) ","(1) Ozyegin University, Department of Computer Science, Turkey (2) Georgia Institute of Technology, Department of Biomedical Engineering, Atlanta, GA 30332, United States (3) Emory University, Atlanta, GA 30322, United States (4) UNAM, Interdisciplinary Graduate Program in Neuroscience, Turkey (5) Bilkent University, Department of Psychology, Turkey (6) Ozyegin University, Department of Electrical and Electronics Engineering, Turkey (7) Georgetown University, Department of Computer Science, Washington, DC 20057, United States ","IEEE Access","","IEEE, USA","v 12","195552-60","2024","","","2169-3536","","","10.1109/ACCESS.2024.3517641","","","","","Although deep learning and computer vision based approaches have demonstrated success in the field of cell counting and detection in microscopic images, they continue to have certain limitations. More specifically, they experience an overall increase in false positives when dealing with cell populations that show high density and heterogeneity. Existing approaches require the reselection of parameters for each new dataset to improve the accuracy of cell counting. Therefore, it is necessary to revise the fundamental models for each new microscopic image. This study introduces a novel neural network-based method that eliminates the need for retraining by combining the pretrained Cellpose and Stardist models. The accuracy of our proposed approach was evaluated on a variety of microscopic images. Despite variations in cell densities, our proposed approach demonstrated a notably improved cell counting performance in comparison to solely utilizing the Cellpose and Stardist models.",,,"biology computing - cellular biophysics - computer vision - convolutional neural nets - deep learning (artificial intelligence) - image resolution - image segmentation - learning (artificial intelligence) - medical image processing - neural nets - object detection","cell densities - cell populations - computer vision based approaches - deep learning - fluorescence microscopy images - guided-ensembling approach - microscopic image - notably improved cell counting performance - novel neural network-based method","C5260B Computer vision and image processing techniques - B6135 Optical, image and video signal processing - C6264 Neural nets - C7330 Biology and medical computing - A8770E Patient diagnostic methods and instrumentation","G06T - G01N33/48 - G06N3/02 - G16B - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)",,,"All Open Access, Gold","Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Special Edition of Measurement Science and Technology using Industrial Process Tomography WCIPT11—September 2023—Mexico City","Guzman, Enrique (1); Hoyle, Brian (2) ","(1) Universidad Nacional Autónoma de México, Mexico City, Mexico (2) ISIPT, Mexico City, Mexico ","Measurement Science and Technology","","Institute of Physics","v 36, n 1","","January 31, 2025","","2025","09570233","13616501","","10.1088/1361-6501/ad80b4","010202","","","","",,,,,,"",,,,"All Open Access, Hybrid Gold","Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Evaluation of dose reduction methods in cone beam X-ray microtomography","Osorio-Durán, G.A. (1); Rodríguez-Villafuerte, M. (1); Martínez-Dávalos, A. (1) ","(1) Universidad Nacional Autonoma de Mexico, Physics Institute, Mexico ","AIP Conference Proceedings","","AIP Publishing, USA","v 3391, n 1","040019 (6 pp.)","22 Dec 2025","","","1551-7616","","","10.1063/5.0308909","","EIGHTEENTH MEXICAN SYMPOSIUM ON MEDICAL PHYSICS","2024","Guanajuato, Mexico","In this work, noise reduction filters were evaluated for micro-CT studies obtained under low-dose conditions, reducing the X-ray tube current down to one quarter of the standard settings (1 mA). Noise correction was evaluated using filters in the projection and reconstruction domains, namely: the bilateral (BI), anisotropic diffusion (DA) and non-local means (NLM) filters. All of them performed well, with the NLM filter achieving the best results, maintained a high structural similarity index value, and reduced noise by up to 55%. Better results were obtained when correcting directly in the projection domain. NPS analysis showed that noise reduction is strongest in high spatial-frequency components. [The copyright for the referenced work is owned by Author(s). Copies of full-text articles should only be made or obtained from the publisher or authorized sources.]","12",,"computerised tomography - filters - image denoising - image filtering - image reconstruction - medical image processing - noise - X-ray tubes","anisotropic diffusion - cone beam X-ray microtomography - current 1.0 mA - dose reduction - low-dose conditions - NLM filter - noise correction - noise reduction filters - NPS analysis - projection domain - reconstruction domains - spatial-frequency components - structural similarity index - X-ray tube current","C5260B Computer vision and image processing techniques - B6135 Optical, image and video signal processing - C7330 Biology and medical computing - B7510P X-ray techniques: radiography and computed tomography (biomedical imaging/measurement) - B7530B Radiation protection and dosimetry - A8170J Nondestructive testing: X-ray methods - A8760J X-rays and particle beams (medical uses) - A8770E Patient diagnostic methods and instrumentation","G01N23/00 - G06T - G16B - G01N33/48 - H01J35/00 - G06T5/00 - A61B6/03","Practical (PRA); Experimental (EXP)",,,,"Inspec","Copyright 2026, The Institution of Engineering and Technology","Engineering Village"
"Deep learning-based attenuation correction in brain PET studies","Moncada, F. (1); Avendaño-Estrada, A. (2); Ávila-Rodríguez, M.A. (2); Rodríguez-Villafuerte, M. (1); Martínez-Dávalos, A. (1) ","(1) Universidad Nacional Autonoma de Mexico, Institute of Physics, Mexico (2) Universidad Nacional Autonoma de Mexico, Faculty of Medicine, Mexico ","AIP Conference Proceedings","","AIP Publishing, USA","v 3391, n 1","040016 (5 pp.)","22 Dec 2025","","","1551-7616","","","10.1063/5.0308436","","EIGHTEENTH MEXICAN SYMPOSIUM ON MEDICAL PHYSICS","2024","Guanajuato, Mexico","A dataset comprising human brain PET studies reconstructed with and without attenuation correction (AC) was utilized to train a deep learning framework tailored for AC. The uncorrected reconstructions served as the input while the corrected recon-structions functioned as ground truth (target). The implemented deep learning architectures encompassed U-Net, Residual U-Net, Attention U-Net, Residual Attention U-Net and Generative Adversarial Networks (GANs). The performance of the trained models was assessed via the Structural Similarity Index Measure (SSIM) computed between the model predictions and the ground truth data. The best results were achieved with a U-Net architecture, yielding corrected studies with a mean SSIM value of 0.995 in comparison to the ground truth. Furthermore, the application of a trained U-Net enables the correction of a complete study within approximately 3 seconds, which is a clinically acceptable time. [The copyright for the referenced work is owned by Author(s). Copies of full-text articles should only be made or obtained from the publisher or authorized sources.]","17",,"brain - convolutional neural nets - deep learning (artificial intelligence) - image reconstruction - medical image processing - positron emission tomography","corrected studies - deep learning framework - deep learning-based attenuation correction - GAN - generative adversarial networks - ground truth data - human brain PET studies - implemented deep learning architectures - mean SSIM - residual attention U-net - residual U-net - structural similarity index measure - time 3.0 s - trained models - trained U-net - U-net architecture - uncorrected reconstructions","C5260B Computer vision and image processing techniques - B6135 Optical, image and video signal processing - C6264 Neural nets - C7330 Biology and medical computing - B7510R Nuclear medicine, emission tomography - A8760K Nuclear medicine, emission tomography - A8770E Patient diagnostic methods and instrumentation","G01T1/164 - G06N3/02 - G06T - G16B - G01N33/48 - G01T1/29 - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR); Experimental (EXP)",,,,"Inspec","Copyright 2026, The Institution of Engineering and Technology","Engineering Village"
