Title,Author,Author affiliation,Source,Sponsor,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,ISSN,E-ISSN,ISBN13,DOI,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Open Access type(s),Database,Copyright,Data Provider
"Solution Algorithms for the Capacitated Location Tree Problem with Interconnections","Mendoza-Andrade, N. (1); Ruiz-Y-Ruiz, E. (2); Rodriguez-Romo, S. (3) ","(1) Universidad Nacional Autonoma de Mexico, Mexico (2) National Technological Institute of Mexico, Instituto Tecnológico de Saltillo, Mexico (3) UNAM Facultad de Estudios Superiores Cuautitlán, Mexico ","Algorithms","","MDPI, Switzerland","v 18, n 1","50 (24 pp.)","26 Dec 2024","","","1999-4893","","","10.3390/a18010050","","","","This paper addresses the Capacitated Location Tree Problem with Interconnections, a new combinatorial optimization problem with applications in network design. In this problem, the required facilities picked from a set of potential facilities must be opened to serve customers using a tree-shaped network. Costs and capacities are associated with the opening of facilities and the establishment of network links. Customers have a given demand that must be satisfied while respecting the facilities and link capacities. The problem aims to minimize the total cost of designing a distribution network while considering facility opening costs, demand satisfaction, capacity constraints, and the creation of interconnections to enhance network resilience. A valid mixed-integer programming was proposed and an exact solution method based on the formulation was used to solve small- and medium-sized instances. To solve larger instances two metaheuristic approaches were used. A specific decoder procedure for the metaheuristic solution approaches was also proposed and used to help find solutions, especially for large instances. Computational experiments and results using the three solution approaches are also presented. Finally, a case study on the design of electrical transportation systems was presented and solved.","66",,"combinatorial mathematics - integer programming - metaheuristics - transportation - trees (mathematics)","capacitated location tree problem with interconnections - capacity constraints - combinatorial optimization problem - decoder procedure - demand satisfaction - distribution network - electrical transportation system - exact solution method - facility opening costs - link capacities - metaheuristic solution approaches - mixed-integer programming - network design - network links - network resilience - tree-shaped network","C1160 Combinatorial mathematics - C1180 Optimisation techniques - C1290H Systems theory applications in transportation","","Bibliography (BIB); Theoretical or Mathematical (THR)","All Open Access, Gold","Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"The Computational Power of Distributed Shared-Memory Models with Bounded-Size Registers","Delporte-Gallet, C. (1); Fauconnier, H. (1); Fraigniaud, P. (1); Rajsbaum, S. (2); Travers, C. (3) ","(1) Université Paris Cité, IRIF, France (2) UNAM, Instituto de Matematicas, Mexico (3) Université Aix-Marseille, LIS, France ","PODC '24: Proceedings of the 43rd ACM Symposium on Principles of Distributed Computing","SIGACT;SIGOPS","ACM, New York, NY, USA","","310-20","2024","","","","","979-8-4007-0668-4","10.1145/3662158.3662789","PODC '24: 43rd ACM Symposium on Principles of Distributed Computing","2024","Nantes, France","The celebrated Asynchronous Computability Theorem of Herlihy and Shavit (JACM 1999) provided a topological characterization of the tasks that are wait-free solvable by processes communicating through writing and reading shared registers. This characterization assumes the use of full-information protocols, in which each time a process writes in the shared memory, it communicates everything it learned since the beginning of the execution. Thus, each register in the shared memory is of unbounded size. Whether unbounded size registers are unavoidable for the model of computation to be universal is the central question studied in this paper. More generally, when at most t out of n processes can crash, is the model with bounded size registers universal?We show that when 1 ≤ t n/2 registers of size O(t) bits are sufficient to solve any task that is solvable by a full-information protocol. The situation is radically different when n/2 t n, which includes the wait-free case. We show that bounded registers are not universal. Specifically, we show that, for any bound f: ℕ → ℕ, and for any n > 2, there exists a task that cannot be solved by n processes communicating via registers of size f(n) bits, but is solvable by n processes using unbounded registers. The case n = 2, t = 1, where 1-resilient computing and wait-free computing coincide, does not display the same behavior. We show that any task solvable by 2 processes in the wait-free shared-memory model with unbounded-size registers can be solved by 2 processes in the wait-free shared-memory model with constant size registers.Finally, we consider the iterated shared memory model, which has played a crucial role since Herlihy and Shavit's characterization. We show that 1-bit registers (per iteration) are sufficient for solving wait-free any task that is solvable by a full-information wait-free protocol. Therefore, while the wait-free read/write shared-memory model is known to be computationally equivalent to the iterated model, this equivalence only holds if registers are unbounded.",,,"computational complexity - distributed shared memory systems - shared memory systems","1-bit registers - 1-resilient computing - Asynchronous Computability Theorem - bounded registers - bounded size registers - bounded-size registers - computational power - constant size registers - distributed shared-memory models - full-information protocol - full-information wait-free protocol - iterated model - iterated shared memory model - reading shared registers - register - unbounded registers - unbounded size registers - unbounded-size registers - wait-free case - wait-free computing coincide - wait-free shared-memory model","C4240P Parallel programming and algorithm theory - C4240C Computational complexity - C5440 Multiprocessing systems - C6120 File organisation","G06F15/16 - G06F12/00","Practical (PRA); Theoretical or Mathematical (THR)","All Open Access, Green","Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Vectorized Visibility Graph Planning with Neural Polygon Extraction","Kasmynin, K. (1); Mironov, K. (1, 2, 3) ","(1) Moscow Institute of Physics and Technology, 9 Institutsky lane, Russia (2) AIRI Artificial Intelligence Research Institute, Russia (3) Ufa University of Science and Technology, 32 Zaki Validi St., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","","Springer Nature, Berlin, Germany","","265-80","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_20","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","This article proposes an approach for path planning in environments with obstacles. The methodology integrates recent neural obstacle polygon extraction with visibility graph path planning, complemented by the integration of vectorization techniques. That significantly enhances path planning efficiency. The modular design of the neural network method, encompassing contour detection, vertex identification, and polygon approximation modules, facilitates improved performance compared to traditional methods. Furthermore, the investigation into vectorization's impact on the intersection operation accelerates algorithm speed, contributing to faster path planning processes. Experimental results validate the efficacy of the integrated approach, showcasing notable improvements in path planning efficiency, especially with the utilization of vectorization techniques. The study systematically addresses challenges such as slow graph construction and inaccurate obstacle detection, providing a robust solution for optimizing path planning processes. Moreover, the implementation of multiple modules in the methodology enables its versatility for testing with various environments. This versatility allows researchers to assess the method's performance across diverse scenarios and visualize the results effectively. Overall, the integrated approach offers a comprehensive solution for optimizing path planning in complex environments, demonstrating its potential to streamline path planning processes and improve mobile robot navigation.","28",,"collision avoidance - graph theory - mobile robots - path planning","facilitates improved performance - faster path planning processes - inaccurate obstacle detection - integrated approach - neural network method - neural polygon extraction - polygon approximation modules - recent neural obstacle polygon extraction - slow graph construction - vectorization techniques - vectorized visibility graph planning - visibility graph path planning","C1160 Combinatorial mathematics - C3120C Spatial variables control - C3390C Mobile robots - C5260B Computer vision and image processing techniques","G05D1/00 - G05D3/00 - G06T - B60W30/08 - G08G - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"A Technique of Distributed Missions Assignment Problem Solving in Heterogeneous Groups of Aerial Rescue Robots","Klimenko, A. (1); Barinov, A. (2) ","(1) State University, 25/2 Kirovogradskaya St., Russia (2) Trapeznikov Institute of Control Sciences, 65 Profsoyuznaya St., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","","Springer Nature, Berlin, Germany","","392-406","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_30","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","This research considers a problem of distributed missions assignment in the heterogeneous group of aerial rescue robots, which function without obstacles on plain landscape. A new technique of distributed missions assignment problem solving is proposed, based on the metaheuristic optimization algorithms independent runs, which are launched on robots in a distributed manner. The novelty of the technique is that metaheuristics instances with varying computational complexities are formed and distributed through the heterogeneous robotic group with the usage of efficient algorithms for the block size forming and assignment. Computational complexities of metaheuristics instances are formed with two contradictory criteria: the first one is the minimization of the makespan of the missions assignment problem solving via independent runs, the second one is the metaheuristic instance maximization because of the solution quality degrading in case of small number of algorithm iterations. This improves the makespan of distributed missions assignment problem solving significantly without considerable degrading of the overall missions assignment result. Selected simulation results demonstrate the improvement of overall mission assignment time up to 2 times with the mission assignment solution degrading less than 26% in the worst case and without degrading in the best case.","32",,"computational complexity - metaheuristics - mobile robots - multi-robot systems - optimisation - rescue robots - search problems","aerial rescue robots - block size - distributed missions assignment problem solving - heterogeneous group - heterogeneous robotic group - metaheuristic optimization algorithms independent runs - metaheuristics instances - mission assignment solution - mission assignment time up to 2 times - missions assignment result","B0260 Optimisation techniques - C1180 Optimisation techniques - C3390C Mobile robots - C4240C Computational complexity","G05D1/00","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"BeRGeR: Byzantine-Robust Geometric Routing","Zaz, B. (1); Nesterenko, M. (1); Sharma, G. (1) ","(1) Kent State University, Department of Computer Science, Kent, OH 44242, United States ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","247-63","2024","","","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_17","International Conference on Networked Systems","2024","Rabat, Morocco","We present BeRGeR: the first asynchronous geometric routing algorithm that guarantees delivery of a message despite a Byzantine fault without relying on cryptographic primitives or randomization. The communication graph is a planar embedding that remains three-connected if all edges intersecting the source-target line segment are removed. We prove the algorithm correct and estimate its message complexity.","47",,"communication complexity - fault tolerant computing - graph theory - telecommunication network routing","asynchronous geometric routing algorithm - BeRGeR - Byzantine fault - Byzantine-robust geometric routing - communication graph - cryptographic primitives - message complexity - randomization - source-target line segment","B0250 Combinatorial mathematics - C1160 Combinatorial mathematics - C4240C Computational complexity - B6120D Cryptography - C6130S Data security - B6150P Communication network design, planning and routing","H04L9/00 - H04W16/00 - H04W40/00 - G06F21/00","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Algebraic Computations in Anonymous VANET","Kowalski, D.R. (1); Mosteiro, M.A. (2); Powlette, A. (2) ","(1) Augusta University, Augusta, GA, United States (2) Pace University, New York, NY, United States ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","142-56","2024","","","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_9","International Conference on Networked Systems","2024","Rabat, Morocco","In the area of development of AI/ML applications in Vehicular Adhoc Networks (VANET), a highly dynamic environment, efficient algebraic distributed computations are of utmost importance. On the other hand, there is a growing concern about privacy of users/drivers. One of the solutions is to perform computations assuming anonymity of the users. There is already a large amount of work on this topic in the general Anonymous Dynamic Network model, however the obtained theoretical guarantees are not suitable for very large-scale networks, such as VANET. In this work, we propose an anonymous algebraic computation framework tailored for VANET, called Anonymous Vehicular Adhoc Networks (A-VANET). We introduce heuristic changes to the Restricted Methodical Counting (RMC) protocol aiming to speed up performance in A-VANET with respect to the theoretical bounds in general Anonymous Dynamic Networks. We evaluate this protocol on traces of taxi trips in New York City extracted from publicly available data from 2013, and on a highway traffic environment modeled by a set of path graphs. Both inputs are highly dynamic including also recurrent disconnections. Our results show that, for the parameter combinations tested and for networks with good expansion, RMC is sub-quadratic and even linear under some conditions. Therefore, even the theoretical upper bound proved as a function of connectivity parameters is loose by a factor of more than n7 . These results show the promise of further exploring the question of what is the optimal running time for algebraic computations in A-VANET and other practically-motivated Anonymous Dynamic Networks with limited messages, memory and disconnections.","23",,"data privacy - graph theory - telecommunication computing - vehicular ad hoc networks","A-VANET - algebraic computations - anonymous algebraic computation framework - Anonymous VANET - called Anonymous Vehicular Adhoc Networks - efficient algebraic distributed computations - general Anonymous Dynamic Network model - general Anonymous Dynamic Networks - highly dynamic environment - highway traffic environment - large-scale networks - practically-motivated Anonymous Dynamic Networks - Restricted Methodical Counting protocol - RMC - theoretical bounds - theoretical guarantees","C1160 Combinatorial mathematics - C6130S Data security - B6150M Protocols - B6250F Mobile radio systems - C7410F Communications computing - C7445 Traffic engineering computing","H04B7/00 - H04B7/26 - H04W - G06F21/00 - H04L67/01 - H04W84/18","Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"NavTopo: Leveraging Topological Maps for Autonomous Navigation of a Mobile Robot","Muravyev, K. (1); Yakovlev, K. (1) ","(1) Russian Academy of Sciences, Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","","Springer Nature, Berlin, Germany","","144-57","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_11","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","Autonomous navigation of a mobile robot is a challenging task which requires ability of mapping, localization, path planning and path following. Conventional mapping methods build a dense metric map like an occupancy grid, which is affected by odometry error accumulation and consumes a lot of memory and computations in large environments. Another approach to mapping is the usage of topological properties, e.g. adjacency of locations in the environment. Topological maps are less prone to odometry error accumulation and high resources consumption, and also enable fast path planning because of the graph sparsity. Based on this idea, we proposed NavTopo - a full navigation pipeline based on topological map and two-level path planning. The pipeline localizes in the graph by matching neural network descriptors and 2D projections of the input point clouds, which significantly reduces memory consumption compared to metric and topological point cloud-based approaches. We test our approach in three large indoor photo-relaistic simulated environments and compare it to a metric map-based approach based on popular metric mapping method RTAB-MAP. The experimental results show that our topological approach significantly outperforms the metric one in terms of performance with 8 times less memory usage and two orders less path planning time, keeping proper navigational efficiency.","33",,"graph theory - mobile robots - path planning - robot vision - SLAM (robots)","autonomous navigation - conventional mapping methods - dense metric map - fast path planning - metric map-based approach - metric point cloud-based approaches - mobile robot - navigation pipeline - NavTopo - odometry error accumulation - popular metric mapping method RTAB-MAP - topological approach - topological map - topological point cloud-based approaches - two-level path planning","C1160 Combinatorial mathematics - C3120C Spatial variables control - C3390C Mobile robots - C5260B Computer vision and image processing techniques","G06T - G05D3/00 - G05D1/00 - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Advanced Algorithm Combinations for Safe Human-Robot Collaboration: A Review and Research Proposal","Lefranc, Gastón (1); Gatica, Gabriel (2); Vásquez, Edison (3); Peña, Mario (4) ","(1) Pontificia Universidad Católica de Valparaíso, Avda. Brasil2950, Valparaíso; 2430000, Chile (2) Startup I+D+i Inteligencia Artificial, ARTIFICYAN, Viña del Mar, Chile (3) JhedAI Startup., Viña del Mar, Chile (4) IIMAS-UNAM, Ciudad de México, Mexico ","Procedia Computer Science","","Elsevier B.V.","v 266","p 142-149","2025","12th International Conference on Information Technology and Quantitative Management, ITQM 2025","2025","","18770509","","10.1016/j.procs.2025.08.018","12th International Conference on Information Technology and Quantitative Management, ITQM 2025","August 15, 2025 - August 17, 2025","","This paper presents a proposal for integrating Graph Convolutional Neural Network (Graph-CNN), Multimodal Transformer, Soft Actor-Critic with Reward Constrained Policy Optimisation (SAC-RCPO), and TactileGAN algorithms, which are used in human-robot collaboration. This integration addresses challenges such as adaptability, safety, intention recognition, and precise manipulation in dynamic environments. The central hypothesis is that the combination of these algorithms could lead to improvements in manipulation accuracy, collision avoidance, and training efficiency. The methodology evaluates this combination in simulated and controlled laboratory environments that replicate industrial situations. This work considers the human dimension of collaboration, emphasising the importance of interaction, user trust, and ergonomic integration. It also recognises the ethical implications related to safety, transparency, and the responsible implementation of Artificial Intelligence (AI) systems in shared workspaces. The proposed framework has potential applications in the manufacturing, healthcare, and service sectors, aiming to drive the practical adoption of safe and efficient collaborative robots. © 2025 The Authors.","14","Constrained optimization","Collaborative robots - Ergonomics - Graph algorithms - Human computer interaction - Intelligent robots - Man machine systems","Actor critic - Algorithm combinations - Convolutional neural network - Graph-CNN - Human-robot collaboration - Humans-robot interactions - Multi-modal - Multimodal transformer - Reinforcement learnings - Research proposals","101.5 Ergonomics and Human Factors Engineering - 101.6.1 Robotic Assistants - 731.5 Robotics - 731.6 Robot Applications - 1107 Human-Machine Systems - 1201.7 Optimization Techniques - 1201.8 Discrete Mathematics and Combinatorics, Includes Graph Theory, Set Theory","",,"All Open Access, Gold","Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Modular Baskets Queue","Piña, M. (1); Castañeda, A. (2) ","(1) UNAM, Facultad de Ciencias, Mexico (2) UNAM, Instituto de Matemáticas, Mexico ","ApPLIED '25: Proceedings of the 7th Workshop on Advanced tools, programming languages, and PLatforms for Implementing and Evaluating algorithms for Distributed systems","SIGOPS;SIGACT","ACM, New York, NY, USA","","31-9","2025","","","","","979-8-4007-2006-2","10.1145/3743642.3743650","PODC '25: ACM Symposium on Principles of Distributed Computing","2025","Santa Maria Huatulco, Mexico","A modular version of the baskets queue of Hoffman, Shalev and Shavit is presented. It manipulates the head and tail using a novel object called load-link/increment-conditional, which admits implementations based solely on READ/WRITE instructions, as well as versions that internally use CAS. These variants offer flexibility in balancing simplicity and performance, and admits implementations that spread contention. While other components of the queue still require stronger atomic primitives such as CAS or FAI, this separation highlights the potential for designs that mitigate the seemingly inherent bottleneck in previous queue implementations that manipulate the head and tail using read-modify-write (RMW) instructions over a single shared register.We propose a modular queue algorithm that isolates head/tail coordination from other synchronization, enabling simpler and potentially more scalable composition of concurrent components. An experimental evaluation supports the theoretical results, showing that the proposed queue achieves performance comparable to that of existing state-of-the-art implementations. While no scalability improvements are observed, the modular approach offers conceptual clarity and flexibility, and may serve as a foundation for future concurrent queue designs.","0",,"concurrency (computers) - data structures","CAS - concurrent queue designs - FAI - load-link/increment-conditional - modular baskets queue - modular queue algorithm - read-modify-write instructions - READ/WRITE instructions - RMW instructions - single shared register","C6120 File organisation - C6190 Distributed systems software","G06F12/00","Practical (PRA)","All Open Access, Gold","Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Decentralized Unlabeled Multi-agent Navigation in Continuous Space","Dergachev, S. (1, 2); Yakovlev, K. (1, 2) ","(1) National Research University Higher School of Economics, 20 Myasnitskaya St., Russia (2) Russian Academy of Sciences, 44/2 Vavilova St., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","","Springer Nature, Berlin, Germany","","186-200","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_14","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","In this work, we study the problem where a group of mobile agents needs to reach a set of goal locations, but it does not matter which agent reaches a specific goal. Unlike most of the existing works on this topic that typically assume the existence of the centralized planner (or controller) and limit the agents' moves to a predefined graph of locations and transitions between them, in this work we focus on the decentralized scenarios, when each agent acts individually relying only on local observations/communications and is free to move in arbitrary direction at any time. Our iterative approach involves agents individually selecting goals, exchanging them, planning paths, and at each time step choose actions that balance between progressing along the paths and avoiding collisions. The proposed method is shown to be complete under specific assumptions on how agents progress towards their current goals, and our empirical evaluation demonstrates its superiority over a baseline decentralized navigation approach in success rate (i.e. is able to solve more problem instances under a given time limit) and a comparison with the centralized TSWAP algorithm reveals its efficiency in minimizing trajectory lengths for mission accomplishment.","20",,"graph theory - mobile agents - mobile robots - multi-agent systems - multi-robot systems - path planning","agents progress - arbitrary direction - avoiding collisions - baseline decentralized navigation approach - centralized planner - centralized TSWAP algorithm - continuous space - current goals - decentralized scenarios - given time limit - goal locations - iterative approach - mobile agents - multiagent navigation - predefined graph - specific assumptions - specific goal - transitions","C1160 Combinatorial mathematics - C1180 Optimisation techniques - C3120C Spatial variables control - C3390C Mobile robots","G05D1/00 - G05D3/00 - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Static Data Race Detection via Lazy Sequentialization","Fischer, B. (1); Garbi, G. (2, 3); La Torre, S. (3); Parlato, G. (2); Schrammel, P. (4) ","(1) Stellenbosch University, South Africa (2) University of Molise, Italy (3) University of Salerno, Italy (4) Diffblue Ltd, United Kingdom ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","124-41","2024","","","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_8","International Conference on Networked Systems","2024","Rabat, Morocco","We present a new symbolic static data race detection algorithm, which is defined as a code-to-code translation that injects code to monitor any accesses to shared memory locations. We implemented this algorithm in the LaDR tool as an extension of an existing lazy sequentialization schema which works well when used in tandem with bounded model checkers. We evaluated LaDR on the benchmarks from the data race demonstration category of SV-COMP 2024, and on safestack, a lock-free data structure that contains a rare ABA-related bug. LaDR finds more data races than all other tools participating in SV-COMP 2024, and is the only tool that can find a data race in safestack.","31",,"data structures - program debugging - program diagnostics - program verification","bounded model checkers - code-to-code translation - data race demonstration category - existing lazy sequentialization schema - LaDR tool - lock-free data structure - shared memory locations - SV-COMP 2024 - symbolic static data race detection algorithm","C6110F Formal methods - C6120 File organisation - C6150G Diagnostic, testing, debugging and evaluating systems - C6190P Parallel software","G06F9/44 - G06F12/00 - G06F9/46 - G06F11/36","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Recursive Estimation Algorithms for AUV Collaborative Navigation in Case of Abnormal Outliers in Measurements","Stepanov, O. (1, 2); Litvinenko, Y. (1, 2); Isaev, A. (1, 2) ","(1) ITMO University, 49 Kronverksky Av., St. Petersburg, Russia (2) State Research Center of the Russian Federation, 30 Malaya Posadskaya St., St. Petersburg, Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","","Springer Nature, Berlin, Germany","","88-100","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_7","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","The problem of navigation for multiple autonomous unmanned underwater vehicles is considered, when information about the distances between the vehicles within the group is used as measurements. Two cases are discussed: in the first case, distance measurement errors have a normal distribution, while in the second case they contain abnormal outliers. Three algorithms within the stochastic Bayesian approach have been design to solve the problem: the well-known extended Kalman filter and the recently developed correntropy extended Kalman filter. The third algorithm is a modification of the extended Kalman filter. To construct it, a special procedure described in this paper was used, which aims to reject abnormal outliers in the errors of measuring the distance between underwater vehicles. This procedure is based on comparing the filter residual with the calculated value of the corresponding diagonal elements of the covariance matrix of measurement prediction errors. Their interrelations and differences for all three algorithms are analyzed. By conducting predictive simulation using the method of statistical tests, their accuracy, consistency, and computational complexity were compared. For this purpose, the methodology published earlier by the authors of the paper was used. The results of a comparative analysis of the algorithms were obtained both in the absence and presence of outliers in distance measurement errors.","20",,"autonomous underwater vehicles - Bayes methods - covariance matrices - distance measurement - Kalman filters - measurement errors - nonlinear filters - recursive estimation - statistical testing - underwater vehicles","abnormal outliers - AUV collaborative navigation - distance measurement errors - extended Kalman filter - filter residual - measurement prediction errors - multiple autonomous unmanned underwater vehicles - normal distribution - recently developed correntropy - recursive estimation algorithms - special procedure - stochastic Bayesian approach","B0240Z Other topics in statistics - C1140Z Other topics in statistics - C1260S Signal processing theory - C3360J Marine system control - C3390T Telerobotics - C3390C Mobile robots - B6140B Filtering methods in signal processing","G05D1/00 - B63B - B63G8/00","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
