Title,Abstract,StoreId,ArticleType,AuthorAffiliation,Authors,companies,copyright,digitalObjectIdentifier,documentType,elecPubDate,entryDate,issn,issue,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,volume,DocumentURL,identifierKeywords,notes,startPage,subjectTerms,subjects,Database
"Augmented reality to the creation of hybrid maps applied in soil sciences: a study case in Ixmiquilpan Hidalgo, Mexico","The combination or mixture of methodologies offers so-called hybrid results, whose benefits can be focused on all areas of knowledge. In the present study, the creation of an Interactive Hybrid Maps Augmented Reality (AR) Application focused on teaching earth sciences was combined with edaphological, geographical, and cartographic information as a complement to online teaching due to the pandemic caused by COVID-19. Information was collected by studies carried out in the municipalities of Ixmiquilpan, Tasquillo, and Cardonal located at Mezquital Valley in Hidalgo, Mexico. The application was developed under evolutionary development models in combination with 2D maps, and Geographic Information Systems through the software Unity 3D graphics engine and AR Foundation SDK. In addition, laboratory results, information from historical databases, as well as field information, and pictures showing soil profiles of the study region were incorporated. The Interactive Hybrid Maps AR Application was installed and evaluated by Bachelor´s students of Biology with a specialty in soil sciences from the National Autonomous University of Mexico through a survey quiz that included items such as a learning tool, graphic 3D maps quality in augmented reality, easy handling, interaction and recommendable. Our results obtained a value of 0.90 Cronbach Alpha Coefficient indicating excellent reliability of the instrument. Moreover, an analysis of the last 10&#xa0;years shows an incipient development of applications based on Augmented Reality for teaching earth sciences for university education. However, it is shown a wide development of AR applications in several fields since mathematics to museums.",3051771441,Scholarly Journals," Universidad Nacional Autónoma de México (UNAM), Laboratorio de Edafología Aplicada y Servicios Ambientales, UBIPRO, Facultad de Estudios Superiores Iztacala, Tlalnepantla de Baz, México (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , Laboratorio de Optomecatrónica, UPIIH, Instituto Politécnico Nacional (IPN), Distrito de Educación, Salud, Ciencia, Tecnología E Innovación, San Agustín Tlaxiaca, México (GRID:grid.418275.d) (ISNI:0000 0001 2165 8782) , Laboratorio de Optomecatrónica, UPIIH, Instituto Politécnico Nacional (IPN), Distrito de Educación, Salud, Ciencia, Tecnología E Innovación, San Agustín Tlaxiaca, México (GRID:grid.418275.d) (ISNI:0000 0001 2165 8782) , Laboratorio de Optomecatrónica, UPIIH, Instituto Politécnico Nacional (IPN), Distrito de Educación, Salud, Ciencia, Tecnología E Innovación, San Agustín Tlaxiaca, México (GRID:grid.418275.d) (ISNI:0000 0001 2165 8782) , Universidad Nacional Autónoma de México (UNAM), Laboratorio de Edafología Aplicada y Servicios Ambientales, UBIPRO, Facultad de Estudios Superiores Iztacala, Tlalnepantla de Baz, México (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , Laboratorio de Optomecatrónica, UPIIH, Instituto Politécnico Nacional (IPN), Distrito de Educación, Salud, Ciencia, Tecnología E Innovación, San Agustín Tlaxiaca, México (GRID:grid.418275.d) (ISNI:0000 0001 2165 8782)","Ayala-Niño, Fernando;Fabila-Bustos, Diego A.;Cortés-Caballero, José M.;Pérez-Martínez, Ángel A.;López-Galindo, Francisco;Hernández-Chávez, Macaria",," © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023. Springer Nature or its licensor (e.g. a society or other partner) holds exclusive rights to this article under a publishing agreement with the author(s) or other rightsholder(s); author self-archiving of the accepted manuscript version of this article is solely governed by the terms of such publishing agreement and applicable law.",10.1007/s11042-023-17491-3, Journal Article, 2023-11-03, May 2024,1380-7501,16, English, English, 49595-49613, Dordrecht,May 2024,Multimedia Tools and Applications,2024,83,https://login.pbidi.unam.mx:2443/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fscholarly-journals%2Faugmented-reality-creation-hybrid-maps-applied%2Fdocview%2F3051771441%2Fse-2%3Faccountid%3D14598,," 2023-10-09 (Registration) , 2023-05-15 (Received) , 2023-10-06 (Accepted) , 2023-09-21 (Rev-Recd)", 49595," Augmented reality , Augmented reality , Earth science , Museums , SUSTAINABILITY , Geographic information systems , Earth sciences , Soil sciences , Soil properties , Colleges & universities , Mexico",,"Advanced Technologies & Aerospace Database, Computer Science Database, ProQuest One Academic"
Three-dimensional joint inversion of potential field datasets constrained by cross-gradient and depth weighting,"A three-dimensional cross-gradient joint inversion algorithm for potential datasets is presented. For the necessary forward gravity and magnetic modeling, the gravitational attraction and the total-field anomaly produced by a three-dimensional volume constituted by rectangular prisms is computed. Due to the imposition of a cross-gradient constraint on our joint inversion strategy, we use a slightly modified version of the nonlinear conjugate gradient methodology to solve for the model parameters. In order to counteract the natural decay implicit in the model responses, we impose a depth weighting on our objective function. To test the proposed algorithm, we first develop the individual and joint inversion of synthetic gravity and magnetic datasets. Finally, we carry out individual and joint inversions of potential field data acquired at La Primavera Geothermal Field, Jalisco, México. Our results show stable minimization processes of our objective function. Additionally, the calculated models reproduce their respective geophysical data for both individual and joint inversion experiments.",3255195360,Scholarly Journals," Instituto de Geofísica, Universidad Nacional Autónoma de México, Departamento de Geomagnetismo y Exploración, Ciudad de México, México (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , Instituto de Geofísica, Universidad Nacional Autónoma de México, Departamento de Geomagnetismo y Exploración, Ciudad de México, México (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , Facultad de Ingeniería, Universidad Nacional Autónoma de México, Departamento de Geofísica, Ciudad de México, México (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001)","León-Sánchez, Adrián Misael;Flores-Márquez, Elsa Leticia;Tejero-Andrade, Andrés",," © The Author(s) 2025. This work is published under http://creativecommons.org/licenses/by/4.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",10.1007/s11600-025-01561-1, Journal Article, 2025-03-19, Aug 2025,1895-6572,4, English, English, 3385-3404, Berlin,Aug 2025,Acta Geophysica,2025,73,https://login.pbidi.unam.mx:2443/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fscholarly-journals%2Fthree-dimensional-joint-inversion-potential-field%2Fdocview%2F3255195360%2Fse-2%3Faccountid%3D14598," Gravity , Magnetics , Joint inversion , Cross-gradient"," 2025-02-15 (Registration) , 2024-05-09 (Received) , 2025-02-11 (Accepted)", 3385," Potential fields , Datasets , Weighting , Inversions , SUSTAINABILITY , SUSTAINABILITY , Data acquisition , SUSTAINABILITY , Objective function , Inversions , Geophysical data , Prisms , Algorithms , Approximation , Algorithms , SUSTAINABILITY , Algorithms , Algorithms , SUSTAINABILITY , Parameter estimation , SUSTAINABILITY , Environmental"," Gravity , Magnetics , Joint inversion , Cross-gradient","Advanced Technologies & Aerospace Database, Earth, Atmospheric & Aquatic Science Database, Engineering Database, ProQuest One Academic, Science Database"
A time-domain SGFD-FK hybrid method for 2D teleseismic elastic wave modeling and inversion,"Full waveform inversion (FWI) has proved to be a reliable tool for high-resolution imaging of lithospheric structures at various depths down to the upper mantle. However, when the size of the model is large, the computational burden is significative and applications are restricted to low frequencies. To tackle this issue, we developed a new 2D time-domain hybrid method to simulate high-frequency teleseismic body waves propagating through a local heterogeneous elastic Earth model: The frequency-wavenumber (FK) integration method is coupled with the staggered grid finite difference method (SGFD). The FK method is used to compute the wavefield due to obliquely incident plane P and SV waves in a 1D multilayered half space that excites a local heterogeneous region. Inside this region, the velocity-stress staggered grid FD method (SGFD) is used to accurately deal with wave propagation in heterogeneous media. Spurious waves that might be generated at the boundaries of the local region are avoided using convolutional perfectly matched layers (CPML). This new hybrid method inherits the low-memory requirements of the FK method and the accuracy, efficiency and easy implementation of the SGFD. The new hybrid method is benchmarked against the analytical FK method for some canonical models and shows good agreement with analytical solutions. Subsequently, our modeling tool is incorporated into a full waveform inversion algorithm adapted for teleseismic configurations to invert the incident P wave and its coda. The inversion is carried out using a gradient approach that is efficiently implemented via the adjoint-state method. The results suggest that our hybrid method and FWI algorithm represent a valuable tool for 2D forward and inverse regional applications using teleseismic data sets.",3254329455,Scholarly Journals," Universidad Nacional Autónoma de México, Posgrado en Ciencias de la Tierra, Mexico City, Mexico (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001) , Universidad Nacional Autónoma de México, Instituto de Ingeniería, Mexico City, Mexico (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001)","del Valle-Rosales, Mauricio;Chávez-García, Francisco José",," © The Author(s) 2024. This work is published under http://creativecommons.org/licenses/by/4.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",10.1007/s11600-024-01335-1, Journal Article, 2024-04-10, Dec 2024,1895-6572,6, English, English, 3903-3915, Berlin,Dec 2024,Acta Geophysica,2024,72,https://login.pbidi.unam.mx:2443/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fscholarly-journals%2Ftime-domain-sgfd-fk-hybrid-method-2d-teleseismic%2Fdocview%2F3254329455%2Fse-2%3Faccountid%3D14598," Wave propagation , Coda waves , Seismic tomography , Inverse theory"," 2024-03-08 (Registration) , 2023-11-20 (Received) , 2024-03-06 (Accepted)", 3903," SUSTAINABILITY , SUSTAINABILITY , Accuracy , Waveforms , Image resolution , SUSTAINABILITY , Finite difference method , Optimization techniques , Finite difference method , Finite difference method , SUSTAINABILITY , Time domain analysis , P waves , SUSTAINABILITY , SUSTAINABILITY , Propagation , SUSTAINABILITY , SUSTAINABILITY , Earth models , SUSTAINABILITY , Perfectly matched layers , Exact solutions , Algorithms , Algorithms , SUSTAINABILITY , Wave propagation , Methods , Wavelengths , Elastic waves , Algorithms , SUSTAINABILITY , SUSTAINABILITY , Environmental"," Wave propagation , Coda waves , Seismic tomography , Inverse theory","Advanced Technologies & Aerospace Database, Earth, Atmospheric & Aquatic Science Database, Engineering Database, ProQuest One Academic, Science Database"
Rectilinear convex hull of points in 3D and applications,"Let P be a set of n points in R 3 in general position, and let RCH ( P ) be the rectilinear convex hull of P . In this paper we obtain an optimal O ( n log n ) time and O ( n ) space algorithm to compute RCH ( P ). We also obtain an efficient O ( n log 2 n ) time and O ( n log n ) space algorithm to compute and maintain the set of vertices of the rectilinear convex hull of P as we rotate R 3 around the Z -axis. We study some combinatorial properties of the rectilinear convex hulls of point sets in R 3 . Finally, as an application of the obtained results, we show an approximation algorithm to an optimization fitting problem in R 3 .",3107570942,Scholarly Journals," Universidad de Santiago de Chile (USACH), Facultad de Ciencia, Departamento de Matemática y Ciencia de la Computación, Santiago, Chile (GRID:grid.412179.8) (ISNI:0000 0001 2191 5013) , Universitat Politècnica de Catalunya, Departament de Matemàtiques, Barcelona, Spain (GRID:grid.6835.8) (ISNI:0000 0004 1937 028X) , Universidad Nacional Autónoma de México, Instituto de Matemáticas, Mexico, Mexico (GRID:grid.9486.3) (ISNI:0000 0001 2159 0001)","Pérez-Lantero, Pablo;Seara, Carlos;Urrutia, Jorge",," © The Author(s) 2024. This work is published under http://creativecommons.org/licenses/by/4.0/ (the “License”). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",10.1007/s10898-024-01402-3, Journal Article, 2024-05-04, Oct 2024,0925-5001,2, English, English, 551-571, Dordrecht,Oct 2024,Journal of Global Optimization,2024,90,https://login.pbidi.unam.mx:2443/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fscholarly-journals%2Frectilinear-convex-hull-points-3d-applications%2Fdocview%2F3107570942%2Fse-2%3Faccountid%3D14598,," 2024-04-18 (Registration) , 2022-09-28 (Received) , 2024-04-11 (Accepted)", 551," Algorithms , Apexes , Combinatorial analysis , Algorithms , SUSTAINABILITY , Convex hulls",,"Advanced Technologies & Aerospace Database, Computer Science Database, Engineering Database, ProQuest One Academic, Science Database"
