alias,alias_norm,organismo_unam,organismo_norm,organismo_base,sede_unidad,fuente_alias,requiere_senal_unam,es_alias_sede
Centro de Investigaciones en Enfermedades Tropicales,centro de investigaciones en enfermedades tropicales,Centro de Investigaciones en Enfermedades Tropicales,centro de investigaciones en enfermedades tropicales,Centro de Investigaciones en Enfermedades Tropicales,,catalogo_canonico,False,False
Centro de Investigaciones en Geografía Ambiental,centro de investigaciones en geografia ambiental,Centro de Investigaciones en Geografía Ambiental,centro de investigaciones en geografia ambiental,Centro de Investigaciones en Geografía Ambiental,,catalogo_canonico,False,False
Centro de Nanociencias y Nanotecnología,centro de nanociencias y nanotecnologia,Centro de Nanociencias y Nanotecnología,centro de nanociencias y nanotecnologia,Centro de Nanociencias y Nanotecnología,,catalogo_canonico,False,False
Coordinación de Humanidades,coordinacion de humanidades,Coordinación de Humanidades,coordinacion de humanidades,Coordinación de Humanidades,,catalogo_canonico,False,False
Coordinación de Investigación Científica,coordinacion de investigacion cientifica,Coordinación de Investigación Científica,coordinacion de investigacion cientifica,Coordinación de Investigación Científica,,catalogo_canonico,False,False
Coordinación de Universidad Abierta,coordinacion de universidad abierta,Coordinación de Universidad Abierta,coordinacion de universidad abierta,Coordinación de Universidad Abierta,,catalogo_canonico,False,False
"Coordinación de Universidad Abierta, Innovación Educativa y Educación a Distancia",coordinacion de universidad abierta innovacion educativa y educacion a distancia,"Coordinación de Universidad Abierta, Innovación Educativa y Educación a Distancia",coordinacion de universidad abierta innovacion educativa y educacion a distancia,"Coordinación de Universidad Abierta, Innovación Educativa y Educación a Distancia",,catalogo_canonico,False,False
Dirección General de Bibliotecas,direccion general de bibliotecas,Dirección General de Bibliotecas,direccion general de bibliotecas,Dirección General de Bibliotecas,,catalogo_canonico,False,False
DGTIC,dgtic,Dirección General de Cómputo y de Tecnologías de Información y Comunicación,direccion general de computo y de tecnologias de informacion y comunicacion,Dirección General de Cómputo y de Tecnologías de Información y Comunicación,,acronimo,False,False
Dirección General de Cómputo y de Tecnologías de Información y Comunicación,direccion general de computo y de tecnologias de informacion y comunicacion,Dirección General de Cómputo y de Tecnologías de Información y Comunicación,direccion general de computo y de tecnologias de informacion y comunicacion,Dirección General de Cómputo y de Tecnologías de Información y Comunicación,,catalogo_canonico,False,False
Dirección de Innovación y Desarrollo Tecnológico,direccion de innovacion y desarrollo tecnologico,Dirección de Innovación y Desarrollo Tecnológico,direccion de innovacion y desarrollo tecnologico,Dirección de Innovación y Desarrollo Tecnológico,,catalogo_canonico,False,False
Escuela Nacional de Ciencias de la Tierra,escuela nacional de ciencias de la tierra,Escuela Nacional de Ciencias de la Tierra,escuela nacional de ciencias de la tierra,Escuela Nacional de Ciencias de la Tierra,,catalogo_canonico,False,False
Escuela Nacional de Enfermeria,escuela nacional de enfermeria,Escuela Nacional de Enfermeria,escuela nacional de enfermeria,Escuela Nacional de Enfermeria,,catalogo_canonico,False,False
Facultad de Arquitectura,facultad de arquitectura,Facultad de Arquitectura,facultad de arquitectura,Facultad de Arquitectura,,catalogo_canonico,False,False
Facultad de Artes y Diseño,facultad de artes y diseno,Facultad de Artes y Diseño,facultad de artes y diseno,Facultad de Artes y Diseño,,catalogo_canonico,False,False
FC UNAM,fc unam,Facultad de Ciencias,facultad de ciencias,Facultad de Ciencias,,acronimo,False,False
Facultad de Ciencias,facultad de ciencias,Facultad de Ciencias,facultad de ciencias,Facultad de Ciencias,,catalogo_canonico,False,False
Faculty of Science,faculty of science,Facultad de Ciencias,facultad de ciencias,Facultad de Ciencias,,ingles,True,False
Faculty of Sciences,faculty of sciences,Facultad de Ciencias,facultad de ciencias,Facultad de Ciencias,,ingles,True,False
Facultad de Ciencias Políticas y Sociales,facultad de ciencias politicas y sociales,Facultad de Ciencias Políticas y Sociales,facultad de ciencias politicas y sociales,Facultad de Ciencias Políticas y Sociales,,catalogo_canonico,False,False
Facultad de Contaduría y Administración,facultad de contaduria y administracion,Facultad de Contaduría y Administración,facultad de contaduria y administracion,Facultad de Contaduría y Administración,,catalogo_canonico,False,False
Facultad de Economía,facultad de economia,Facultad de Economía,facultad de economia,Facultad de Economía,,catalogo_canonico,False,False
FES Acatlán,fes acatlan,Facultad de Estudios Superiores Acatlán,facultad de estudios superiores acatlan,Facultad de Estudios Superiores Acatlán,,acronimo,False,False
Facultad de Estudios Superiores Acatlán,facultad de estudios superiores acatlan,Facultad de Estudios Superiores Acatlán,facultad de estudios superiores acatlan,Facultad de Estudios Superiores Acatlán,,catalogo_canonico,False,False
FES Aragón,fes aragon,Facultad de Estudios Superiores Aragón,facultad de estudios superiores aragon,Facultad de Estudios Superiores Aragón,,acronimo,False,False
Facultad de Estudios Superiores Aragón,facultad de estudios superiores aragon,Facultad de Estudios Superiores Aragón,facultad de estudios superiores aragon,Facultad de Estudios Superiores Aragón,,catalogo_canonico,False,False
FES Cuautitlán,fes cuautitlan,Facultad de Estudios Superiores Cuautitlán,facultad de estudios superiores cuautitlan,Facultad de Estudios Superiores Cuautitlán,,acronimo,False,False
Facultad de Estudios Superiores Cuautitlán,facultad de estudios superiores cuautitlan,Facultad de Estudios Superiores Cuautitlán,facultad de estudios superiores cuautitlan,Facultad de Estudios Superiores Cuautitlán,,catalogo_canonico,False,False
FES Iztacala,fes iztacala,Facultad de Estudios Superiores Iztacala,facultad de estudios superiores iztacala,Facultad de Estudios Superiores Iztacala,,acronimo,False,False
Facultad de Estudios Superiores Iztacala,facultad de estudios superiores iztacala,Facultad de Estudios Superiores Iztacala,facultad de estudios superiores iztacala,Facultad de Estudios Superiores Iztacala,,catalogo_canonico,False,False
FES Zaragoza,fes zaragoza,Facultad de Estudios Superiores Zaragoza,facultad de estudios superiores zaragoza,Facultad de Estudios Superiores Zaragoza,,acronimo,False,False
Facultad de Estudios Superiores Zaragoza,facultad de estudios superiores zaragoza,Facultad de Estudios Superiores Zaragoza,facultad de estudios superiores zaragoza,Facultad de Estudios Superiores Zaragoza,,catalogo_canonico,False,False
Facultad de Filosofía y Letras,facultad de filosofia y letras,Facultad de Filosofía y Letras,facultad de filosofia y letras,Facultad de Filosofía y Letras,,catalogo_canonico,False,False
FI UNAM,fi unam,Facultad de Ingeniería,facultad de ingenieria,Facultad de Ingeniería,,acronimo,False,False
Facultad de Ingeniería,facultad de ingenieria,Facultad de Ingeniería,facultad de ingenieria,Facultad de Ingeniería,,catalogo_canonico,False,False
Faculty of Engineering,faculty of engineering,Facultad de Ingeniería,facultad de ingenieria,Facultad de Ingeniería,,ingles,True,False
Facultad de Medicina,facultad de medicina,Facultad de Medicina,facultad de medicina,Facultad de Medicina,,catalogo_canonico,False,False
Facultad de Medicina Veterinaria y Zootecnia,facultad de medicina veterinaria y zootecnia,Facultad de Medicina Veterinaria y Zootecnia,facultad de medicina veterinaria y zootecnia,Facultad de Medicina Veterinaria y Zootecnia,,catalogo_canonico,False,False
Facultad de Odontología,facultad de odontologia,Facultad de Odontología,facultad de odontologia,Facultad de Odontología,,catalogo_canonico,False,False
Facultad de Psicología,facultad de psicologia,Facultad de Psicología,facultad de psicologia,Facultad de Psicología,,catalogo_canonico,False,False
Facultad de Química,facultad de quimica,Facultad de Química,facultad de quimica,Facultad de Química,,catalogo_canonico,False,False
Instituto de Astronomía,instituto de astronomia,Instituto de Astronomía,instituto de astronomia,Instituto de Astronomía,,catalogo_canonico,False,False
Instituto de Biología,instituto de biologia,Instituto de Biología,instituto de biologia,Instituto de Biología,,catalogo_canonico,False,False
Instituto de Biotecnología,instituto de biotecnologia,Instituto de Biotecnología,instituto de biotecnologia,Instituto de Biotecnología,,catalogo_canonico,False,False
ICAT,icat,Instituto de Ciencias Aplicadas y Tecnología,instituto de ciencias aplicadas y tecnologia,Instituto de Ciencias Aplicadas y Tecnología,,acronimo,False,False
Institute of Applied Sciences and Technology,institute of applied sciences and technology,Instituto de Ciencias Aplicadas y Tecnología,instituto de ciencias aplicadas y tecnologia,Instituto de Ciencias Aplicadas y Tecnología,,ingles,False,False
Instituto de Ciencias Aplicadas y Tecnología,instituto de ciencias aplicadas y tecnologia,Instituto de Ciencias Aplicadas y Tecnología,instituto de ciencias aplicadas y tecnologia,Instituto de Ciencias Aplicadas y Tecnología,,catalogo_canonico,False,False
Instituto de Ciencias Físicas,instituto de ciencias fisicas,Instituto de Ciencias Físicas,instituto de ciencias fisicas,Instituto de Ciencias Físicas,,catalogo_canonico,False,False
Instituto de Ciencias Nucleares,instituto de ciencias nucleares,Instituto de Ciencias Nucleares,instituto de ciencias nucleares,Instituto de Ciencias Nucleares,,catalogo_canonico,False,False
