afiliacion
Centro de Ciencias de la Complejidad
Centro de Ciencias Genómicas
Centro de Ciencias Genómicas Cuernavaca
Centro de Ciencias Matemáticas
Centro de Estudios en Computación Avanzada
Centro de Física Aplicada y Tecnología Avanzada
Centro de Física Aplicada y Tecnología Avanzada Juriquilla
Centro de Geociencias
Centro de Ingeniería Avanzada
Centro de Investigaciones de Diseño Industrial
Centro de Investigaciones en Geografía Ambiental
Centro de Investigaciones Interdisciplinarias en Ciencias y Humanidades
Centro de Nanociencias y Nanotecnología
Centro Regional de Investigaciones Multidisciplinarias
Centro Regional de Investigaciones Multidisciplinarias Cuernavaca
Ciencias Biomédicas
Coordinación de Humanidades
Coordinación de Investigación Científica
Coordinación de Universidad Abierta Innovación Educativa y Educación a Distancia
Dirección de Innovación y Desarrollo Tecnológico
Dirección General de Bibliotecas
Dirección General de Cómputo y de Tecnologías de Información y Comunicación
Escuela Nacional de Ciencias de la Tierra
Escuela Nacional de Enfermeria
Escuela Nacional de Estudios Superiores Unidad Juriquilla
Escuela Nacional de Estudios Superiores Unidad León
Escuela Nacional de Estudios Superiores Unidad Mérida
Escuela Nacional de Estudios Superiores Unidad Morelia
Facultad de Arquitectura
Facultad de Artes y Diseño
Facultad de Ciencias
Facultad de Ciencias Políticas y Sociales
Facultad de Ciencias Unidad Cuernavaca
Facultad de Ciencias Unidad Yucatán
Facultad de Contaduría y Administración
Facultad de Economía
Facultad de Estudios Superiores Acatlán
Facultad de Estudios Superiores Aragón
Facultad de Estudios Superiores Cuautitlán
Facultad de Estudios Superiores Iztacala
Facultad de Estudios Superiores Zaragoza
Facultad de Filosofía y Letras
Facultad de Ingeniería
Facultad de Medicina
Facultad de Medicina Veterinaria y Zootecnia
Facultad de Odontología
Facultad de Psicología
Facultad de Química
Instituto de Astronomía
Instituto de Astronomía Ensenada
Instituto de Biología
Instituto de Biotecnología
Instituto de Biotecnología Cuernavaca
Instituto de Biotecnología Juriquilla
Instituto de Ciencias Aplicadas y Tecnología
Instituto de Ciencias de la Atmósfera y Cambio Climático
Instituto de Ciencias del Mar y Limnología
Instituto de Ciencias Físicas
Instituto de Ciencias Nucleares
Instituto de Ecología
Instituto de Energías Renovables
Instituto de Física
Instituto de Fisiología Celular
Instituto de Geofísica
Instituto de Geografía
Instituto de Geología
Instituto de Ingeniería
Instituto de Investigaciones Antropológicas
Instituto de Investigaciones Bibliotecológicas y de la Información
Instituto de Investigaciones Biomédicas
Instituto de Investigaciones Económicas
Instituto de Investigaciones en Ecosistemas y Sustentabilidad
Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas
Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas Unidad Yucatán
Instituto de Investigaciones en Materiales
Instituto de Investigaciones Filosóficas
Instituto de Investigaciones Históricas
Instituto de Investigaciones Jurídicas
Instituto de Investigaciones sobre la Universidad y la Educación
Instituto de Investigaciones Sociales
Instituto de Matemáticas
Instituto de Neurobiología
Instituto de Neurobiología Unidad Juriquilla
Instituto de Química
Instituto de Química Unidad Mérida
Instituto de Radioastronomía y Astrofísica
Unidad de Alta Tecnología
Unidad de Posgrado
Universidad Nacional Autonoma de Mexico
