longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
Academic Search Ultimate,asn,19058561,Automatic maintenance payload on board of a Mexican LEO microsatellite,"Abstract: Few research institutions from Mexico work together to finalize the integration of a technological demonstration microsatellite called Satex, aiming the launching of the first ever fully designed and manufactured domestic space vehicle. The project is based on technical knowledge gained in previous space experiences, particularly in developing GASCAN automatic experiments for NASA''s space shuttle, and in some support obtained from the local team which assembled the México-OSCAR-30 microsatellites. Satex includes three autonomous payloads and a power subsystem, each one with a local microcomputer to provide intelligent and dedicated control. It also contains a flight computer (FC) with a pair of full redundancies. This enables the remote maintenance of processing boards from the ground station. A fourth communications payload depends on the flight computer for control purposes. A fifth payload was decided to be developed for the satellite. It adds value to the available on-board computers and extends the opportunity for a developing country to learn and to generate domestic space technology. Its aim is to provide automatic maintenance capabilities for the most critical on-board computer in order to achieve continuous satellite operations. This paper presents the virtual computer architecture specially developed to provide maintenance capabilities to the flight computer. The architecture is periodically implemented by software with a small amount of physical processors (FC processors) and virtual redundancies (payload processors) to emulate a hybrid redundancy computer. Communications among processors are accomplished over a fault-tolerant LAN. This allows a versatile operating behavior in terms of data communication as well as in terms of distributed fault tolerance. Obtained results, payload validation and reliability results are also presented.",20060201,"Vicente-Vivas, Esaú ; García-Nocetti, Fabián ; Mendieta-Jiménez, Francisco",Article,Academic Journal,Feb2006,true,Acta Astronautica,"Artificial satellite launching ; Rocket launching ; Space vehicles ; Space shuttles ; Computers ; Computer systems ; Mexico ; Space Research and Technology ; Electronics Stores ; Electronic Computer Manufacturing ; Computer and peripheral equipment manufacturing ; Computer, computer peripheral and pre-packaged software merchant wholesalers ; Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ; Computer and software stores ; Guided Missile and Space Vehicle Manufacturing ; Aerospace product and parts manufacturing ; Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ; Computer Systems Design Services ; Computer systems design and related services (except video game design and development)",JOUR,,,0094-5765,,,,,eng,Elsevier B.V.,167,149,19,58,3,10.1016/j.actaastro.2005.05.003,,KI8,,https://research.ebsco.com/plink/74b5a569-1389-3a34-807f-ab6b65d6a069,,,,
Academic Search Ultimate,asn,24969524,Spatial analysis of residential fuelwood supply and demand patterns in Mexico using the WISDOM approach,"Abstract: A WISDOM analysis was conducted in Mexico in order to: (1) identify fuelwood (FW) hot spots in terms of residential FW use and availability of FW resources for the year 2000, and (2) estimate net CO<sub>2</sub> emissions from the non-renewable use of FW. WISDOM (woodfuel integrated supply/demand overview mapping) is a spatially explicit method, based on geographic information system (GIS) technology, which ranks a set of spatial units according to a group of indicators, in order to identify woodfuel priority areas or woodfuel hot spots. A comprehensive analysis was conducted, integrating full coverage national data on land cover classes, land cover change maps (1993–2000), geo-referenced population censuses (1990 and 2000), and a meticulous review of the international literature and Mexican case studies. Following a spatial multi-criteria analysis, 2395 counties (out of a country total of 2424 in year 2000) were ranked based on the number, density and annual growth rate of FW users; the percentage of households that use FW; the resilience of FW consumption, and the magnitude and likely trends of FW forest resources. The WISDOM analysis allowed the identification of 304 high priority counties (HPC), which showed a spatially aggregated pattern into 16 clusters. HPC cover 4% of Mexican territory and represent 27% of total FW consumption. We estimated that are released to the atmosphere by non-renewable FW burning, a value that represents less than 1% of Mexican total annual CO<sub>2</sub> emissions in 2002. The results of the analysis show that WISDOM is a useful tool for both focusing resources to critical areas where action is more needed and to obtain more accurate estimates of the impacts associated to FW use.",20070701,"Ghilardi, Adrian ; Guerrero, Gabriela ; Masera, Omar",Article,Academic Journal,Jul2007,true,Biomass & Bioenergy,Fuelwood ; Carbon dioxide ; Geographic information systems ; Mexico ; Industrial Gas Manufacturing ; Other Miscellaneous Durable Goods Merchant Wholesalers ; Other fuel dealers ; Fuel Dealers ; All other merchant wholesalers ; Logging (except contract) ; Sawmills (except shingle and shake mills) ; All Other Miscellaneous Wood Product Manufacturing,JOUR,,,0961-9534,,,,,eng,Elsevier B.V.,491,475,17,31,7,10.1016/j.biombioe.2007.02.003,,J9K,,https://research.ebsco.com/plink/9e3cd8ce-b21f-378c-9b57-819a6f812957,,,,
Academic Search Ultimate,asn,98740835,Effects of housing conditions and season on the activity rhythm of spider monkeys ( Ateles geoffroyi) kept under natural conditions within their distributional range in Central Mexico.,"The timing and pattern of mammalian behavioral activities are regulated by an evolutionary optimized interplay of the genetically based biological (circadian) clock located in the brain's suprachiasmatic nuclei and direct responses to environmental factors that superimpose and thus mask the clock-mediated effects, the most important of which is the photically induced phase-setting (synchronization) of the circadian rhythmicity to the 24-hour solar day. In wild and captive animals living under the natural conditions prevailing in their habitat, to date, only a few attempts have been made to analyze the role of these two regulatory mechanisms in the species' adaptation to the time structure prevailing in their habitat. We studied the impact of housing conditions and season on the daily timing and pattern of activity in Mexican spider monkeys ( Ateles geoffroyi). To this end, we carried out long-term activity recordings with Actiwatch® AW4 accelerometer/data-logger devices in 11 adult Ateles living under identical natural lighting and climatic conditions in either a large wire netting cage or a 0.25 ha forest enclosure in the primatological field station of Veracruz State University near Catemaco, Mexico. In a gravid female in the forest enclosure, we obtained first-hand information on the effect of late pregnancy and parturition on the monkey's activity rhythm. The Ateles behaved strictly diurnal and undertook about 90% of daily total activity during this activity time. Due to a higher second activity peak in late afternoon, the bimodal activity pattern was more pronounced in monkeys living in the forest enclosure. Although the spider monkeys kept there had an earlier activity onset and morning activity peak than their conspecifics in the cage, no consistent differences were found in the parameters characterizing the phase-setting of the circadian system to the environmental 24-h periodicity, either by comparison or correlation with the external time markers of sunrise (SR) and sunset (SS). The most obvious effect of late pregnancy, parturition and lactation was a distinct reduction of the activity level during the week of parturition and the next. Seasonal variations in the form of significant differences between the long-day summer half year and the short-day winter half year were established in the phase-angle differences of the morning activity peak to SR, in the evening activity peak and activity offset to SS, as well as in the activity time and the peak-to-peak interval, but not in the phase position of activity onset to SR or in the height of the morning and evening activity peak. These findings in combination with a high variability of the phase angle differences indicate that in A. geoffroyi, a relatively weak circadian component and strong masking direct effects of environmental factors are involved in the regulation of the daily activity rhythm.",20141101,"Muñoz-Delgado, Jairo ; Sánchez-Ferrer, José Carlos ; Pérez-Galicia, Sergio ; Canales-Espinosa, Domingo ; Erkert, Hans G.",Article,Academic Journal,Nov2014,true,Chronobiology International: The Journal of Biological & Medical Rhythm Research,Spider monkeys ; Behavioral assessment ; Animal habitations ; Spacial distribution ; Circadian rhythms ; Seasonal effects on wildlife ; Animal behavior ; Mexico,JOUR,,,0742-0528,,,,,eng,Taylor & Francis Ltd,995,983,13,31,9,10.3109/07420528.2014.938813,,KS8,,https://research.ebsco.com/plink/3f250071-d2fc-3408-8392-bb65ec3f1ecf,,,,
Academic Search Ultimate,asn,189844195,Which global circulation model works best for my region? Concordance with genetic data for a Neotropical shrew.,"Copious questions in global change biology require estimates of climatic suitability for species in the past or future, often via transfers of ecological niche models (ENMs) using outputs from global circulation models (GCMs). However, available GCMs differ markedly, affecting hindcasts and forecasts of species potential distributions. We propose using demographic inferences based on genetic data (indicative of either population‐level continuous occupation or postglacial colonization) to test which GCM leads to a better match with reality for ENM hindcasting. We implement an intuitive worked example for four isolated focal populations of a montane shrew Cryptotis mexicanus in central‐eastern Mexico, by comparing suitability maps at the Last Glacial Maximum (LGM) and today. We built an optimized Maxent niche model and transferred it to the LGM based on four GCMs (CCSM4, IPSL‐CM5A‐LR, MIROC‐ESM, MPI‐ESM‐P), followed by phylogeographic analyses to test hypotheses of changes in distribution according to each GCM. CCSM4 and IPSL‐CM5A‐LR indicated an LGM suitability area for C. mexicanus mainly in the southern portion of its range, suggesting that extant focal populations to the north result from postglacial colonization. In contrast, MIROC‐ESM and MPI‐ESM‐P indicated LGM suitability for three or all the populations, respectively. Genetic results for the four focal populations showed high genetic diversity and signals of constant population size. Because only the hindcast based on MPI‐ESM‐P generated the prediction of stable occupation for all four sites, we interpret that its estimate (a cold and wet LGM climate) best approximates reality for this system. Future studies can apply this framework using more extensive genetic or genomic data and finer temporal resolutions, also exploring differences in the assumptions and methodologies underlying the various GCMs.",20251201,"Guevara, Lázaro ; Zugasti‐Mateos, Amaranta ; Pinilla‐Buitrago, Gonzalo E. ; León‐Tapia, Miguel Ángel ; Vázquez‐Domínguez, Ella ; Anderson, Robert P.",Article,Academic Journal,Dec2025,true,Ecography,General circulation model ; Last Glacial Maximum ; Population genetics ; Ecological niche ; Phylogeography ; Species distribution ; Mexico,JOUR,,,0906-7590,,,,,eng,Wiley-Blackwell,11,1,11,2025,12,10.1002/ecog.07881,,HY1,,https://research.ebsco.com/plink/cc2cce7c-afaf-30f8-b431-6178d9ac6430,,,,
Academic Search Ultimate,asn,150072260,Evaluación reproductiva y costos en programas de empadre estacional con Bos indicus en trópico mexicano.,"Objective. To compare the reproductive performance of postpartum and open Bos indicus cows and to study the cost effectiveness of retaining non-pregnant animals after a short breeding season in tropical region of Mexico. Material and Methods. A total of 128 Bos indicus were included, 87 postpartum cows (PP) with ≤90 days after calving and 41 open cows (OC) with >90 days open. The study was divided into three phases: 1) Estrus synchronization followed by FTAI (day 0-10), 2) Estrus detection and AI (day 11-45) and 3) Natural mating (day 46-90). For the first phase, all animals were synchronized and AI at fixed time (day 10). Cows displaying overt signs of estrus (day 11-45) were AI. Open cows during the previous two phases were exposed to the bull. Results. Pregnancy in phase 1 was different (p<0.01) for PP and OC groups, 58.6% and 34.1%, respectively. Overall pregnancy percentage over the second service was 42.5% (p>0.05). No differences (p>0.05) were observed at phase 3, average 44.2%. By the end of the breeding season, the cost of OC, was 3 times more expensive than PP cows. Conclusions. Pregnancy rate at first phase was higher in PP cows than OC cows. At the end of breeding season, a pregnancy rate of 80% was found. Incorporation of open cows from previous breeding season was more expensive than PP cows in all phases of the breeding program. Retaining an open cow for rebreeding one year or more could not be economically feasible.",20210501,"Martínez, José F. ; Galina, Carlos S. ; Rubio, Ivette ; Balam, Wendy L. ; Corro, Manuel D.",Article,Academic Journal,may-ago2021,true,Revista MVZ Córdoba,Zebus ; Estrus synchronization ; Cost effectiveness ; Cows ; Estrus ; Pregnancy ; Mexico,JOUR,,,0122-0268,,,,,spa,Revista MVZ Cordoba,10,1,10,26,2,10.21897/rmvz.2130,,6N67,,https://research.ebsco.com/plink/12f80348-8a54-3ac7-8a71-e6be8ef9fdc0,,,,
Academic Search Ultimate,asn,75054993,Nyctiphanes simplex (Crustacea: Euphausiacea) temporal association of embryogenesis and early larval development with female molt and ovarian cycles.,"Embryogenesis (single cell to twitching stage) and early larval stages (nauplius to calyptopis 3) internal morphology of the sac-spawning species Nyctiphanes simplex was investigated to explore its temporal association with gonad development and molt development cycles. Krill were collected and incubated shipboard in July 2007 and March 2010 in the Gulf of California. Cleavage patterns were similar to what is observed in broadcast-spawning species, suggesting a close phylogenetic consistency between krill species with distinct spawning strategies. Nyctiphanes simplex, like broadcast-spawning krill species, had eight Kranzzellen (K1–K8) cells during the blastula stage. The gonad of ovigerous females with embryos in the cell division stage is in the multiplication stage (Stage I). From the nauplius stage, most females are in previtellogenesis (Stage II). Only females with metanauplii occasionally have gonads in vitellogenesis (Stage III). Gonad maturity (Stage IV) occurs only after the release of the embryos from the ovigerous sac. Females with an ovigerous sac were invariably at the intermolt stage, suggesting a precise synchronization among processes of molting, gonad development and embryo release to produce consecutive broods. Lipid and carbohydrate storage decreased exponentially throughout embryonic and early larval development, depending on their endogenous reserves. When metanauplii leave the ovigerous sac, they have low storage lipid (<2%) and carbohydrate (<5%). These proportions suggest a theoretically short period-of-no-return (<2 days), when they transform into the first feeding stage (calyptopis 1).",20120601,"Montuy-Gómez, Dellis ; Gómez-Gutiérrez, Jaime ; Rodríguez-Jaramillo, Carmen ; Robinson, Carlos J.",Article,Academic Journal,Jun2012,true,Journal of Plankton Research,Nyctiphanes ; Embryology ; Menstrual cycle ; Gonads ; Krill ; Cell division ; Gulf of California (Mexico) ; Mexico,JOUR,,,0142-7873,,,,,eng,Oxford University Press / USA,547,531,17,34,6,10.1093/plankt/fbs026,,N5U,,https://research.ebsco.com/plink/206bf14b-05ea-3d27-b5c9-1b495aa01147,,,,
Academic Search Ultimate,asn,112629622,Mothers and offspring: The rabbit as a model system in the study of mammalian maternal behavior and sibling interactions.,"This article is part of a Special Issue “Parental Care”. Jay Rosenblatt effectively promoted research on rabbit maternal behavior through his interaction with colleagues in Mexico. Here we review the activities of pregnant and lactating rabbits ( Oryctolagus cuniculus ), their neuro-hormonal regulation, and the synchronization of behavior between mother and kits. Changing concentrations of estradiol, progesterone, and prolactin throughout gestation regulate nest-building (digging, straw-carrying, fur-pulling) and prime the mother's brain to respond to the newborn. Nursing is the only mother–young contact throughout lactation. It happens once/day, inside the nest, with ca. 24 h periodicity, and lasts around 3 min. Periodicity and duration of nursing depend on a threshold of suckling as procedures reducing the amount of nipple stimulation interfere with the temporal aspects of nursing, though not with the doe's maternal motivation. Synchronization between mother and kits, critical for nursing, relies on: a) the production of pheromonal cues which guide the young to the mother's nipples for suckling; b) an endogenous circadian rhythm of anticipatory activity in the young, present since birth. Milk intake entrains the kits' locomotor behavior, corticosterone secretion, and the activity of several brain structures. Sibling interactions within the huddle, largely determined by body mass at birth, are important for: a) maintaining body temperature; b) ensuring normal neuromotor and social development. Suckling maintains nursing behavior past the period of abundant milk production but abrupt and efficient weaning occurs in concurrently pregnant-lactating does by unknown factors. Conclusion: female rabbits have evolved a reproductive strategy largely dissociating maternal care from maternal presence, whose multifactorial regulation warrants future investigations.",20160101,"González-Mariscal, G. ; Caba, M. ; Martínez-Gómez, M. ; Bautista, A. ; Hudson, R.",Article,Academic Journal,Jan2016,true,Hormones & Behavior,"Mother-child relationship ; Parental behavior in animals ; Laboratory rabbits ; Siblings ; Mammals ; Psychology ; Mexico ; Rosenblatt, Jay S.",JOUR,,,0018-506X,,,,,eng,Academic Press Inc.,41,30,12,77,,10.1016/j.yhbeh.2015.05.011,,7YT,,https://research.ebsco.com/plink/61874fab-fb24-3301-a9c9-2b2e6c54ddc3,,,,
Academic Search Ultimate,asn,142782254,Cow-calf management practices in Mexico: Reproduction and breeding.,"Beef cattle breeding has developed in extensive grazing systems in Mexico, concerning the livelihood of over one million families and affecting the use of natural resources. Reproductive efficiency is a major determinant of both the environmental impact of the herd, and the economic viability of the cow-calf production system. As reproductive traits have low heritability, reproductive efficiency can be largely influenced by herd management practices. Thus, a questionnaire was administered as personal interviews to 3280 producers, to investigate the prevalence of practices that could directly influence the reproductive outcome of their cattle. Results show that yearround breeding (93%) and natural service by the bull (97.4%) are the most common mating methods. However, only 41% of producers evaluate the breeding soundness of their bulls, and diagnostic testing for specific reproductive diseases of the sires is barely performed in 20% of the farms. The main declared reason for replacing the bull is old age (26.8%), which is followed by to avoid inbreeding (68.4%). Less than 10% of the operations use methods for the synchronization of the estrous cycle, and most farmers breed their heifers for the first time after 2 years of age (73%). Diagnosis of pregnancy is performed in merely 31% of operations, with 23% of the producers declaring to discard non-pregnant cows. Energy or protein feed supplements are provided to the cattle in 63% of the production units, whilst mineral supplements are given in 79% of the farms. Calves are typically weaned between 6 months and a year of age (85%). Only 16% of operations vaccinate against brucellosis and 17.5% against other reproductive diseases (IBR-DVB-VSR and Leptospirosis). The present study showcases a low frequency of adoption of basic reproductive management practices by cow-calf operations in Mexico. Advancement of these practices, as well as implementation and promotion of associated technologies, denotes an area of opportunity to improve the reproductive efficiency of the national herd.",20200101,"Lassala, Arantzatzu ; Hernández-Cerón, Joel ; Pedernera, Mariana ; González-Padilla, Everardo ; Gutiérrez, Carlos G.",Article,Academic Journal,2020,true,Veterinaria México OA,Cow-calf system ; Natural resources ; Reproduction ; Cattle reproduction ; Estrus ; Beef cattle breeds ; Mexico ; Beef Cattle Ranching and Farming ; Livestock Merchant Wholesalers ; Dual-Purpose Cattle Ranching and Farming ; Cattle Feedlots,JOUR,,,2448-6760,,,,,eng,Facultad de Medicina Veterinaria y Zootecnia UNAM,15,1,15,7,1,10.22201/fmvz.24486760e.2020.1.839,,NFHU,,https://research.ebsco.com/plink/cfb90340-9f05-3622-98d4-67e8312d7d54,,,,
Academic Search Ultimate,asn,35704922,Pregnancy success of lactating Holstein cows after a single administration of a sustained-release formulation of recombinant bovine somatotropin.,"Background: Results regarding the use of bovine somatotropin for enhancing fertility in dairy cattle are variable. Here, the hypothesis was tested that a single injection of a sustained-release preparation of bovine somatotropin (bST) during the preovulatory period would improve pregnancy success of lactating dairy cows at first service. Results: The first experiment was conducted in a temperate region of Mexico. Cows inseminated following natural estrus or timed artificial insemination were given a single injection of bST or a placebo injection at insemination (n = 100 cows per group). There was no significant difference between bST and control groups in the proportion of inseminated cows diagnosed pregnant (29 vs 31% pregnant). The second experiment was performed during heat stress in Florida. Cows were subjected to an ovulation synchronization regimen for first insemination. Cows treated with bST received a single injection at 3 days before insemination. Controls received no additional treatment. As expected, bST did not increase vaginal temperature. Treatment with bST did not significantly increase the proportion of inseminated cows diagnosed pregnant although it was numerically greater for the bST group (24.2% vs 17.8%, 124-132 cows per group). There was a tendency (p = 0.10) for a smaller percent of control cows to have high plasma progesterone concentrations (≥ 1 ng/ml) at Day 7 after insemination than for bST-treated cows (72.6 vs 81.1%). When only cows that were successfully synchronized were considered, the magnitude of the absolute difference in the percentage of inseminated cows that were diagnosed pregnant between bST and control cows was reduced (24.8 vs 22.4% pregnant for bST and control). Conclusion: Results failed to indicate a beneficial effect of bST treatment on fertility of lactating dairy cows.",20080101,"Bell, A. ; Rodríguez, OA ; de Castro e Paula, L. A. ; Padua, M. B. ; Hernández-Cerón, J. ; Gutiérrez, C. G. ; De Vries, A. ; Hansen, P. J.",Article,Academic Journal,2008,true,BMC Veterinary Research,Pregnancy in animals ; Holstein-Friesian cattle ; Recombinant bovine somatotropin ; Controlled release preparations ; Lactation ; Mexico ; Florida,JOUR,,,1746-6148,,,,,eng,BioMed Central,8,1,8,4,,10.1186/1746-6148-4-22,,38LV,,https://research.ebsco.com/plink/0c996b01-7004-31cb-8586-b78645fe3512,,,,
