longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
Academic Search Ultimate,asn,150149126,Ultrasound image segmentation methods: A review.,"Breast cancer is one of the leading causes of death in México and among the world. This is mainly due to late diagnosis and the price of cancer treatment. Ultrasound (US) is one of the most used tools for image-based assessment of this disease, since it can help discriminate solid vs. cystic masses, as well as between benign or malignant masses. However, ultrasound imaging depends largely on the radiologists experience. A detection not depending on such experience should produce better diagnosis; therefore, it is necessary to develop automatic detection systems for US images. These systems are based on the image segmentation, which is an image processing technique used to analyze and group pixels by their features. US image segmentation represents important challenges due to the complicated appearance of healthy and tumoral tissue in the ultrasound image that includes speckle pattern, low contrast, blurred boundaries, etc. In this work, we provide a review of tests and comparisons of various segmentation methods that had helped to detect lesions in US images, we present some visual examples to compare this methods and we evaluate their performance in order to develop computer-aided diagnostic systems that help radiologists to do better diagnoses.",20201021,"Bass, Vivian ; Mateos, Julieta ; Rosado-Mendez, Ivan M. ; Márquez, Jorge ; Rosado-Mendez, Ivan Miguel ; Hernández-Bojórquez, Mariana ; Morales-Barcenas, Jose Hector ; Galavis, Paulina Esther ; Porras-Chaverri, Mariela Adelaida",Article,Conference Proceedings,2020,,AIP Conference Proceedings,Ultrasonic imaging ; Image processing ; Delayed diagnosis ; Imaging systems ; Speckle interference ; Image segmentation ; Mexico City (Mexico) ; Photofinishing Laboratories (except One-Hour) ; One-Hour Photofinishing ; Photographic and Photocopying Equipment Manufacturing ; Computer Terminal and Other Computer Peripheral Equipment Manufacturing,JOUR,,,0094-243X,,,,,eng,American Institute of Physics,4,1,4,2348,1,10.1063/5.0051110,,86P,,https://research.ebsco.com/plink/321875d5-e3ee-302c-bd42-f76f7e987344,,,,
Academic Search Ultimate,asn,153225143,"Geophysical characterization, design and construction of the Teoloyucan Geophysical Test Site for archaeological and engineering applications, Central Mexico.","The Teoloyucan Geophysical Test Site (TGTS) is designed to replicate and simulate scenarios encountered in engineering and archaeological contexts. It is meant for calibrating instruments, testing near-surface geophysical techniques, training students and developing new ideas for shallow surveys and data interpretation. TGTS has been built within the Teolyucan Geomagnetic Observatory of the Universidad Nacional Autónoma de México (UNAM) in the town of Teoloyucan, N of Mexico City. The test site covers an area of 864.00 m<sup>2</sup>, consisting of 17 structures buried less than 2.00 m deep with regular and irregular shapes, and vertical and horizontal layers simulating stratigraphic sequences. We selected materials similar to those commonly used since the Pre-Hispanic period (adobe, wood, basalt, tezontle), and current materials (concrete, reinforced concrete, plastic containers and PVC). Prior to the construction, the field area was characterized by a combination of non-invasive near-surface geophysical techniques including magnetic gradiometry, electromagnetic induction, ground penetrating radar, seismic refraction tomography and electrical resistivity tomography. The structures' physical properties (density, elastic modules, electrical conductivity and magnetic susceptibility) and their geometrical characteristics are well known, therefore the near-surface geophysical response of the TGTS is controlled. The geophysical results indicate three flat interfaces at approximate depths of 0.45 m, 0.91 m and 1.82 m, respectively. The lithological analysis indicate that the layers are well graded coarse soil layers, including two volcanic hard-horizons (tepetates). Geophysical results coincide with Teoloyucan's lithology, proving that the field area selected is suitable for a test site. • Construction of a near-surface test site for engineering and archaeological purposes. • Site characterization using five non-invasive near-surface geophysical techniques. • Integration of geophysical and lithological results define the site's subsurface. • Joint of geophysical imaging and lithological analysis for tepetate's characterization.",20211101,"Rosado-Fuentes, Alejandro ; Arciniega-Ceballos, Alejandra ; Hernández-Quintero, Esteban ; Arango-Galván, Claudia ; Salas-Corrales, José Luis ; Mendo-Pérez, Gerardo",Abstract,Academic Journal,Nov2021,,Journal of Applied Geophysics,Archaeological excavations ; Archaeological geology ; Ground penetrating radar ; Engineering ; Electromagnetic induction ; Sequence stratigraphy ; Mexico City (Mexico) ; Mexico ; Universidad Nacional Autónoma de México,ABST,,,0926-9851,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,194,,10.1016/j.jappgeo.2021.104459,,3MC,,https://research.ebsco.com/plink/090a693f-0e15-35ac-bf20-48ad8148a4bb,,,,
Academic Search Ultimate,asn,23261601,When Should We Be Concerned about Pancreatic Necrosis? Analysis from a Single Institution in Mexico City.,"Although pancreatic necrosis classifies acute pancreatitis (AP) as severe, many patients with tomographic evidence of necrosis never develop systemic complications. Our aim was to analyze the incidence of pancreatic necrosis, organ failure (OF), and the relationship between them. Medical records from 165 patients with a first AP episode and in whom a contrast-enhanced computed tomography (CECT) was performed were analyzed. Pancreatic necrosis was diagnosed as non-enhancing areas of the pancreas on the CECT and was graded as <30%, 30%–50%, and >50%. Pancreatic infection was assessed by guided percutaneous aspiration. Organ failure was defined according to the Atlanta criteria. Of 165 patients (mean age 42 years, 85 men), 54 (33%) had pancreatic necrosis. Necrosis was graded as <30% in 25 subjects (46%), 30%–50% in 16 (30%), and >50% in 13 (24%). Pancreatic infection was diagnosed in 14 cases (26%). Organ failure occurred in 49 patients: in 20 patients (37%) with necrosis, and in 29 patients (26%) without necrosis ( P = 0.20). Extensive pancreatic necrosis (>50%) ( P < 0.05) and infected necrosis ( P < 0.05) were significantly associated with OF. Eight patients, all of them with OF, died. In 6 of these cases infected pancreatic necrosis was present. Patients with pancreatic necrosis are not necessarily at risk of developing OF. However, it should be considered an important risk factor when the necrotizing process compromises more than 50% of the gland and is infected.",20061201,"Remes-Troche, José M. ; Uscanga, Luis F. ; Peláez-Luna, Mario ; Duarte-Rojo, Andres ; González-Balboa, Paola ; Teliz, Marco Antonio ; Chan-Nunez, Carlos ; Campuzano, Manuel ; Robles-Díaz, Guillermo",Article,Academic Journal,Dec2006,true,World Journal of Surgery,Necrosis microbiology ; Pancreatitis ; Multiple organ failure ; Double-contrast examination ; Pancreas radiography ; Infection ; Diagnosis ; Patients ; Mexico City (Mexico),JOUR,,,0364-2313,,,,,eng,Wiley-Blackwell,2233,2227,7,30,12,10.1007/s00268-006-0148-8,,4J5,,https://research.ebsco.com/plink/7f27cfe5-33a0-39e3-a78a-9b537e3ed53e,,,,
Academic Search Ultimate,asn,161762749,"Fall Risk, Sleep Behavior, and Sleep-Related Movement Disorders in Young Urbanites Exposed to Air Pollution.","Background: Quadruple aberrant hyperphosphorylated tau, amyloid-β, α-synuclein, and TDP-43 pathology had been documented in 202/203 forensic autopsies in Metropolitan Mexico City ≤40-year-olds with high exposures to ultrafine particulate matter and engineered nanoparticles. Cognition deficits, gait, equilibrium abnormalities, and MRI frontal, temporal, caudate, and cerebellar atrophy are documented in young adults. Objective: This study aimed to identify an association between falls, probable Rapid Eye Movement Sleep Behavior Disorder (pRBD), restless leg syndrome (RLS), and insomnia in 2,466 Mexican, college-educated volunteers (32.5±12.4 years). Methods: The anonymous, online study applied the pRBD and RLS Single-Questions and self-reported night-time sleep duration, excessive daytime sleepiness, insomnia, and falls. Results: Fall risk was strongly associated with pRBD and RLS. Subjects who fell at least once in the last year have an OR = 1.8137 [1.5352, 2.1426] of answering yes to pRBD and/or RLS questions, documented in 29% and 24% of volunteers, respectively. Subjects fell mostly outdoors (12:01 pm to 6:00 pm), 43% complained of early wake up hours, and 35% complained of sleep onset insomnia (EOI). EOI individuals have an OR of 2.5971 [2.1408, 3.1506] of answering yes to the RLS question. Conclusion: There is a robust association between falls, pRBD, and RLS, strongly suggesting misfolded proteinopathies involving critical brainstem arousal and motor hubs might play a crucial role. Nanoparticles are likely a significant risk for falls, sleep disorders, insomnia, and neurodegenerative lethal diseases, thus characterizing air particulate pollutants' chemical composition, emission sources, and cumulative exposure concentrations are strongly recommended.",20230201,"Calderón-Garcidueñas, Lilian ; Kulesza, Randy ; Greenough, Glen P. ; García-Rojas, Edgar ; Revueltas-Ficachi, Paula ; Rico-Villanueva, Adriana ; Flores-Vázquez, Jorge Orlando ; Brito-Aguilar, Rafael ; Ramírez-Sánchez, Silvia ; Vacaseydel-Aceves, Nora ; Cortes-Flores, Ana Paulina ; Mansour, Yusra ; Torres-Jardón, Ricardo ; Villarreal-Ríos, Rodolfo ; Koseoglu, Emel ; Stommel, Elijah W. ; Mukherjee, Partha S.",Article,Academic Journal,2023,true,Journal of Alzheimer's Disease,Rapid eye movement sleep ; Movement disorders ; Air pollution ; City dwellers ; Sleep duration ; Mexico City (Mexico),JOUR,,,1387-2877,,,,,eng,IOS Press,862,847,16,91,3,10.3233/JAD-220850,,FLR,,https://research.ebsco.com/plink/f675d079-31bf-33b4-8455-cdb45480cf01,,,,
Academic Search Ultimate,asn,161446279,"Fall Risk, Sleep Behavior, and Sleep-Related Movement Disorders in Young Urbanites Exposed to Air Pollution.","Background: Quadruple aberrant hyperphosphorylated tau, amyloid-β, α-synuclein, and TDP-43 pathology had been documented in 202/203 forensic autopsies in Metropolitan Mexico City ≤40-year-olds with high exposures to ultrafine particulate matter and engineered nanoparticles. Cognition deficits, gait, equilibrium abnormalities, and MRI frontal, temporal, caudate, and cerebellar atrophy are documented in young adults. Objective: This study aimed to identify an association between falls, probable Rapid Eye Movement Sleep Behavior Disorder (pRBD), restless leg syndrome (RLS), and insomnia in 2,466 Mexican, college-educated volunteers (32.5±12.4 years). Methods: The anonymous, online study applied the pRBD and RLS Single-Questions and self-reported night-time sleep duration, excessive daytime sleepiness, insomnia, and falls. Results: Fall risk was strongly associated with pRBD and RLS. Subjects who fell at least once in the last year have an OR = 1.8137 [1.5352, 2.1426] of answering yes to pRBD and/or RLS questions, documented in 29% and 24% of volunteers, respectively. Subjects fell mostly outdoors (12:01 pm to 6:00 pm), 43% complained of early wake up hours, and 35% complained of sleep onset insomnia (EOI). EOI individuals have an OR of 2.5971 [2.1408, 3.1506] of answering yes to the RLS question. Conclusion: There is a robust association between falls, pRBD, and RLS, strongly suggesting misfolded proteinopathies involving critical brainstem arousal and motor hubs might play a crucial role. Nanoparticles are likely a significant risk for falls, sleep disorders, insomnia, and neurodegenerative lethal diseases, thus characterizing air particulate pollutants' chemical composition, emission sources, and cumulative exposure concentrations are strongly recommended.",20230115,"Calderón-Garcidueñas, Lilian ; Kulesza, Randy ; Greenough, Glen P. ; García-Rojas, Edgar ; Revueltas-Ficachi, Paula ; Rico-Villanueva, Adriana ; Flores-Vázquez, Jorge Orlando ; Brito-Aguilar, Rafael ; Ramírez-Sánchez, Silvia ; Vacaseydel-Aceves, Nora ; Cortes-Flores, Ana Paulina ; Mansour, Yusra ; Torres-Jardón, Ricardo ; Villarreal-Ríos, Rodolfo ; Koseoglu, Emel ; Stommel, Elijah W. ; Mukherjee, Partha S.",Article,Academic Journal,2023,true,Journal of Alzheimer's Disease,Rapid eye movement sleep ; Movement disorders ; Air pollution ; City dwellers ; Sleep duration ; Mexico City (Mexico),JOUR,,,1387-2877,,,,,eng,IOS Press,862,847,16,91,2,10.3233/JAD-220850,,FLR,,https://research.ebsco.com/plink/1ae4035a-fc6e-359a-a06b-63cc30aa44c1,,,,
Academic Search Ultimate,asn,169801874,Comorbidities and clinical symptoms can modify myocardial function: a cross-sectional study with PET/CT.,"Objective: Associating comorbidities and cardiac symptoms that alter myocardial mechanical function could help clinicians to correctly identify at-risk population. Methods: We conducted a functional open population cross-sectional study of patients referred to a positron emission tomography/computed tomography unit in Mexico City for evaluation of myocardial function, perfusion, and coronary circulation. Ischemia was defined as a sum difference score = 2. Association between comorbidities and cardiac symptoms was tested using logistic regression models and trend analysis. We performed an interaction analysis to evaluate the addition of any accompanying symptoms to comorbid conditions on impairment of myocardial function. Results: One thousand two hundred and seventy-three patients were enrolled, 66.1% male, with a mean age of 62.4 (± 12.7) years, 360 (28.7%) with ischemia, 925 (72.7%) with at least one comorbidity, and 676 (53.1%) had at least one associated cardiac symptom. Patients without ischemia, type 2 diabetes, arterial hypertension, and adverse cardiac symptoms were associated with adverse mechanical, perfusion, and coronary flow parameters. We observed a trend of a cumulative number of comorbidities and cardiac symptoms with increased ischemia and decreased coronary flow. Only in decreased left ventri-cular ejection fraction, we demonstrated an interaction effect between increased comorbidities and adverse symptoms. Conclusion: The high burden of comorbidities and symptoms in our population alters myocardial function regardless of the level of ischemia.",20230701,"Alexanderson-Rosas, Erick ; Antonio-Villa, Neftali E. ; Guerra, Enrique C. ; Gurrola-Luna, Hector ; Barajas-Paulin, Andrea J. ; Espejel-Guzman, Adrian ; Prieto-Vargas, Valentina ; Aparicio-Ortiz, Alexis D. ; Serrano-Roman, Javier ; Cabello-Ganem, Aldo ; Bautista-Perez-Gavilan, Alejandro ; Carvajal-Juarez, Isabel ; Solorzano-Pinot, Enrique ; Espinola-Zavaleta, Nilda",Article,Academic Journal,Jul-Sep2023,true,Archivos de Cardiología de México,Comorbidity ; Myocardial ischemia ; Symptoms ; Cardiac radionuclide imaging ; Positron emission tomography ; Coronary circulation ; Disease risk factors ; Coronary disease ; Mexico City (Mexico) ; Diagnostic Imaging Centers,JOUR,,,1405-9940,,,,,eng,Publicidad Permanyer SLU,344,336,9,93,3,10.24875/ACM.22000088,,7KH,,https://research.ebsco.com/plink/773e843b-2121-38b5-8404-cae6398c11a5,,,,
Academic Search Ultimate,asn,157683728,Pulmonary Histoplasmosis in a Referral Hospital in Mexico City.,"Pulmonary histoplasmosis is caused by inhaling Histoplasma capsulatum. Less than 1% develops the disease. Risk factors in immunocompetent individuals are environmental exposures in endemic areas. The objective of this study is to determine the frequency, clinical, and microbiological characteristics in immunocompetent patients. A retrospective case series study of patients diagnosed with pulmonary histoplasmosis was performed in a respiratory care unit in Mexico City from 2000 to 2020. Each patient had bronchial lavage, and three patients underwent thoracoscopy for the lung tissue sample taken for the culture in Sabouraud Dextrose Agar. Twelve patients were identified, 8 males and 4 females; the predominant symptoms were fever (83%), dyspnea (75%), chest pain (66%), hemoptysis (41%), and weight loss (33%). The computed tomography of the chest showed the following findings: patchy consolidation 12 (100%), hilar adenopathy 6 (50%), pleural effusion 6 (50%), caverns 3 (25%), and solitary pulmonary nodule in one patient (8%). Histoplasma capsulatum was found in the culture of all twelve patients. The signs and symptoms of the disease are mediated by the immune status of the host. The clinical picture is often confused with systemic diseases. It is important to have a high degree of clinical suspicion to make a timely diagnosis.",20220624,"Hernández Solís, Alejandro ; Araiza Santibáñez, Javier ; Tejeda Olán, Jazmín Guadalupe ; Quintana Martínez, Andrea ; Hernández de la Torriente, Alejandro ; de la Torriente Mata, Rocio",Article,Academic Journal,6/24/2022,true,Canadian Journal of Infectious Diseases & Medical Microbiology,Histoplasmosis ; Solitary pulmonary nodule ; Urban hospitals ; Symptoms ; Computed tomography ; Bronchoalveolar lavage ; Mexico City (Mexico) ; Irradiation Apparatus Manufacturing ; General Medical and Surgical Hospitals,JOUR,,,1712-9532,,,,,eng,Wiley-Blackwell,6,1,6,,,10.1155/2022/2121714,,1GDE,,https://research.ebsco.com/plink/07af9ec6-3e99-391c-a6f0-71f0af10d01e,,,,
Academic Search Ultimate,asn,178336146,Analyzing possible seismic velocity changes in Mexico City using seismic noise interferometry.,"The seismic response of the Mexico City basin has received plenty of attention as one of the most relevant cases of ground motion amplification. A recent study showed possible velocity variations of the deposits in both the lake bed and firm ground. A clear drop in seismic velocity was observed during the 2017.09.19 earthquake (Mw 7.1) in addition to more subtle seismic velocity changes related to seasonal temperature and precipitation. We use continuous seismic noise data recorded in a 29 broadband seismograph network in and around Mexico City to investigate Rayleigh wave group velocity structure and velocity changes. We estimate Green's functions (GF) between station pairs using seismic noise cross-correlation. An average estimate is computed for each of three five-day periods of recording. GFs are dominated by a Rayleigh pulse at low frequencies (between 0.1 and 0.2 Hz). Velocity changes are investigated through the comparison between GF's for different five-day periods. No velocity variations are observed. Station pairs separated at a distance smaller than 20 km also show some Rayleigh wave energy at higher frequencies, between 0.3 and 1.2 Hz. We repeated the analysis in a higher frequency band (up to 5 Hz) and show that again no velocity variation can be observed. In addition, we used horizontal-to-vertical spectral ratios computed for both earthquake and seismic noise records to identify possible non-linear effects during the 2017 earthquake. The results showed that significant non-linear effects during that event are to be discarded. Finally, we present preliminary results of a tomography of Rayleigh wave group velocity at the center of the array. Lateral structure variations below the geotechnical zonation are significant. Our data will be useful to constrain the structure of the volcanic deposits of the Transmexican Volcanic Belt (TVB). • No velocity changes are observed using seismic interferometry. • Two different frequency bands could be examined. • HVSR indicate no non-linear effects during the 2019.09.19 earthquake. • Preliminary tomography shows large heterogeneities below the surface geology.",20240801,"Chávez-García, Francisco J. ; Quintanar, Luis",Article,Academic Journal,Aug2024,true,Soil Dynamics & Earthquake Engineering (0267-7261),Microseisms ; Seismic wave velocity ; Surface waves (Seismic waves) ; Ground motion ; Green's functions ; Rayleigh waves ; Mexico City (Mexico),JOUR,,,0267-7261,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,183,,10.1016/j.soildyn.2024.108785,,JJS,,https://research.ebsco.com/plink/190771c7-2569-3c63-a016-adee97b3d15c,,,,
Academic Search Ultimate,asn,87904560,El método de Polarización Inducida aplicado en la contaminación de suelos por hidrocarburos.,"The evidence obtained by some authors devoted to electrical methods has shown that when a conventional resistivity survey is performed, it is not possible to differentiate areas with similar electrochemical behavior of both the organic and inorganic origin. Therefore, in recent years the method of Induced Polarization (IP) has been applied to soil contamination problems, showing encouraging results. This technique was tested, working in the time domain through an electrical tomography profile of resistivity and chargeability data, which was conducted at a site contaminated by hydrocarbons located in the north of Mexico City, where stratigraphy and distribution of the contaminant were complex. The hydrocarbons were found in a free and dissolved phase, which provided the conditions for taking soil and water samples. These samples were sent to a laboratory for chemical analysis, which depicted benzene concentration in four wells. The obtained results show that it is possible to define areas of large concentration of pollutants, by correlating electrical information, capacitive and qualitatively, with the information from the Cole-Cole parameters, demonstrating the potential of induced polarization method in pollution problems",20130101,"Tejero Andrade, Andrés ; Esmeralda López González, Aide",Article,Academic Journal,2013,true,Boletín de la Sociedad Geológica Mexicana,Electrical resistivity ; Tomography ; Polarization (Electricity) ; Hydrocarbons ; Pollution ; Soil pollution ; Mexico City (Mexico) ; Natural Gas Liquid Extraction,JOUR,,,1405-3322,,,,,spa,Sociedad Geologica Mexicana,8,1,8,65,1,10.18268/BSGM2013v65n1a1,,77UI,,https://research.ebsco.com/plink/0cdcd48f-b613-3c5e-88d7-7b1f4269289f,,,,
