longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
Academic Search Ultimate,asn,181829850,Conceptions of Recovery and Relapse of Severe Mental Illness from the Perspective of Mental Health Personnel in Mexico City.,"This study explores recovery from severe mental disorders from the perspective of 89 mental health care professionals working in Mexico City, using a mixed method approach. The participants were recruited and interviewed from mental health and addiction treatment facilities in Mexico City using convenience sampling techniques. Transcribed interviews were coded and analyzed for thematic content regarding recovery and relapse of mental illness. On the quantitative level, we used a sample of 11 items from the Mexican adaptation of the Opinions about Mental Illness questionnaire to compare the attitudes of health personnel and consider differences by gender. Of the respondents, 18% did not believe that recovery was possible for individuals with severe mental disorders, but most believed in recovery in at least some cases. The results also indicated a strong orientation toward recovery in the clinical sense, focused on patients' symptomatology. There were significant differences in attitudes toward mental illness items by gender. Men showed more favorable attitudes than women (F = 6.60, p =.05). However, the small size of our sample limits the generalizability of the findings. Educational strategies based on social contact with persons with mental health problems could be useful in modifying negative attitudes toward mental illness.",20241201,"Gonzalez, Veronica Valencia ; Rios, Jazmín Mora",Article,Academic Journal,Dec2024,true,International Journal of Mental Health & Addiction,Mental health services ; Attitudes of medical personnel ; Medical personnel ; Mental health personnel ; Cognitive psychology ; Attitudes toward illness ; Mexico City (Mexico) ; Offices of Mental Health Practitioners (except Physicians) ; Residential Mental Health and Substance Abuse Facilities ; Psychiatric and Substance Abuse Hospitals,JOUR,,,1557-1874,,,,,eng,Springer Nature,3396,3380,17,22,6,10.1007/s11469-023-01055-5,,46AW,,https://research.ebsco.com/plink/651c53d4-141e-3352-b4fa-d96380d0d748,,,,
Academic Search Ultimate,asn,147738420,Updating Real-World Profiles of Volatile Organic Compounds and Their Reactivity Estimation in Tunnels of Mexico City.,"The main objective of this work was to bring to date the exhaust and evaporative volatile organic compound (VOC) profiles from light-duty gasoline vehicles, carrying out a sampling and analysis campaign in two tunnels of Mexico City. The abundance of exhaust-emission VOC profiles was the same in 2018 as in 1998 (alkanes > aromatics > olefins > acetylene), albeit exhibiting large differences (67%, 17%, 12%, and 4% for 2018, and 50%, 26%, 16%, and 8% for 1998, respectively). An important reduction of 69% and 77% in VOC concentrations was registered inside and outside of the tunnel, respectively, in comparison with 1998. In the ambient air, alkanes accounted for 77%, since high concentrations of liquefied petroleum (LP) gas species are still present. Ethylene, propylene, 1-butene, and toluene from tunnel emissions contributed prominently to ozone formation, while the most reactive gasoline vapors were pentenes, pentanes, and butenes, although the ozone formation potential due to VOCs in tunnel emissions and ambient air also had a significant reduction. These results demonstrate that strategies carried out in the last 20 years were successful in achieving a better air quality, although the aromatic and olefin content in gasolines needs to be further reduced to lower the concentrations of toxic and reactive species.",20201201,"Mugica-Álvarez, Violeta ; Magaña-Reyes, Miguel ; Martínez-Reyes, Adriana ; Figueroa-Lara, Jesús ; Blanco-Jiménez, Salvador ; Goytia-Leal, Valia ; Páramo-Figueroa, Victor H. ; García-Martínez, Rocío",Article,Academic Journal,Dec2020,true,Atmosphere,Volatile organic compounds ; Tunnels ; Automobile emissions ; Toluene ; Mexico City (Mexico) ; Petrochemical Manufacturing ; Petroleum Refineries ; Other Heavy and Civil Engineering Construction ; Electrical Contractors and Other Wiring Installation Contractors,JOUR,,,2073-4433,,,,,eng,MDPI,1339,1339,1,11,12,10.3390/atmos11121339,,B74A,,https://research.ebsco.com/plink/90a68402-8a44-3c14-a325-9114d30d4d5a,,,,
Academic Search Ultimate,asn,59362245,Survey of aflatoxins in maize tortillas from Mexico City.,"In Mexico, maize tortillas are consumed on a daily basis, leading to possible aflatoxin exposure. In a survey of 396 2-kg samples, taken over four sampling days in 2006 and 2007 from tortilla shops and supermarkets in Mexico City, aflatoxin levels were quantified by HPLC. In Mexico, the regulatory limit is 12 µg kg-1 total aflatoxins for maize tortillas. In this survey, 17% of tortillas contained aflatoxins at levels of 3-385 µg kg-1 or values below the limit of quantification (<LOQ) and, of these, 13% were >12 µg kg-1 and 87% were below the regulatory limit. Average aflatoxin concentrations in 56 contaminated samples were: AFB1 (12.1 µg kg-1); AFB2 (2.7 µg kg-1); AFG1 (64.1 µg kg-1) and AFG2 (3.7 µg kg-1), and total AF (20.3 µg kg-1).",20110301,"Castillo-Urueta, Pável ; Carvajal, Magda ; Méndez, Ignacio ; Meza, Florencia ; Gálvez, Amanda",Article,Academic Journal,Mar2011,true,Food Additives & Contaminants: Part B: Surveillance Communications,Aflatoxins ; Plant toxins ; Tortillas ; High performance liquid chromatography ; Corn varieties ; Supermarkets ; Pollutants ; Trace elements ; Mexico City (Mexico) ; Mexico ; Corn Farming ; Supermarkets and Other Grocery (except Convenience) Stores ; Tortilla Manufacturing,JOUR,,,1939-3210,,,,,eng,Taylor & Francis Ltd,51,42,10,4,1,10.1080/19393210.2010.533390,,5EVZ,,https://research.ebsco.com/plink/e6e7f294-9cd6-3ddc-abfd-e2b303f3d9bf,,,,
Academic Search Ultimate,asn,26878683,A Vehicle Emissions System Using a Car Simulator and a Geographical Information System: Part 1--System Description and Testing.,"A methodology for estimating vehicular emissions comprising a car simulator, a basic traffic model, and a geographical information system is capable of estimating vehicle emissions with high time and space resolution. Because of the extent of the work conducted, this article comprises two sections: In Part 1 of this work, we describe the system and its components and use examples for testing it. In Part 2 we will study in more detail the emissions of the sample fleet using the system and will make comparisons with another emission model. The experimental data for the car simulator is obtained using on-board measuring equipment and laboratory Fourier transform IR (FTIR) measurements with a dynamometer following typical driving cycles. The car simulator uses this data to generate emission factors every second. These emission factors, together with information on car activity and velocity profiles of highways and residential and arterial roads in Mexico City in conjunction with a basic traffic model, provide emissions per second of a sample fleet. A geographical information system is used to localize these road emissions.",20071001,"Jazcilevich, Arón D. ; García-Fragoso, Alejandro ; Reynoso, Agustín García ; Grutter, Michel ; Diego-Ayala, Ulises ; Lents, Jim ; Davis, Nicole",Article,Academic Journal,Oct2007,true,Journal of the Air & Waste Management Association (Air & Waste Management Association),Automobile emissions ; Combustion gases ; Automobile testing ; Fourier transforms ; Dynamometer ; Mexico City (Mexico) ; Mexico ; Testing Laboratories ; Other Measuring and Controlling Device Manufacturing,JOUR,,,1096-2247,,,,,eng,Air & Waste Management Association,1240,1234,7,57,10,10.3155/1047-3289.57.10.1234,,16VX,,https://research.ebsco.com/plink/394f3822-4ace-329b-8980-b30093b18e93,,,,
Academic Search Ultimate,asn,35818736,Los malestares masculinos: Narraciones de un grupo de varones ádultos de la Ciudad de México.,"Introduction Distresses related to depressive conditions in men have not been sufficiently acknowledged, and yet less studied. The difference between distress and its attention is originated in factors such as a rigid and dual classification of the problem, a false conception that it is a «women's problem», and the social stigma that leads men to accept and face negative emotional states that affect their life quality. This article shows the results of a qualitative study which sought to uncover the social construction of distress from a gender approach and to deepen the understanding about the way men live it and exteriorize it. The concept of loss was taken as a methodological strategy throughout the study to access the male distress experiences, considering that, before an emotionally meaningful loss or an unfavorable event, individuals may react using those experiences. Method Four adult men participated in the study; they were selected using an intensive intentional sampling strategy. We carefully selected only a few cases, seeking to characterize the object of study and to obtain profound information based on reality; they were males who had suffered an important loss. They received a detailed explanation of the study and its objectives, voluntarily accepted to participate and allowed the recording of the interviews. Confidentiality and anonymity were guaranteed. The information was gathered by means of in depth interviews and a thematic guide. We developed categories of analysis from the guide and the study objectives to classify data. Categories were grouped according to their meanings and they generated subcategories that allowed a deeper and more precise analysis. Results The analysis focused on the experiences of four men: Manuel (30 years old), Oscar (36), José (40), and Rodrigo (40). They lived in Mexico City. Manuel and Rodrigo completed high school education, while Oscar and José obtained a college degree. They had different marital status: Oscar is single, Rodrigo is a widower, José is separated from his wife, and Manuel lived together with his girlfriend. Their most important and emotionally meaningful losses, which had caused distress, are described as well as the relationship these had with other aspects of their masculine subjectivity, such as sexuality, the body, violence, sports and work. Loss of couple. Losing the couple was one of the most important experiences the four men lived. This had common causes: psychological and physical violence, cheating, and sexual dissatisfaction. …",20080901,"Bautista, Clara Fleiz ; Sugiyama, Emily Ito ; Icaza, Elena Medina-Mora ; Lira, Luciana Ramos",Article,Academic Journal,sep/oct2008,true,Salud Mental,Depression in men ; Loss (Psychology) ; Social stigma ; Psychological distress ; Quality of life ; Man-woman relationships ; Mexico City (Mexico) ; Mexico,JOUR,,,0185-3325,,,,,spa,Instituto Nacional de Psiquiatria Ramon de la Fuente,390,381,10,31,5,,,7LB,,https://research.ebsco.com/plink/bca48a40-c805-334a-b125-6a59e542a229,,,,
Academic Search Ultimate,asn,145450455,Formaldehyde total column densities over Mexico City: comparison between MAX-DOAS and solar absorption FTIR measurements.,"Formaldehyde (HCHO) total column densities over the Mexico City Metropolitan Area (MCMA) were retrieved using two independent measurement techniques: Multi Axis - Differential Optical Absorption Spectroscopy (MAX-DOAS) and Fourier Transform Infrared (FTIR) Spectroscopy. For the MAX-DOAS measurements, the software QDOAS was used to calculate differential Slant Column Densities (dSCDs) from the measured spectra and subsequently the Mexican MAX-DOAS Fit retrieval code (MMF) to convert from dSCDs to Vertical Column Densities (VCDs). The direct-solar absorption spectra measured with FTIR were analyzed using the PROFFIT retrieval code. Typically the MAX-DOAS instrument reports higher VCDs than those measured with FTIR, in part due to differences found in the ground-level sensitivities as revealed from the retrieval diagnostics from both instruments. Three MAX-DOAS datasets using measurements conducted towards the east, west or both sides of the measurement plane were evaluated with respect to the FTIR results. The retrieved MAX-DOAS HCHO VCDs where 5 %, 9 % and 28 % larger than the FTIR which, supported with satellite data, could demonstrate a large horizontal inhomogeneity in the HCHO abundances. A time-dependent comparison revealed that the vertical distribution of this pollutant, guided by the evolution of the mixing layer height, can play an important role in how the results are affected. Apart from the reported seasonal and diurnal variability of HCHO columns within the urban site, background data from measurements at a high-altitude station, located only 60 km away are presented.",20200901,"Cárdenas, Claudia Rivera ; Guarín, Cesar ; Stremme, Wolfgang ; Friedrich, Martina M. ; Bezanilla, Alejandro ; Ramos, Diana Rivera ; Mendoza-Rodríguez, Cristina A. ; Grutter, Michel ; Blumenstock, Thomas ; Hase, Frank",Article,Academic Journal,9/1/2020,true,Atmospheric Measurement Techniques Discussions,Formaldehyde ; Optical spectroscopy ; Absorption spectra ; Light absorption ; Metropolitan areas ; Mexico City (Mexico) ; Other basic organic chemical manufacturing ; All Other Basic Organic Chemical Manufacturing,JOUR,,,1867-8610,,,,,eng,Copernicus Gesellschaft mbH,27,1,27,,,10.5194/amt-2020-208,,AUEF,,https://research.ebsco.com/plink/348eaa6c-cb94-3826-9017-20fec21aa67f,,,,
Academic Search Ultimate,asn,148558294,Formaldehyde total column densities over Mexico City: comparison between multi-axis differential optical absorption spectroscopy and solar-absorption Fourier transform infrared measurements.,"Formaldehyde (HCHO) total column densities over the Mexico City metropolitan area (MCMA) were retrieved using two independent measurement techniques: multi-axis differential optical absorption spectroscopy (MAX-DOAS) and Fourier transform infrared (FTIR) spectroscopy. For the MAX-DOAS measurements, the software QDOAS was used to calculate differential slant column densities (dSCDs) from the measured spectra and subsequently the Mexican MAX-DOAS fit (MMF) retrieval code to convert from dSCDs to vertical column densities (VCDs). The direct solar-absorption spectra measured with FTIR were analyzed using the PROFFIT (PROFile FIT) retrieval code. Typically the MAX-DOAS instrument reports higher VCDs than those measured with FTIR, in part due to differences found in the ground-level sensitivities as revealed from the retrieval diagnostics from both instruments, as the FTIR and the MAX-DOAS information do not refer exactly to the same altitudes of the atmosphere. Three MAX-DOAS datasets using measurements conducted towards the east, west or both sides of the measurement plane were evaluated with respect to the FTIR results. The retrieved MAX-DOAS HCHO VCDs where 6 % , 8 % and 28 % larger than the FTIR measurements which, supported with satellite data, indicates a large horizontal inhomogeneity in the HCHO abundances. The temporal change in the vertical distribution of this pollutant, guided by the evolution of the mixing-layer height, affects the comparison of the two retrievals with different sensitivities (total column averaging kernels). In addition to the reported seasonal and diurnal variability of HCHO columns within the urban site, background data from measurements at a high-altitude station, located only 60 km away, are presented.",20210101,"Rivera Cárdenas, Claudia ; Guarín, Cesar ; Stremme, Wolfgang ; Friedrich, Martina M. ; Bezanilla, Alejandro ; Rivera Ramos, Diana ; Mendoza-Rodríguez, Cristina A. ; Grutter, Michel ; Blumenstock, Thomas ; Hase, Frank",Article,Academic Journal,2021,true,Atmospheric Measurement Techniques,Fourier transform infrared spectroscopy ; Optical spectroscopy ; Light absorption ; Formaldehyde ; Numerical control of machine tools ; Temporal databases ; Mexico City (Mexico) ; Other basic organic chemical manufacturing ; All Other Basic Organic Chemical Manufacturing,JOUR,,,1867-1381,,,,,eng,Copernicus Gesellschaft mbH,613,595,19,14,1,10.5194/amt-14-595-2021,,AUEE,,https://research.ebsco.com/plink/5845457d-0dc5-3fef-83ec-7c4ac20c1b35,,,,
Academic Search Ultimate,asn,160648514,A data mining approach gives insights of causes related to the ongoing transgene presence in Mexican native maize populations.,"Mexico is the center of origin of maize and one of the phenomena that imperil maize conservation is transgene presence. Although previous studies have documented transgene presence in Mexican landraces, to date there is no countrywide transgene monitoring protocol, nor systematic analyses assessing which factors could be related with transgene presence and dispersal. In this work, we propose a geographically representative sampling protocol and present empirical data from three sampled states: Mexico City, Oaxaca and Chiapas. To further investigate which environmental and social variables could be associated with transgene presence, we carried out a data mining approach. To assess transgene presence in collected maize samples, we used Real-Time PCR, finding that transgenes were widely distributed across sampled localities: 33% of the localities in Chiapas, 25% in Mexico City and 11% in Oaxaca. The data mining approach allowed us to identify state-specific spatial associations in Chiapas and Oaxaca. In Chiapas, a higher probability of transgene presence appeared related to the coexistence of industrialized maize agriculture, while in Oaxaca it was related with seed exchange. We discuss the importance of implementing a national biomonitoring protocol to increase our understanding of the sources that enable transgene presence and dispersal.",20230201,"Ureta, Carolina ; González, Edgar J. ; Piñeyro-Nelson, Alma ; Couturier, Stephane ; González-Ortega, Emmanuel ; Álvarez-Buylla, Elena R.",Article,Academic Journal,2023,true,Agroecology & Sustainable Food Systems,Indigenous peoples of Mexico ; Data mining ; Seed exchanges ; Transgenes ; Social factors ; Chiapas (Mexico) ; Oaxaca de Juarez (Mexico) ; Mexico City (Mexico),JOUR,,,2168-3565,,,,,eng,Taylor & Francis Ltd,211,188,24,47,2,10.1080/21683565.2022.2146252,,FUZU,,https://research.ebsco.com/plink/37961448-8ed4-3f79-9d81-ce74cef1c34a,,,,
Academic Search Ultimate,asn,174012046,First drug-checking study at an electronic festival and fentanyl detection in the central region of Mexico.,"Background: Perception of drug adulteration has increased in Mexico, but there is little research on adulterants and toxicity. The aim of this study was to identify drug composition in an electronic music outdoor festival nearby Mexico City. Methods: The participants completed a questionnaire with demographic data, harm reduction strategies, drug-use patterns, history, and the drug they expected to find. We took a small sample of each substance and prepared it for drug checking. A two-section drug testing station was placed within the grounds of the festival. Interaction with participants occurred at the front part. Drug checking was conducted at the rear part. The service was free of charge, voluntary and confidential. Forty persons aged 22 to 48 years participated (mode = 28), of which 92.5% were male, most (82.5%) were single. Through the Substance Analysis Program of ""ReverdeSer Collective,"" we conducted the testing with the attendants that provided 51 drug samples, following ethical and biosafety protocols. We used colorimetry, Fourier Transform Infrared Spectroscopy, and fentanyl immunoassay strips for sample analysis. Results: Substances of choice among attendants were psychostimulants (MDMA and other amphetamine-like drugs) and hallucinogens. Most samples contained what the users expected plus adulterants. Main adulterants were methylene-dioxy-ethyl-amphetamine, methylene-dioxy-propyl-amphetamine, hydroxyamphetamine, and the selective serotonin reuptake inhibitor venlafaxine. Fentanyl was present in 2 out of 4 cocaine samples and in 14 of the 22 confirmed MDMA samples. Conclusions: Some of the adulterants found pose serious health risks, especially fentanyl, amphetamine-like substances, and venlafaxine. Therefore, it is urgent to monitor these adulterants at electronic music festivals and to implement prevention, treatment, and harm reduction public policies. Naloxone distribution and drug-assisted therapies should be part of government programs in Mexico. Article Highlights: We used FTIR for drug checking at a music festival close to Mexico City We also analyzed drug samples with fentanyl test strips and UV light 51 samples, mostly nominal MDMA and LSD, from 40 users were analyzed Most had the expected active substance plus adulterants, including venlafaxine We detected fentanyl in MDMA and cocaine samples.",20231206,"Cruz, Silvia L. ; Bencomo-Cruz, Miguel ; Medina-Mora, María E. ; Vázquez-Quiroz, Fabiola ; Fleiz-Bautista, Clara",Article,Academic Journal,12/6/2023,true,Harm Reduction Journal,"Fentanyl ; Serotonin uptake inhibitors ; Fourier transform infrared spectroscopy ; Drug adulteration ; Music festivals ; Mexico ; Mexico City (Mexico) ; Live theatres and other performing arts presenters with facilities ; Promoters of Performing Arts, Sports, and Similar Events with Facilities ; Festivals without facilities",JOUR,,,1477-7517,,,,,eng,BioMed Central,9,1,9,20,1,10.1186/s12954-023-00905-8,,1CPK,,https://research.ebsco.com/plink/f7b5834f-58fa-3df1-8037-7603f5a0f2f0,,,,
Academic Search Ultimate,asn,163379181,A Study of Elemental Composition and Risk Assessment Due to Exposure to Indoor PM 10 in Two Residences in Mexico City.,"Samples of airborne particles with aerodynamic diameters smaller than 10 µm (PM<sub>10</sub>) were collected in 2021 at two households in the Metropolitan Area of Mexico City. Both sites are in areas with different characteristics (residential or industrial zones). Simultaneous sampling indoors and outdoors was carried out at the two locations, using low-volume samplers. The study aimed to determine the indoor and outdoor gravimetric mass and elemental concentrations, identify emitting sources and possible penetration towards the households enhanced by natural ventilation, and assess risks to human health due to inhalation, ingestion, and dermal absorption, through hazard quotients. Al, Si, P, S, Cl, K, Ca, Ti, V, Cr, Mn, Fe, Ni, Cu, Zn, Br, Se, and Pb concentrations were measured with X-ray fluorescence. Mass concentrations were higher indoors than outdoors, and most elemental concentrations had similar values in both environments. Cluster analysis was applied to identify possible emitting sources. The results showed a strong penetration of geogenic and industrial emissions at the Iztapalapa site, while only particles of industrial origin entered the interior of the Tlalnepantla dwelling, in both cases caused by the natural ventilation of the households. Health risks due to exposure to particles containing Fe, Ni, Cu, Zn, and Mn are not significant, and Pb and Cr only pose a risk via ingestion for men and women, although for children, there is a risk due to ingestion of all these elements.",20230401,"Reynoso-Cruces, Salvador ; Miranda-Martín-del-Campo, Javier ; Pineda-Santamaría, Juan Carlos",Article,Academic Journal,Apr2023,true,Atmosphere,Trace elements ; Emissions (Air pollution) ; Natural ventilation ; Risk assessment ; X-ray fluorescence ; Metropolitan areas ; Bioindicators ; Mexico City (Mexico),JOUR,,,2073-4433,,,,,eng,MDPI,,734,,14,4,10.3390/atmos14040734,,B74A,,https://research.ebsco.com/plink/54d5f97f-f327-356e-b048-e68e2e5efd1b,,,,
