indice,Titulo,Año,Autor_norm,Afiliacion1,Afiliacion2,ISBN,ISSN,Doi,URL,Area,Subarea,Keywords,Abstract
1,Applications and methodologies of Internet of Things in warehouses and inventory management: A systematic literature review,2025,"Puga Mendoza, Alejandro; Caballero Chávez, Jeili Leilani; Torres Mendoza, Ricardo","Alejandro Puga Mendoza: Faculty of Engineering UNAM, Ciudad Universitaria, Mexico City 04510, Mexico | Jeili Leilani Caballero Chávez: Faculty of Engineering UNAM, Ciudad Universitaria, Mexico City 04510, Mexico | Ricardo Torres Mendoza: Faculty of Engineering UNAM, Ciudad Universitaria, Mexico City 04510, Mexico",,N/D,1877-0509,10.1016/j.procs.2025.01.185,https://doi.org/10.1016/j.procs.2025.01.185,RS,,Industry 4.0; Internet of Things; Inventory management; Warehouse,"The integration of technologies derived from the fourth industrial revolution in supply chain represents a transforming factor in the decision-making processes, being one of them the inventory and warehouse management through the Internet of Things (IoT) architecture. In this systematic literature review we provide an overview of the state-of-the-art on the subject, highlighting the most relevant trends, technologies, models, and proposals of the reviewed papers. In addition, the scientific production over time is investigated, as well as geographical area and the most cited papers. We propose an identification system to categorize the main subjects of the papers and get a better statistical analysis. We conclude that IoT technology in warehouses and inventory management is mainly focused on a few topics such as theorical frameworks and algorithms leaving aside real applications. Also, the analysis shows that most of the papers production comes from Asian countries leaving a significant gap with respect to the rest of the world. The present study covers the period 2017-2023."
2,An integrated monitoring system based on deep learning tools for industrial process,2024,"Rodríguez-Ramos, Adrián; Verde, Cristina; Llanes-Santiago, Orestes","Adrián Rodríguez-Ramos: Department of Automation and Computing, Universidad Tecnológica de la Habana José Antonio Echeverría, Cujae, La Habana, Cuba | Cristina Verde: Engineering Institute, Universidad Nacional Autónoma de México (UNAM), Distrito Federal, Mexico | Orestes Llanes-Santiago: Department of Automation and Computing, Universidad Tecnológica de la Habana José Antonio Echeverría, Cujae, La Habana, Cuba",,N/D,2405-8963,10.1016/j.ifacol.2024.07.212,https://doi.org/10.1016/j.ifacol.2024.07.212,RS,,Industry 4.0; Cybersecurity; Fault diagnosis; Deep learning,"The Industry 4.0 initiative aims to obtain high levels of productivity and efficiency, more competitive final products, and compliance with demanding regulations related to industrial safety and cybersecurity. To achieve these goals, industrial systems must be equipped with condition monitoring systems for the early detection and localization of cyberattacks and faults. This paper proposes a robust condition-monitoring strategy to detect and locate faults and cyberattacks in an integrate way using Deep Learning algorithms. The proposal was validated using a Tennessee Eastman (TE) process with excellent results. The proposed strategy was compared with other condition monitoring schemes showing a better performance."
