indice,Titulo,Año,Autor_norm,Afiliacion1,Afiliacion2,ISBN,ISSN,Doi,URL,Area,Subarea,Keywords,Abstract
1,A Culturally-Aware AI Tool for Crowdworkers: Leveraging Chronemics to Support Diverse Work Styles,2024,"Toxtli, Carlos; Curtis, Christopher; Savage, Saiph","Carlos Toxtli [1]; Christopher Curtis [2]; Saiph Savage [3] | [1] Clemson University, USA; [2] Northeastern University, USA; [3] Northeastern University, USA; Universidad Nacional Autónoma de México (UNAM), USA & Mexico",N/D,N/D,2573-0142,10.1145/3686899,https://doi.org/10.1145/3686899,SIAV,,AI; Chronemics; Crowdsourcing; Culture; System,"Crowdsourcing markets are expanding worldwide, but often feature standardized interfaces that ignore the cultural diversity of their workers, negatively impacting their well-being and productivity. To transform these workplace dynamics, this paper proposes creating culturally-aware workplace tools, specifically designed to adapt to the cultural dimensions of monochronic and polychronic work styles. We illustrate this approach with ""CultureFit,"" a tool that we engineered based on extensive research in Chronemics and culture theories. To study and evaluate our tool in the real world, we conducted a field experiment with 55 workers from 24 different countries. Our field experiment revealed that CultureFit significantly improved the earnings of workers from cultural backgrounds often overlooked in design. Our study is among the pioneering efforts to examine culturally aware digital labor interventions. It also provides access to a dataset with over two million data points on culture and digital work, which can be leveraged for future research in this emerging field. The paper concludes by discussing the importance and future possibilities of incorporating cultural insights into the design of tools for digital labor."
2,Creative dialogue: evolving intent in designer-AI workflows,2025,"Sattele, Vanessa","Vanessa Sattele [1] | [1] National Autonomous University of Mexico (UNAM), Industrial Design Research Center (CIDI), Mexico City, Mexico",N/D,979-8-4007-1289-0/2025/06,N/D,10.1145/3698061.3734419,https://doi.org/10.1145/3698061.3734419,SIAV,,AI; co-creativity; ideation; creative process; design education,"The aim of this doctoral research project is to study how the use of GenAI can influence the creative workflow and cognitive processes of product designers in formation. The focus is on the initial design stages of problem-solution framing and concept creation/exploration. As a first step, a literature review has been performed to identify the different variables that might influence results in similar studies. A second phase involves exploratory studies with bachelor level product design students. Based on the findings, a series of rapid design prototypes proposing new ways of interaction with GenAI will be tested and evaluated. The main contributions of this project are the development of principles and new models for co-creation that can support the evolutive process of design intention during the ideation process and assist designers in formation to develop their creative potential."
3,CSCW Contributions to Critical Futures of Work,2025,"Lushnikova, Alina; Muller, Michael; Bardzell, Shaowen; Li, Toby Jia-Jun; Savage, Saiph","Alina Lushnikova [1]; Michael Muller [2]; Shaowen Bardzell [3]; Toby Jia-Jun Li [4]; Saiph Savage [5] | [1] University of Luxembourg, Esch-sur-Alzette, Luxembourg; [2] IBM Research, Cambridge, Massachusetts, USA; [3] Georgia Institute of Technology, Atlanta, Georgia, USA; [4] University of Notre Dame, Notre Dame, Indiana, USA; [5] Northeastern University, Boston, Massachusetts, USA; Universidad Nacional Autónoma de México, Mexico City, Mexico",N/D,979-8-4007-1480-1/25/10,N/D,10.1145/3715070.3748296,https://doi.org/10.1145/3715070.3748296,SIAV,,CSCW; Future of work; Critical computing; Workers; Labor; Diversity; Pluralism,"As the CSCW community evolves and participates in envisioning the impact of technologies on the work practices, we want to ensure that critical and alternative computing perspectives are well represented while we are co-constructing the future of work. In this hybrid workshop, we invite researchers, practitioners, civic actors, economists, and other interested parties to challenge dominant, powerful, status-quo narratives and imaginaries when considering the future of work, nurturing the CSCW commitments and methods. Co-constructing the workshop with participants, we aim to develop actionable insights and strengthen the community."
4,Designing Gig Worker Sousveillance Tools,2024,"Do, Kimberly; De Los Santos, Maya; Muller, Michael; Savage, Saiph","Kimberly Do [1]; Maya De Los Santos [1]; Michael Muller [2]; Saiph Savage [3] | [1] Northeastern University, Boston, USA; [2] IBM Research, Boston, USA; [3] Northeastern University & Universidad Nacional Autónoma de México (UNAM), USA & Mexico",N/D,979-8-4007-0330-0/24/05,N/D,10.1145/3613904.3642614,https://doi.org/10.1145/3613904.3642614,SIAV,,gig work; crowd work; job market; labor market; freelancers; surveillance; sousveillance,"As independently-contracted employees, gig workers disproportionately suffer the consequences of workplace surveillance, which include increased pressures to work, breaches of privacy, and decreased digital autonomy. Despite the negative impacts of workplace surveillance, gig workers lack the tools, strategies, and workplace social support to protect themselves against these harms. Meanwhile, some critical theorists have proposed sousveillance as a potential means of countering such abuses of power, whereby those under surveillance monitor those in positions of authority (e.g., gig workers collect data about requesters/platforms). To understand the benefits of sousveillance systems in the gig economy, we conducted semi-structured interviews and led co-design activities with gig workers. We use “care ethics” as a guiding concept to understand our interview and co-design data, while also focusing on empathic sousveillance technology design recommendations. Through our study we identify gig workers’ attitudes towards and past experiences with sousveillance. We also uncover the type of sousveillance technologies imagined by workers, provide design recommendations, and finish by discussing how to create empowering, empathic spaces on gig platforms."
5,Fostering Latin American-Centric CSCW Research and Practice,2024,"Gutierrez, Francisco J.; Gaytán-Lugo, Laura S.; Lopez, Gustavo; Candello, Heloisa; Vivacqua, Adriana S.; Wong-Villacres, Marisol; Griggio, Carla F.; Castro, Luis A.; Savage, Saiph; Lopez, Claudia; de Souza, Cleidson R. B.","Francisco J. Gutierrez [1]; Laura S. Gaytán-Lugo [2]; Gustavo Lopez [3]; Heloisa Candello [4]; Adriana S. Vivacqua [5]; Marisol Wong-Villacres [6]; Carla F. Griggio [7]; Luis A. Castro [8]; Saiph Savage [9]; Claudia Lopez [10]; Cleidson R. B. de Souza [11] | [1] Department of Computer Science, University of Chile, Santiago, Chile; [2] Universidad de Colima, Coquimatlán, Mexico; [3] Universidad de Costa Rica, San Jose, Costa Rica; [4] IBM Research, Sao Paulo, Brazil; [5] Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; [6] Escuela Superior Politécnica del Litoral, Guayaquil, Ecuador; [7] Aalborg University, Copenhagen, Denmark; [8] Instituto Tecnológico de Sonora (ITSON), Ciudad Obregón, Mexico; [9] Northeastern University & Universidad Nacional Autónoma de México (UNAM), USA & Mexico; [10] Universidad Técnica Federico Santa María, Valparaíso, Chile; [11] Federal University of Pará, Belém, Brazil",N/D,979-8-4007-1114-5/24/11,N/D,10.1145/3678884.3681837,https://doi.org/10.1145/3678884.3681837,SIAV,,Latin America; collaboration; research and practice opportunities; regional cooperation,"This year, CSCW is coming to Latin America for the first time. In this workshop, we aim to position the region as a common context that brings together students, academics, as well as industry researchers and practitioners interested in studying, designing, developing, deploying, and/or evaluating CSCW and social computing technology, addressing challenges either emerging from or impacting Latin America. Previous initiatives have explored or highlighted the potential of Latin America for CSCW research, and this one-day workshop seeks to build on that foundation. Our objectives are to: (1) Bring together researchers, practitioners, and students interested in engaging with Latin America through their research and practice; (2) Discuss the opportunities and challenges of conducting CSCW research centered on Latin America; (3) Collaboratively mentor emerging projects focused on Latin America; (4) Advance 5-year collaborative research agendas among existing CSCW Latin America research groups; and (5) Increase the visibility of Latin American research projects within the broader international CSCW community. We will invite senior CSCW researchers from Latin America and other regions to discuss the work presented at the event. This workshop seeks to enrich the global conversation on CSCW and highlight and strengthen Latin America's unique contributions to this field."
6,MouseClicker: Exploring Tactile Feedback and Physical Agency for People with Hand Motor Impairments,2024,"Taheri, Atieh; Gomez-Monroy, Carlos Gilberto; Borja, Vicente; Sra, Misha","Atieh Taheri [1]; Carlos Gilberto Gomez-Monroy [2]; Vicente Borja [2]; Misha Sra [1] | [1] University of California, Santa Barbara, USA; [2] Universidad Nacional Autónoma de México, Mexico City, Mexico",N/D,N/D,1936-7228,10.1145/3648685,https://doi.org/10.1145/3648685,SIAV,,Hand motor impairments; holistic inclusion; haptic feedback; facial expressions; hands-free input; computer mouse,"Assistive technology (AT) design is critical in enabling functionality for people with disabilities, blending essential elements of both practical utility and user experience. Traditionally, AT has successfully addressed core functional needs, such as enabling cursor movement and clicking actions with devices like computer mice. However, a comprehensive approach to AT design also necessitates a thorough consideration of sensory feedback, including tactile sensations, ergonomics, and auditory cues like button click sounds. These aspects are not merely supplementary but are integral to the device’s functionality, enhancing user interaction and long-term comfort, especially for individuals with motor impairments. In this work, we present MouseClicker, a mechatronic AT to surrogate physical agency over a computer mouse and to foster the haptic sensory experience of clicking on it tailored specifically for an individual with Spinal Muscular Atrophy (SMA) who faces challenges in using a standard mouse due to severe hand motor impairments. Our design aims at replicating the holistic experience of clicking a mouse, from its functional mechanical actions to its nuanced tactile and auditory feedback. This work details the MouseClicker’s design and reports on an exploratory user study aimed at identifying optimal vibrotactile feedback parameters – such as location, and intensity – that represent mouse button clicks. MouseClicker presents a step forward in AT design by integrating the functionality, sensory feedback, and the overall experience of taking control over non-AT devices."
7,Unveiling AI-Driven Collective Action for a Worker-Centric Future,2024,"Savage, Saiph","Saiph Savage [1] | [1] Northeastern University & Universidad Nacional Autónoma de México (UNAM), Boston, MA, USA & Mexico City, Mexico",N/D,979-8-4007-0371-3/24/03,N/D,10.1145/3616855.3637633,https://doi.org/10.1145/3616855.3637633,SIAV,,gig work; HCI; CSCW; future of work; collective action; Human Centered AI,"Collective action by gig knowledge workers is a potent method for enhancing labor conditions on platforms like Upwork, Amazon Mechanical Turk, and Toloka. However, this type of collective action is still rare today. Existing systems for supporting collective action are inadequate for workers to identify and understand their different workplace problems, plan effective solutions, and put the solutions into action. This talk will discuss how with my research lab we are creating worker-centric AI enhanced technologies that enable collective action among gig knowledge workers. Building solid AI enhanced technologies to enable gig worker collective action will pave the way for a fair and ethical gig economy-one with fair wages, humane working conditions, and increased job security. I will discuss how my proposed approach involves first integrating ''sousveillance,'' a concept by Foucault, into the technologies. Sousveillance involves individuals or groups using surveillance tools to monitor and record those in positions of power. In this case, the technologies enable gig workers to monitor their workplace and their algorithmic bosses, giving them access to their own workplace data for the first time. This facilitates the first stage of collective action: problem identification. I will then discuss how we combine this data with Large-Language-Models (LLMs) and social theories to create intelligent assistants that guide workers to complete collective action via sensemaking and solution implementation.The talk will present a set of case studies to showcase this vision of designing data driven AI technologies to power gig worker collective action. In particular, I will present the systems: 1) GigSousveillance which allows workers to monitor and collect their own job-related data, facilitating quantification of workplace problems; 2) GigSense equips workers with an AI assistant that facilitates sensemaking of their work problems, helping workers to strategically devise solutions to their challenges; 3) GigAction is an AI assistant that guides workers to implement their proposed solutions. I will discuss how we are designing and implementing these systems by adopting a participatory design approach with workers, while also conducting experiments and longitudinal deployments in the real world. I conclude by presenting a research agenda for transforming and rethinking the role of A.I. in our workplaces; and researching effective socio-technical solutions in favor of a worker-centric future and countering techno-authoritarianism."
