longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
Academic Search Ultimate,asn,141410739,Productivity and Predictability for Measuring Morphological Complexity.,"We propose a quantitative approach for quantifying morphological complexity of a language based on text. Several corpus-based methods have focused on measuring the different word forms that a language can produce. We take into account not only the productivity of morphological processes but also the predictability of those morphological processes. We use a language model that predicts the probability of sub-word sequences within a word; we calculate the entropy rate of this model and use it as a measure of predictability of the internal structure of words. Our results show that it is important to integrate these two dimensions when measuring morphological complexity, since languages can be complex under one measure but simpler under another one. We calculated the complexity measures in two different parallel corpora for a typologically diverse set of languages. Our approach is corpus-based and it does not require the use of linguistic annotated data.",20200101,"Gutierrez-Vasques, Ximena ; Mijangos, Victor",Article,Academic Journal,Jan2020,true,Entropy,Entropy ; Dimensions ; Corpora ; Probability theory ; Language & languages,JOUR,,,1099-4300,,,,,eng,MDPI,48,48,1,22,1,10.3390/e22010048,,1CNM,,https://research.ebsco.com/plink/d5eda44d-9394-3dda-8526-7f5ab4e30c5c,,,,
Academic Search Ultimate,asn,40305902,Analytical Description of the Load-Loss Asymmetry Phenomenon in Three-Phase Three-Limb Transformers.,"The asymmetry phenomenon observed during the load-loss test of three-phase transformers is rigorously analyzed. The transformer is represented as a three-port impedance network despite its six-port network nature, making any formal study more tractable. The analytical restrictions required for such a representation are derived. As a result, it is possible to mathematically prove (and understand) the asymmetrical behavior of a three-phase transformer subjected to the load-loss test. Only two circuit-field simulations or tests (single-phase load-loss tests) are required to obtain the impedance system of the six-winding transformer. A 3-D finite-element (FE) model of a transformer is used here to obtain its short-circuit impedances, exemplifying the use and extent of the analytical results. The eddy currents generated at the transformer tank and frame are properly taken into consideration. The short-circuit impedance model is validated with the 3-D FE model and with a six-port network approach that has been previously verified.",20090401,"Escarela-Perez, R. ; Kulkarni, S. V. ; Alvarez-Ramirez, J. ; Kaushik, K.",Article,Academic Journal,Apr2009,true,IEEE Transactions on Power Delivery,"Eddy currents (Electric) ; Finite element method ; Short circuits ; Electric impedance ; Electric transformers ; Electromagnetism ; Electric network topology ; Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ; Power, Distribution, and Specialty Transformer Manufacturing ; Other Electronic Parts and Equipment Merchant Wholesalers",JOUR,,,0885-8977,,,,,eng,IEEE,702,695,8,24,2,10.1109/TPWRD.2008.923988,,IPD,,https://research.ebsco.com/plink/b15db53a-b6ed-332a-8f6f-386a40c737f3,,,,
Academic Search Ultimate,asn,85419549,Experimental study of a graphite disks absorber couple to a heat transformer,"Abstract: An experimental study was performed on a graphite disk absorber coupled to an absorption heat transformer. The working solution used was H<sub>2</sub>O/LiBr. Due to corrosion caused to materials such as carbon steel and stainless steel with the solution H<sub>2</sub>O/LiBr, it was necessary to consider the use of another material such as tar impregnated graphite. This material has interesting properties of corrosion resistance, withstands high temperatures and presents a high thermal conductivity than the graphite without impregnation. However, there does not exist a well established methodology for designing heat exchangers with new geometries for its implementation in heat transformers. For this reason, the heat exchanger was designed with a stainless steel shell and graphite disks arranged internally in a column to carry out the absorption process. In the experimental tests carried out for a thermal load in the range from 625 to 1460W, heat transfer coefficients in the absorber were obtained in the range from 723 to 1535W/m<sup>2</sup> K. As the number of Reynolds increases from 110 to 144, the heat transfer coefficient increases up to a maximum value of 954W/m<sup>2</sup> K, at Reynolds number at about 144, but when Reynolds number was increased above 147, the heat transfer coefficient decreased.",20130401,"Olarte-Cortés, J. ; Torres-Merino, J. ; Siqueiros, J.",Article,Academic Journal,Apr2013,true,Experimental Thermal & Fluid Science,Graphite ; Structural plates ; Heat radiation & absorption ; Physics experiments ; Solution (Chemistry) ; Water ; Corrosion & anti-corrosives ; Ground or Treated Mineral and Earth Manufacturing ; All other non-metallic mineral mining and quarrying ; All other non-metallic mineral product manufacturing ; All Other Nonmetallic Mineral Mining ; Plate Work Manufacturing,JOUR,,,0894-1777,,,,,eng,Elsevier B.V.,36,29,8,46,,10.1016/j.expthermflusci.2012.11.013,,JF1,,https://research.ebsco.com/plink/5f86186f-2731-33a8-85c3-0923628a9c19,,,,
Academic Search Ultimate,asn,116736963,Equivalent Liénard-type models for a fluid transmission line.,"The main contribution of this paper is the derivation of spatiotemporal Liénard-type models for expressing the dynamical behavior of a fluid transmission line. The derivation is carried out from a quasilinear hyperbolic system made of a momentum equation and a continuity one. An advantage of these types of models is that they are suitable for formulating estimation algorithms. This claim is confirmed in the present paper for the case of fluid dynamics, since the article presents the conception and evaluation of a Liénard model-based observer that estimates the parameters of a pipeline such as the friction factor, the equivalent length and the wave speed. To show the potentiality of the approach, results based on some simulation and experimental tests are presented.",20160801,"Torres, Lizeth ; Aguiñaga, Jorge Alejandro Delgado ; Besançon, Gildas ; Verde, Cristina ; Begovich, Ofelia",Article,Academic Journal,Aug2016,true,Comptes Rendus Mécanique,Fluid dynamics ; Spatiotemporal processes ; Estimation theory ; Algorithms ; Simulation methods & models,JOUR,,,1631-0721,,,,,eng,"Academie des Science, Centre Mersenne",595,582,14,344,8,10.1016/j.crme.2016.04.004,,KKJ,,https://research.ebsco.com/plink/6b0c486a-e403-3468-a966-af7cd01004af,,,,
Academic Search Ultimate,asn,48137329,Exergetic and exergoeconomic optimization of a cogeneration pulp and paper mill plant including the use of a heat transformer,"Abstract: Energy conservation is a central concern of the current industrial world, where increasing efficient energy usage is the only way of reducing a high energy demand. In the present study the optimization of a pulp and paper mill with a cogeneration plant has been carried out. The optimization was realized with a methodology which includes exergy, exergoeconomics, thermoeconomics and pinch analysis. The proposed methodology was useful in determining not only the best plant operating conditions but also establishing the components or subsystems with the highest irreversibilities. As a result of the study, operation changes in the recovery boiler, the turbogenerator, the thermal treatment and the deaerator were realized. Due to the higher irreversibility in the actual evaporator line, a new line of evaporators was proposed. Also, an innovative heat recycling technology as to the use of heat transformers was proposed in order to reduce waste heat discharged to the atmosphere. The results obtained with the proposed methodology, which integrates the different optimization methods, allowed reaching higher efficiencies and lower operational costs than those obtained with the optimization methods working separately.",20100301,"Cortés, E. ; Rivera, W.",Article,Academic Journal,Mar2010,true,Energy,"Exergy ; Energy economics ; Paper mills ; Electric transformers ; Energy conservation ; Energy consumption ; Cogeneration of electric power & heat ; Other Electronic Parts and Equipment Merchant Wholesalers ; Power, Distribution, and Specialty Transformer Manufacturing ; Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ; Paper (except Newsprint) Mills ; Newsprint Mills",JOUR,,,0360-5442,,,,,eng,Elsevier B.V.,1299,1289,11,35,3,10.1016/j.energy.2009.11.011,,JDQ,,https://research.ebsco.com/plink/43c8127a-cfcf-39d6-830f-c76c5088ae3a,,,,
Academic Search Ultimate,asn,11353353,Single stage and double absorption heat transformers used to recover energy in a distillation column of butane and pentane.,"This paper presents the theoretical analysis of the use of single stage and double absorption heat transformers operating with the waterlithium bromide mixture coupled to a butane and pentane distillation column in a Mexican refinery. A mathematical model of the heat transformers was developed in FORTRAN and integrated as a user model to the Aspen Plus simulation code. Both components coupled to the column were modelled on steady-state conditions. The results show that it is theoretically possible to reduce the energy consumed in the reboiler between 26 and 43% by the use of single stage heat transformer at specific conditions, and between 28 and 33% with double absorption heat transformers for a wide range of operating conditions. Copyright © 2003 John Wiley & Sons, Ltd.",20031101,W. Rivera ; J. Cerezo ; R. Rivero ; J. Cervantes ; R. Best,Article,Academic Journal,Nov2003,true,International Journal of Energy Research,Lithium compounds ; Bromides ; Absorption ; Butane ; Petrochemical Manufacturing ; Natural Gas Liquid Extraction ; Conventional oil and gas extraction ; Petroleum and petroleum products merchant wholesalers ; Other Basic Inorganic Chemical Manufacturing,JOUR,,,0363-907X,,,,,eng,Wiley-Blackwell,,1279,,27,14,10.1002/er.943,,KPU,,https://research.ebsco.com/plink/7d1f68d9-ab77-39fd-af1d-f580ed6ddbe9,,,,
Academic Search Ultimate,asn,19650173,Theoretical and experimental comparison of the performance of a single-stage heat transformer operating with water/lithium bromide and water/Carrol<sup></sup>.,"This paper compares under the same operating conditions, the theoretical and experimental performance of a single-stage heat transformer operating with the water/lithium bromide and the water/Carrol mixtures, where Carrol is a mixture of lithium bromide and ethylene glycol [(CH<sub>2</sub>OH)<sub>2</sub>] in the ratio 1:4.5 by weight patented by Carrier Corp. Flow ratios, gross temperature lifts, useful heat, and coefficients of performance are plotted for the heat transformer against temperatures and solution concentrations. Because the water/Carrol mixture has higher solubility than water/lithium bromide and high experimental values were obtained for the gross temperature lift, it seems to be a better alternative mixture to be used in absorption heat transformers. Copyright © 2002 John Wiley & Sons, Ltd.",20020625,W. Rivera ; R.J. Romero ; M.J. Cardoso ; J. Aguillón ; R. Best,Article,Academic Journal,6/25/2002,true,International Journal of Energy Research,Heat transfer ; Energy transfer ; Thermodynamics ; Transport theory,JOUR,,,0363-907X,,,,,eng,Wiley-Blackwell,762,747,16,26,8,10.1002/er.813,,KPU,,https://research.ebsco.com/plink/fc386d13-82de-303f-8a71-9609479d04a8,,,,
Academic Search Ultimate,asn,96245148,"Ferroresonance in subharmonic 3rd mode in an inductive voltage transformer, a real case analysis.",Highlights: [•] A real-life ferroresonance event recorded was reproduced and analyzed. [•] A practical solution that prevents ferroresonance of 3rd mode event is proposed. [•] A damping reactor to avoid the occurrence of the ferroresonance condition is proposed.,20141001,"Olguín-Becerril, Miguel A. ; Angeles-Camacho, Cesar ; Fuerte-Esquivel, Claudio R.",Article,Academic Journal,Oct2014,true,International Journal of Electrical Power & Energy Systems,"Subharmonic functions ; Electric transformers ; Damping (Mechanics) ; Potential theory (Mathematics) ; Electric potential ; Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ; Power, Distribution, and Specialty Transformer Manufacturing ; Other Electronic Parts and Equipment Merchant Wholesalers",JOUR,,,0142-0615,,,,,eng,Elsevier B.V.,325,318,8,61,,10.1016/j.ijepes.2014.03.057,,JH5,,https://research.ebsco.com/plink/ececd720-b67b-3fab-b2e3-d0e5277472a9,,,,
Academic Search Ultimate,asn,112666415,A statistical analysis in the BWR fuel lattice design.,"In this work, a statistical analysis in the neutronic fuel lattice design process is shown. It presents a study where different ways to choose rods with uranium and uranium-gadolinia are considered, and their allocation into the fuel lattice was analyzed. The analysis was carried out studying three different frequency distributions for fuel materials, with a fixed uranium stock, a fixed gadolinia stock, as well as several average uranium enrichment and gadolinia concentrations. Three heuristic techniques to design fuel lattices with the above specifications: ant colony systems (ACSs), a Recurrent Neural Network (NN) and a hybrid with scatter search and path relinking (SS+PR) were used. These heuristic techniques minimized the Local Power Peaking Factor while the infinite multiplication factor was kept in a reactivity interval. Both nuclear parameters were calculated with CASMO-4 code. The results show that statistically it is important to choose an appropriate frequency distribution for fuel materials, and taking some rules into account to allocate both uranium and gadolinia rods, in order to obtain suitable fuel lattice designs.",20160401,"Casillo-Méndez, José Alejandro ; Chávez, Verónica Jáuregui ; Ortiz-Servin, Juan José ; Montes-Tadeo, José Luis ; Perusquía, Raúl ; Morales, Luis B.",Article,Academic Journal,Apr2016,true,Annals of Nuclear Energy,Recurrent neural networks ; Nuclear fuels ; Distribution (Probability theory) ; Uranium ; Artificial neural networks ; Other Basic Inorganic Chemical Manufacturing ; All other basic inorganic chemical manufacturing ; Other support activities for mining,JOUR,,,0306-4549,,,,,eng,Elsevier B.V.,92,83,10,90,,10.1016/j.anucene.2015.11.030,,J8S,,https://research.ebsco.com/plink/d05e560f-5398-35a7-9f81-92d1c322d609,,,,
Academic Search Ultimate,asn,57163081,Error propagation on COP prediction by artificial neural network in a water purification system integrated to an absorption heat transformer,"Abstract: Numerous authors have reported heat transfer prediction using artificial neural network (ANN). However, the precision or accuracy of the calculation is generally unknown. Error propagation from Monte Carlo method is applied to the coefficient of performance (COP) predicted by ANN. This COP permitted us to evaluate a water purification process integrated into a heat transformer. A feedforward network with a hidden layer was used in order to obtain error propagation in COP prediction. This model used the input and output-temperatures for each component (absorber, generator, evaporator, and condenser), as well as two pressure parameters from the absorption heat transformer and LiBr + H<sub>2</sub>O mixture with different LiBr concentrations. The hyperbolic tangent sigmoid transfer-function and the linear transfer-function were used for the network. A new correlation for calculating relative standard deviation (%RSD<sub>COP</sub>) of COP as a function of COP<sub>EXP</sub> and %RSD<sub>instrument</sub> was obtained. This study shows that %RSD<sub>COP</sub> of ANN prediction decreased when the experimental COP is increased. The range of COP operations was from 0.21 to 0.39.",20110501,"Colorado, D. ; Hernández, J.A. ; El Hamzaoui, Y. ; Bassam, A. ; Siqueiros, J. ; Andaverde, J.",Article,Academic Journal,May2011,true,Renewable Energy: An International Journal,Artificial neural networks ; Water purification ; Solar radiation ; Current transformers (Instrument transformer) ; Error analysis in mathematics ; Monte Carlo method ; Exponential functions ; Standard deviations ; Water Supply and Irrigation Systems,JOUR,,,0960-1481,,,,,eng,Elsevier B.V.,1322,1315,8,36,5,10.1016/j.renene.2010.10.018,,JK1,,https://research.ebsco.com/plink/15ffdf7c-106c-336e-bbed-81d57501a8f0,,,,
