alias,autor_normalizado,confianza,origen,score,n_filas_base,n_articulos_base
"Herrera-Camacho, José Abel",José Abel Herrera Camacho,alta,tutora_exacta,1.0,2,2
Jose Abel Herrera Camacho,José Abel Herrera Camacho,alta,tutora_exacta_display,1.0,2,2
José Abel Herrera Camacho,José Abel Herrera Camacho,alta,tutora_exacta_display,1.0,2,2
David Flores Peñaloza,José David Flores Peñaloza,alta,tutora_probable_display,0.99,4,4
"Flores-Peñaloza, David",José David Flores Peñaloza,alta,tutora_probable,0.99,4,4
Juan Antonio Lopez Rivera,Juan Antonio López Rivera,alta,tutora_exacta_display,1.0,2,2
"Rivera, Juan Antonio Lopez",Juan Antonio López Rivera,alta,tutora_exacta,1.0,2,2
"Carlos Martinez-Garcia, Juan",Juan Carlos Martínez García,alta,tutora_exacta,1.0,1,1
J C Martínez García,Juan Carlos Martínez García,media,tutora_probable_display,0.96,2,2
Juan Carlos Martinez Garcia,Juan Carlos Martínez García,alta,tutora_exacta_display,1.0,1,1
"Martínez-García, J.C.",Juan Carlos Martínez García,media,tutora_probable,0.96,2,2
Juan José Montellano Ballesteros,Juan Jose Montellano Ballesteros,alta,tutora_exacta_display,1.0,1,1
"Montellano-Ballesteros, Juan José",Juan Jose Montellano Ballesteros,alta,tutora_exacta,1.0,1,1
"Cruz-Bastida, Juan P.",Juan Pablo Cruz Bastida,media,tutora_probable,0.96,4,4
Juan P Cruz Bastida,Juan Pablo Cruz Bastida,media,tutora_probable_display,0.96,4,4
Juan Vásquez,Juan Vásquez,alta,tutora_exacta_display,1.0,1,1
"Vásquez, Juan",Juan Vásquez,alta,tutora_exacta,1.0,1,1
J C Ramírez Vélez,Julio Cesar Ramirez Velez,media,tutora_probable_display,0.96,1,1
"Ramírez-Vélez, J C",Julio Cesar Ramirez Velez,media,tutora_probable,0.96,1,1
Katya Rodriguez Vazquez,Katya Rodríguez Vázquez,alta,tutora_exacta_display,1.0,2,2
Katya Rodríguez Vázquez,Katya Rodríguez Vázquez,alta,tutora_exacta_display,1.0,6,6
"Rodriguez-Vazquez, Katya",Katya Rodríguez Vázquez,alta,tutora_exacta,1.0,2,2
"Rodríguez-Vázquez, Katya",Katya Rodríguez Vázquez,alta,tutora_exacta,1.0,6,6
L. Concha,L Concha,alta,tutora_exacta,1.0,3,3
"Ledesma-Dominguez, Leonardo",Leonardo Ledesma Domínguez,alta,tutora_exacta,1.0,6,6
Leonardo Ledesma Dominguez,Leonardo Ledesma Domínguez,alta,tutora_exacta_display,1.0,6,6
Liliana Peralta,Liliana Peralta,alta,tutora_exacta_display,1.0,1,1
"Peralta, Liliana",Liliana Peralta,alta,tutora_exacta,1.0,1,1
Lorena Nunez,Lorena Nunez,alta,tutora_exacta_display,1.0,2,2
Lorena Núñez,Lorena Nunez,alta,tutora_exacta_display,1.0,2,2
"Nunez, Lorena",Lorena Nunez,alta,tutora_exacta,1.0,2,2
"Núñez, Lorena",Lorena Nunez,alta,tutora_exacta,1.0,2,2
"Cortés, Luis A. Pineda",Luis Alberto Pineda Cortés,media,tutora_probable,0.96,5,5
Luis A Pineda Cortés,Luis Alberto Pineda Cortés,media,tutora_probable_display,0.96,5,5
"Concha, Luis",Luis Concha,alta,tutora_exacta,1.0,4,4
Luis Concha,Luis Concha,alta,tutora_exacta_display,1.0,4,4
"Jimenez-Angeles, Luis",Luis Jimenez Angeles,alta,tutora_exacta,1.0,1,1
Luis Jimenez Angeles,Luis Jimenez Angeles,alta,tutora_exacta_display,1.0,1,1
M A Quiroz Juárez,M A Quiroz Juárez,alta,tutora_exacta_display,1.0,1,1
M. A. Quiroz-Juárez,M A Quiroz Juárez,alta,tutora_exacta,1.0,2,2
"Quiroz-Juárez, M.A.",M A Quiroz Juárez,alta,tutora_exacta,1.0,1,1
M Manea,M Manea,alta,tutora_exacta_display,1.0,4,4
"Manea, M.",M Manea,alta,tutora_exacta,1.0,4,4
"Jimenez-Guarneros, M.",Magdiel Jiménez Guarneros,alta,tutora_doi_compartido,0.98,2,2
"Jimenez-Guarneros, Magdiel",Magdiel Jiménez Guarneros,alta,tutora_exacta,1.0,13,13
"Jiménez-Guarneros, Magdiel",Magdiel Jiménez Guarneros,alta,tutora_exacta,1.0,2,2
M Jimenez Guarneros,Magdiel Jiménez Guarneros,alta,tutora_doi_compartido_display,0.98,2,2
M. Jiménez-Guarneros,Magdiel Jiménez Guarneros,alta,tutora_doi_compartido,0.98,8,8
Magdiel Jimenez Guarneros,Magdiel Jiménez Guarneros,alta,tutora_exacta_display,1.0,13,13
Magdiel Jiménez Guarneros,Magdiel Jiménez Guarneros,alta,tutora_exacta_display,1.0,2,2
"Cedillo-Hernandez, Manuel",Manuel Cedillo Hernández,alta,tutora_exacta,1.0,26,26
Manuel Cedillo Hernandez,Manuel Cedillo Hernández,alta,tutora_exacta_display,1.0,26,26
Marco Negrete,Marco Negrete,alta,tutora_exacta_display,1.0,7,7
"Negrete, Marco",Marco Negrete,alta,tutora_exacta,1.0,7,7
"Bernal-Romero, Marcos",Marcos Bernal Romero,alta,tutora_exacta,1.0,1,1
Marcos Bernal Romero,Marcos Bernal Romero,alta,tutora_exacta_display,1.0,1,1
Maria Julieta Mateos,Maria Julieta Mateos,alta,tutora_exacta_display,1.0,2,2
"Mateos, Maria-Julieta",Maria Julieta Mateos,alta,tutora_exacta,1.0,2,2
Mario A Quiroz Juarez,Mario Alan Quiroz Juarez,media,tutora_probable_display,0.96,8,8
Mario A Quiroz Juárez,Mario Alan Quiroz Juarez,media,tutora_probable_display,0.96,5,5
"Quiroz-Juarez, Mario A.",Mario Alan Quiroz Juarez,media,tutora_probable,0.96,8,8
"Quiroz-Juárez, Mario A.",Mario Alan Quiroz Juarez,media,tutora_probable,0.96,5,5
Mario Peña Cabrera,Mario Peña Cabrera,alta,tutora_exacta_display,1.0,1,1
"Peña-Cabrera, Mario",Mario Peña Cabrera,alta,tutora_exacta,1.0,1,1
"Arrieta Paternina, Mario R.",Mario R Arrieta Paternina,alta,tutora_exacta,1.0,3,3
Mario R Arrieta Paternina,Mario R Arrieta Paternina,alta,tutora_exacta_display,1.0,3,3
Mario R Arrieta Paternina,Mario R Arrieta Paternina,alta,tutora_exacta_display,1.0,4,4
Mario R. Arrieta Paternina,Mario R Arrieta Paternina,alta,tutora_exacta,1.0,2,2
"Paternina, Mario R. Arrieta",Mario R Arrieta Paternina,alta,tutora_exacta,1.0,4,4
M. R. A. Paternina,Mario Roberto Arrieta Paternina,alta,tutora_doi_compartido,0.98,3,3
M Elena Martinez Perez,María Elena Martínez Pérez,media,tutora_probable_display,0.96,3,3
"Martinez-Perez, M. Elena",María Elena Martínez Pérez,media,tutora_probable,0.96,3,3
"Brandan, Maria-Ester",María Ester Brandan,alta,tutora_exacta,1.0,4,4
Maria Ester Brandan,María Ester Brandan,alta,tutora_exacta_display,1.0,4,4
"Angeles, Maria Del Pilar",María del Pilar Angeles,alta,tutora_exacta,1.0,2,2
Maria Del Pilar Angeles,María del Pilar Angeles,alta,tutora_exacta_display,1.0,2,2
M Reyes Ruiz,Mauricio Reyes Ruiz,media,tutora_probable_display,0.96,1,1
"Reyes-Ruiz, M.",Mauricio Reyes Ruiz,media,tutora_probable,0.96,1,1
M Rodriguez Villafuerte,Mercedes Rodríguez Villafuerte,media,tutora_probable_display,0.96,3,3
M Rodríguez Villafuerte,Mercedes Rodríguez Villafuerte,media,tutora_probable_display,0.96,3,3
M. Rodríguez-Villafuerte,Mercedes Rodríguez Villafuerte,media,tutora_probable,0.96,6,6
Mercedes Rodriguez Villafuerte,Mercedes Rodríguez Villafuerte,alta,tutora_exacta_display,1.0,3,3
Mercedes Rodríguez Villafuerte,Mercedes Rodríguez Villafuerte,alta,tutora_exacta_display,1.0,3,3
"Rodriguez-Villafuerte, M.",Mercedes Rodríguez Villafuerte,media,tutora_probable,0.96,3,3
"Rodriguez-Villafuerte, Mercedes",Mercedes Rodríguez Villafuerte,alta,tutora_exacta,1.0,3,3
"Rodríguez-Villafuerte, M.",Mercedes Rodríguez Villafuerte,media,tutora_probable,0.96,3,3
"Rodríguez-Villafuerte, Mercedes",Mercedes Rodríguez Villafuerte,alta,tutora_exacta,1.0,3,3
Michelle Reyes,Michelle Reyes,alta,tutora_exacta_display,1.0,3,3
"Reyes, Michelle",Michelle Reyes,alta,tutora_exacta,1.0,3,3
Miguel Murguia Romero,Miguel Murguía Romero,alta,tutora_exacta_display,1.0,1,1
"Murguia-Romero, Miguel",Miguel Murguía Romero,alta,tutora_exacta,1.0,1,1
Miguel angel Padilla Castaneda,Miguel Ángel Padilla Castañeda,alta,tutora_exacta_display,1.0,1,1
Miguel Ángel Padilla Castañeda,Miguel Ángel Padilla Castañeda,alta,tutora_exacta_display,1.0,7,7
"Padilla-Castaneda, Miguel angel",Miguel Ángel Padilla Castañeda,alta,tutora_exacta,1.0,1,1
"Padilla-Castañeda, Miguel Ángel",Miguel Ángel Padilla Castañeda,alta,tutora_exacta,1.0,7,7
"Marín, N.",N M Montalvo Marin,media,tutora_probable,0.99,1,1
N Marín,N M Montalvo Marin,media,tutora_probable_display,0.99,1,1
"Jonard-Pérez, Natalia",Natalia Jonard Perez,alta,tutora_exacta,1.0,1,1
Natalia Jonard Pérez,Natalia Jonard Perez,alta,tutora_exacta_display,1.0,1,1
Nelly Selem Mojica,Nelly Selem Mojica,alta,tutora_exacta_display,1.0,1,1
Nelly Sélem Mojica,Nelly Selem Mojica,alta,tutora_exacta_display,1.0,1,1
"Selem-Mojica, Nelly",Nelly Selem Mojica,alta,tutora_exacta,1.0,1,1
"Sélem-Mojica, Nelly",Nelly Selem Mojica,alta,tutora_exacta,1.0,1,1
"Marín, Nestaly",Nestaly Marín,alta,tutora_exacta,1.0,1,1
Nestaly Marín,Nestaly Marín,alta,tutora_exacta_display,1.0,1,1
"Hevia-Montiel, Nidiyare",Nidiyare Hevia Montiel,alta,tutora_exacta,1.0,4,4
"Hevia-montiel, Nidiyare",Nidiyare Hevia Montiel,alta,tutora_exacta,1.0,2,2
"Hevia–Montiel, Nidiyare",Nidiyare Hevia Montiel,alta,tutora_exacta,1.0,2,2
N. Hevia-Montiel,Nidiyare Hevia Montiel,media,tutora_probable,0.96,5,5
Nidiyare Hevia Montiel,Nidiyare Hevia Montiel,alta,tutora_exacta_display,1.0,4,4
Nidiyare Hevia Montiel,Nidiyare Hevia Montiel,alta,tutora_exacta_display,1.0,2,2
Nidiyare Hevia montiel,Nidiyare Hevia Montiel,alta,tutora_exacta_display,1.0,2,2
Nora Isabel Perez Quezadas,Nora Isabel Pérez Quezadas,alta,tutora_exacta_display,1.0,2,2
Nora Isabel Pérez Quezadas,Nora Isabel Pérez Quezadas,alta,tutora_exacta_display,1.0,7,7
"Perez-Quezadas, Nora Isabel",Nora Isabel Pérez Quezadas,alta,tutora_exacta,1.0,2,2
"Pérez-Quezadas, Nora Isabel",Nora Isabel Pérez Quezadas,alta,tutora_exacta,1.0,7,7
"Gonzalez-Cabrera, Nestor",Néstor González Cabrera,alta,tutora_exacta,1.0,1,1
Nestor Gonzalez Cabrera,Néstor González Cabrera,alta,tutora_exacta_display,1.0,1,1
"Cruz-Mejia, Oliverio",Oliverio Cruz Mejia,alta,tutora_exacta,1.0,8,8
"Cruz-Mejía, Oliverio",Oliverio Cruz Mejia,alta,tutora_exacta,1.0,3,3
Oliverio Cruz Mejia,Oliverio Cruz Mejia,alta,tutora_exacta_display,1.0,8,8
Oliverio Cruz Mejía,Oliverio Cruz Mejia,alta,tutora_exacta_display,1.0,3,3
Oriol Sole Pi,Oriol Solé Pi,alta,tutora_exacta_display,1.0,1,1
Oriol Solé Pi,Oriol Solé Pi,alta,tutora_exacta_display,1.0,1,1
"Pi, Oriol Sole",Oriol Solé Pi,alta,tutora_exacta,1.0,1,1
"Pi, Oriol Solé",Oriol Solé Pi,alta,tutora_exacta,1.0,1,1
Orlando Ramos Flores,Orlando Ramos Flores,alta,tutora_exacta_display,1.0,3,3
"Ramos-Flores, Orlando",Orlando Ramos Flores,alta,tutora_exacta,1.0,3,3
"Arana-Hernandez, Oscar",Oscar Arana Hernández,alta,tutora_exacta,1.0,2,2
O. Arana-Hernández,Oscar Arana Hernández,media,tutora_probable,0.96,1,1
Oscar Arana Hernandez,Oscar Arana Hernández,alta,tutora_exacta_display,1.0,2,2
Patricio J Valadés Pelayo,Patricio Javier Valadés Pelayo,media,tutora_probable_display,0.96,1,1
"Valadés-Pelayo, Patricio J.",Patricio Javier Valadés Pelayo,media,tutora_probable,0.96,1,1
"Cruz-Morales, R.D.",R D Cruz Morales,alta,tutora_exacta,1.0,3,3
R D Cruz Morales,R D Cruz Morales,alta,tutora_exacta_display,1.0,3,3
R. D. Cruz-Morales,R D Cruz Morales,alta,tutora_exacta,1.0,3,3
R. d. J. León-Montiel,R D J León Montiel,alta,tutora_exacta,1.0,2,2
"Ramírez-Chavarría, Roberto G.",Roberto Giovanni Ramírez Chavarría,alta,tutora_doi_compartido,0.98,9,9
Roberto G Ramírez Chavarría,Roberto Giovanni Ramírez Chavarría,alta,tutora_doi_compartido_display,0.98,9,9
"Aldeco Peréz, Rocio",Rocio Aldeco Perez,alta,tutora_exacta,1.0,2,2
"Perez, Rocio Aldeco",Rocio Aldeco Perez,alta,tutora_exacta,1.0,2,2
Rocio Aldeco Perez,Rocio Aldeco Perez,alta,tutora_exacta_display,1.0,2,2
Rocio Aldeco Peréz,Rocio Aldeco Perez,alta,tutora_exacta_display,1.0,2,2
"Ramos-Díaz, Rodrigo",Rodrigo Ramos Diaz,alta,tutora_exacta,1.0,2,2
Rodrigo Ramos Díaz,Rodrigo Ramos Diaz,alta,tutora_exacta_display,1.0,2,2
Rodrigo Ramos-Díaz,Rodrigo Ramos Diaz,alta,tutora_exacta,1.0,1,1
"Comparan, Roman Osorio",Roman Osorio Comparan,alta,tutora_exacta,1.0,1,1
"Comparán, Román Osorio",Roman Osorio Comparan,alta,tutora_exacta,1.0,1,1
"Osorio-Comparan, Roman",Roman Osorio Comparan,alta,tutora_exacta,1.0,8,8
"Osorio-Comparán, Román",Roman Osorio Comparan,alta,tutora_exacta,1.0,3,3
Roman Osorio Comparan,Roman Osorio Comparan,alta,tutora_exacta_display,1.0,1,1
Roman Osorio Comparan,Roman Osorio Comparan,alta,tutora_exacta_display,1.0,8,8
Román Osorio Comparán,Roman Osorio Comparan,alta,tutora_exacta_display,1.0,1,1
Román Osorio Comparán,Roman Osorio Comparan,alta,tutora_exacta_display,1.0,3,3
R. Rossi-Pool,Roman Rossi Pool,media,tutora_probable,0.96,1,1
Roman Rossi Pool,Roman Rossi Pool,alta,tutora_exacta_display,1.0,2,2
Román Rossi Pool,Roman Rossi Pool,alta,tutora_exacta_display,1.0,2,2
"Rossi-Pool, Roman",Roman Rossi Pool,alta,tutora_exacta,1.0,2,2
"Rossi-Pool, Román",Roman Rossi Pool,alta,tutora_exacta,1.0,2,2
Ruben Tapia Olvera,Rubén Tapia Olvera,alta,tutora_exacta_display,1.0,3,3
"Tapia-Olvera, Ruben",Rubén Tapia Olvera,alta,tutora_exacta,1.0,3,3
"Fuentes-García, Ruth",Ruth Selene Fuentes Garcia,alta,tutora_probable,0.99,2,2
Ruth Fuentes García,Ruth Selene Fuentes Garcia,alta,tutora_probable_display,0.99,2,2
"Rodriguez-Romo, S.",S Rodríguez Romo,alta,tutora_exacta,1.0,2,2
"Rodríguez-Romo, S.",S Rodríguez Romo,alta,tutora_exacta,1.0,2,2
S Rodriguez Romo,S Rodríguez Romo,alta,tutora_exacta_display,1.0,2,2
S Rodríguez Romo,S Rodríguez Romo,alta,tutora_exacta_display,1.0,2,2
"Ojeda-Trueba, Sergio",Sergio Luis Ojeda Trueba,alta,tutora_probable,0.99,4,4
"Ojeda-Trueba, Sergio Luis",Sergio Luis Ojeda Trueba,alta,tutora_exacta,1.0,7,7
"Ojeda-Trueba, Sergio-Luis",Sergio Luis Ojeda Trueba,alta,tutora_exacta,1.0,13,13
Sergio Luis Ojeda Trueba,Sergio Luis Ojeda Trueba,alta,tutora_exacta_display,1.0,7,7
Sergio Luis Ojeda Trueba,Sergio Luis Ojeda Trueba,alta,tutora_exacta_display,1.0,13,13
Sergio Ojeda Trueba,Sergio Luis Ojeda Trueba,alta,tutora_probable_display,0.99,4,4
"Alcocer, Sergio M.",Sergio M Alcocer,alta,tutora_exacta,1.0,3,3
Sergio M Alcocer,Sergio M Alcocer,alta,tutora_exacta_display,1.0,3,3
"Quezada-Garcia, Sergio",Sergio Quezada García,alta,tutora_exacta,1.0,1,1
"Quezada-García, Sergio",Sergio Quezada García,alta,tutora_exacta,1.0,1,1
Sergio Quezada Garcia,Sergio Quezada García,alta,tutora_exacta_display,1.0,1,1
Sergio Quezada García,Sergio Quezada García,alta,tutora_exacta_display,1.0,1,1
Shweta Vincent,Shweta Vincent,alta,tutora_exacta_display,1.0,1,1
"Vincent, Shweta",Shweta Vincent,alta,tutora_exacta,1.0,1,1
"Garcia Benitez, Silvia Raquel",Silvia Raquel García Benítez,alta,tutora_exacta,1.0,1,1
Silvia Raquel Garcia Benitez,Silvia Raquel García Benítez,alta,tutora_exacta_display,1.0,1,1
"Ortuno-Chanelo, S.",Stephany Ortuño Chanelo,alta,tutora_doi_compartido,0.98,1,1
"Ortuno-Chanelo, Stephany",Stephany Ortuño Chanelo,alta,tutora_exacta,1.0,2,2
"Ortuño-Chanelo, Stephany",Stephany Ortuño Chanelo,alta,tutora_exacta,1.0,1,1
S Ortuno Chanelo,Stephany Ortuño Chanelo,alta,tutora_doi_compartido_display,0.98,1,1
Stephany Ortuno Chanelo,Stephany Ortuño Chanelo,alta,tutora_exacta_display,1.0,2,2
Stephany Ortuño Chanelo,Stephany Ortuño Chanelo,alta,tutora_exacta_display,1.0,1,1
"Rodriguez-Romo, Suemi",Suemi Rodríguez Romo,alta,tutora_exacta,1.0,15,15
"Rodríguez-Romo, Suemi",Suemi Rodríguez Romo,alta,tutora_exacta,1.0,11,11
Suemi Rodriguez Romo,Suemi Rodríguez Romo,alta,tutora_exacta_display,1.0,15,15
Suemi Rodríguez Romo,Suemi Rodríguez Romo,alta,tutora_exacta_display,1.0,11,11
"Baydyk, Tetyana",Tetyana Baydyk,alta,tutora_exacta,1.0,2,2
Tetyana Baydyk,Tetyana Baydyk,alta,tutora_exacta_display,1.0,2,2
"Olivares-Pinto, U",Ulises Olivares Pinto,media,tutora_probable,0.96,2,2
"Olivares-Pinto, U.",Ulises Olivares Pinto,media,tutora_probable,0.96,2,2
U Olivares Pinto,Ulises Olivares Pinto,media,tutora_probable_display,0.96,2,2
"Iturrarán-Viveros, Ursula",Ursula Iturrarán Viveros,alta,tutora_exacta,1.0,5,5
Ursula Iturrarán Viveros,Ursula Iturrarán Viveros,alta,tutora_exacta_display,1.0,5,5
"Manea, V.C.",V C Manea,alta,tutora_exacta,1.0,5,5
V C Manea,V C Manea,alta,tutora_exacta_display,1.0,5,5
"Arriola Rios, Veronica Esther",Verónica Esther Arriola Ríos,alta,tutora_exacta,1.0,1,1
"Arriola Ríos, Verónica Esther",Verónica Esther Arriola Ríos,alta,tutora_exacta,1.0,1,1
"Arriola-Rios, V.E.",Verónica Esther Arriola Ríos,media,tutora_probable,0.96,1,1
"Arriola-Rios, Veronica E.",Verónica Esther Arriola Ríos,media,tutora_probable,0.96,2,2
V E Arriola Rios,Verónica Esther Arriola Ríos,media,tutora_probable_display,0.96,1,1
V. E. Arriola Ríos,Verónica Esther Arriola Ríos,media,tutora_probable,0.96,1,1
Veronica E Arriola Rios,Verónica Esther Arriola Ríos,media,tutora_probable_display,0.96,2,2
Veronica Esther Arriola Rios,Verónica Esther Arriola Ríos,alta,tutora_exacta_display,1.0,1,1
Verónica Esther Arriola Ríos,Verónica Esther Arriola Ríos,alta,tutora_exacta_display,1.0,1,1
"Manea, Vlad C.",Vlad Constantin Manea,media,tutora_probable,0.96,3,3
Vlad C Manea,Vlad Constantin Manea,media,tutora_probable_display,0.96,3,3
"Gonzalez-Villela, Victor J.",Víctor Javier González Villela,media,tutora_probable,0.96,7,7
V. J. Gonzalez-Villela,Víctor Javier González Villela,media,tutora_probable,0.96,4,4
Victor J Gonzalez Villela,Víctor Javier González Villela,media,tutora_probable_display,0.96,7,7
Victor J. Gonzalez-Villela,Víctor Javier González Villela,media,tutora_probable,0.96,2,2
"Lomas, Victor",Víctor Lomas Barrie,alta,tutora_doi_compartido,0.98,3,3
Victor Lomas,Víctor Lomas Barrie,alta,tutora_doi_compartido_display,0.98,3,3
"Corza-Vargas, Victor Manuel",Víctor Manuel Corza Vargas,alta,tutora_exacta,1.0,2,2
Victor Manuel Corza Vargas,Víctor Manuel Corza Vargas,alta,tutora_exacta_display,1.0,2,2
V M Velasco Herrera,Víctor Manuel Velasco Herrera,media,tutora_probable_display,0.96,1,1
"Velasco-Herrera, V.M.",Víctor Manuel Velasco Herrera,media,tutora_probable,0.96,1,1
"Fanti-Gutierrez, Zian",Zian Fanti Gutiérrez,alta,tutora_exacta,1.0,3,3
"Fanti-Gutiérrez, Zian",Zian Fanti Gutiérrez,alta,tutora_exacta,1.0,3,3
Zian Fanti Gutierrez,Zian Fanti Gutiérrez,alta,tutora_exacta_display,1.0,3,3
Zian Fanti Gutiérrez,Zian Fanti Gutiérrez,alta,tutora_exacta_display,1.0,3,3
"Leyva-Acosta, Zoe",Zoe Leyva Acosta,alta,tutora_exacta,1.0,2,2
Zoe Leyva Acosta,Zoe Leyva Acosta,alta,tutora_exacta_display,1.0,2,2
