alias,autor_normalizado,confianza,origen,score,n_filas_base,n_articulos_base
Carlos Francisco Mendez Cruz,Carlos Francisco Méndez Cruz,alta,tutora_exacta_display,1.0,3,3
Carlos Francisco Méndez Cruz,Carlos Francisco Méndez Cruz,alta,tutora_exacta_display,1.0,2,2
"Mendez-Cruz, Carlos-Francisco",Carlos Francisco Méndez Cruz,alta,tutora_exacta,1.0,3,3
"Méndez-Cruz, Carlos-Francisco",Carlos Francisco Méndez Cruz,alta,tutora_exacta,1.0,2,2
C I Hernández Castellanos,Carlos Ignacio Hernández Castellanos,media,tutora_probable_display,0.96,4,4
Carlos Hernández Castellanos,Carlos Ignacio Hernández Castellanos,alta,tutora_probable_display,0.99,1,1
Carlos Hernández Castellanos,Carlos Ignacio Hernández Castellanos,alta,tutora_probable_display,0.99,4,4
Carlos Ignacio Hernandez Castellanos,Carlos Ignacio Hernández Castellanos,alta,tutora_exacta_display,1.0,6,6
Carlos Ignacio Hernandez Castellanos,Carlos Ignacio Hernández Castellanos,alta,tutora_exacta_display,1.0,5,5
Carlos Ignacio Hernández Castellanos,Carlos Ignacio Hernández Castellanos,alta,tutora_exacta_display,1.0,11,11
Carlos Ignacio Hernández Castellanos,Carlos Ignacio Hernández Castellanos,alta,tutora_exacta_display,1.0,25,25
"Castellanos, Carlos Hernández",Carlos Ignacio Hernández Castellanos,alta,tutora_probable,0.99,1,1
"Castellanos, Carlos Ignacio Hernandez",Carlos Ignacio Hernández Castellanos,alta,tutora_exacta,1.0,6,6
"Castellanos, Carlos Ignacio Hernández",Carlos Ignacio Hernández Castellanos,alta,tutora_exacta,1.0,11,11
"Hernandez Castellanos, Carlos Ignacio",Carlos Ignacio Hernández Castellanos,alta,tutora_exacta,1.0,5,5
"Hernández Castellanos, C.I.",Carlos Ignacio Hernández Castellanos,media,tutora_probable,0.96,4,4
"Hernández Castellanos, Carlos",Carlos Ignacio Hernández Castellanos,alta,tutora_probable,0.99,4,4
"Hernández Castellanos, Carlos Ignacio",Carlos Ignacio Hernández Castellanos,alta,tutora_exacta,1.0,25,25
Carlos Minutti Martinez,Carlos Minutti Martinez,alta,tutora_exacta_display,1.0,4,4
"Minutti-Martinez, Carlos",Carlos Minutti Martinez,alta,tutora_exacta,1.0,4,4
Carlos Ricardo Cruz Mendoza,Carlos Ricardo Cruz Mendoza,alta,tutora_exacta_display,1.0,2,2
"Cruz-Mendoza, Carlos Ricardo",Carlos Ricardo Cruz Mendoza,alta,tutora_exacta,1.0,2,2
Cesar Hernandez Cruz,Cesar Hernández Cruz,alta,tutora_exacta_display,1.0,1,1
César Hernández Cruz,Cesar Hernández Cruz,alta,tutora_exacta_display,1.0,9,9
"Hernandez-Cruz, Cesar",Cesar Hernández Cruz,alta,tutora_exacta,1.0,1,1
"Hernández-Cruz, César",Cesar Hernández Cruz,alta,tutora_exacta,1.0,9,9
Christopher R Stephens,Christopher Rhodes Stephens,media,tutora_probable_display,0.96,1,1
"Stephens, Christopher R.",Christopher Rhodes Stephens,media,tutora_probable,0.96,1,1
"Castanon Quiroz, D.",Daniel Castañon Quiroz,media,tutora_probable,0.96,1,1
D Castanon Quiroz,Daniel Castañon Quiroz,media,tutora_probable_display,0.96,1,1
Daniel Castanon Quiroz,Daniel Castañon Quiroz,alta,tutora_exacta_display,1.0,1,1
"Quiroz, Daniel Castanon",Daniel Castañon Quiroz,alta,tutora_exacta,1.0,1,1
D. Haro-Mendoza,Daniel Haro Mendoza,media,tutora_probable,0.96,4,4
Daniel Haro Mendoza,Daniel Haro Mendoza,alta,tutora_exacta_display,1.0,2,2
Daniel Haro-Mendoza,Daniel Haro Mendoza,alta,tutora_exacta,1.0,2,2
"Haro-Mendoza, Daniel",Daniel Haro Mendoza,alta,tutora_exacta,1.0,2,2
David Romero,David Romero,alta,tutora_exacta_display,1.0,2,2
"Romero, David",David Romero,alta,tutora_exacta,1.0,2,2
D. T. Varela,David Tinoco Varela,media,tutora_probable,0.96,7,7
David Tinoco Varela,David Tinoco Varela,alta,tutora_exacta_display,1.0,1,1
David Tinoco Varela,David Tinoco Varela,alta,tutora_exacta_display,1.0,5,5
"Tinoco-Varela, David",David Tinoco Varela,alta,tutora_exacta,1.0,1,1
"Varela, David Tinoco",David Tinoco Varela,alta,tutora_exacta,1.0,5,5
"Belmont-Moreno, E.",E Belmont Moreno,alta,tutora_exacta,1.0,1,1
E Belmont Moreno,E Belmont Moreno,alta,tutora_exacta_display,1.0,1,1
Edgar Galvan,Edgar Galvan,alta,tutora_exacta_display,1.0,2,2
Edgar Galván,Edgar Galvan,alta,tutora_exacta_display,1.0,1,1
"Galvan, Edgar",Edgar Galvan,alta,tutora_exacta,1.0,2,2
"Galván, Edgar",Edgar Galvan,alta,tutora_exacta,1.0,1,1
Edgardo Galan Vasquez,Edgardo Galán Vásquez,alta,tutora_exacta_display,1.0,3,3
Edgardo Galán Vásquez,Edgardo Galán Vásquez,alta,tutora_exacta_display,1.0,6,6
"Galan-Vasquez, Edgardo",Edgardo Galán Vásquez,alta,tutora_exacta,1.0,3,3
"Galán-Vásquez, Edgardo",Edgardo Galán Vásquez,alta,tutora_exacta,1.0,6,6
Edgardo Roldán Pensado,Edgardo Roldán Pensado,alta,tutora_exacta_display,1.0,3,3
"Roldán-Pensado, Edgardo",Edgardo Roldán Pensado,alta,tutora_exacta,1.0,3,3
"Acuña Yeomans, Eduardo",Eduardo Acuña Yeomans,alta,tutora_exacta,1.0,1,1
Eduardo Acuna Yeomans,Eduardo Acuña Yeomans,alta,tutora_exacta_display,1.0,1,1
Eduardo Acuña Yeomans,Eduardo Acuña Yeomans,alta,tutora_exacta_display,1.0,1,1
"Yeomans, Eduardo Acuna",Eduardo Acuña Yeomans,alta,tutora_exacta,1.0,1,1
