Title,Author,Author affiliation,Source,Sponsor,Publisher/Repository,Volume and Issue,Pages,Issue date,Publication year,ISSN,ISBN13,DOI,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Open Access type(s),Database,Copyright,Data Provider
"The Computational Power of Distributed Shared-Memory Models with Bounded-Size Registers","Delporte-Gallet, C. (1); Fauconnier, H. (1); Fraigniaud, P. (1); Rajsbaum, S. (2); Travers, C. (3) ","(1) Université Paris Cité, IRIF, France (2) UNAM, Instituto de Matematicas, Mexico (3) Université Aix-Marseille, LIS, France ","PODC '24: Proceedings of the 43rd ACM Symposium on Principles of Distributed Computing","SIGACT;SIGOPS","ACM, New York, NY, USA","","310-20","2024","","","979-8-4007-0668-4","10.1145/3662158.3662789","PODC '24: 43rd ACM Symposium on Principles of Distributed Computing","2024","Nantes, France","The celebrated Asynchronous Computability Theorem of Herlihy and Shavit (JACM 1999) provided a topological characterization of the tasks that are wait-free solvable by processes communicating through writing and reading shared registers. This characterization assumes the use of full-information protocols, in which each time a process writes in the shared memory, it communicates everything it learned since the beginning of the execution. Thus, each register in the shared memory is of unbounded size. Whether unbounded size registers are unavoidable for the model of computation to be universal is the central question studied in this paper. More generally, when at most t out of n processes can crash, is the model with bounded size registers universal?We show that when 1 ≤ t n/2 registers of size O(t) bits are sufficient to solve any task that is solvable by a full-information protocol. The situation is radically different when n/2 t n, which includes the wait-free case. We show that bounded registers are not universal. Specifically, we show that, for any bound f: ℕ → ℕ, and for any n > 2, there exists a task that cannot be solved by n processes communicating via registers of size f(n) bits, but is solvable by n processes using unbounded registers. The case n = 2, t = 1, where 1-resilient computing and wait-free computing coincide, does not display the same behavior. We show that any task solvable by 2 processes in the wait-free shared-memory model with unbounded-size registers can be solved by 2 processes in the wait-free shared-memory model with constant size registers.Finally, we consider the iterated shared memory model, which has played a crucial role since Herlihy and Shavit's characterization. We show that 1-bit registers (per iteration) are sufficient for solving wait-free any task that is solvable by a full-information wait-free protocol. Therefore, while the wait-free read/write shared-memory model is known to be computationally equivalent to the iterated model, this equivalence only holds if registers are unbounded.",,,"computational complexity - distributed shared memory systems - shared memory systems","1-bit registers - 1-resilient computing - Asynchronous Computability Theorem - bounded registers - bounded size registers - bounded-size registers - computational power - constant size registers - distributed shared-memory models - full-information protocol - full-information wait-free protocol - iterated model - iterated shared memory model - reading shared registers - register - unbounded registers - unbounded size registers - unbounded-size registers - wait-free case - wait-free computing coincide - wait-free shared-memory model","C4240P Parallel programming and algorithm theory - C4240C Computational complexity - C5440 Multiprocessing systems - C6120 File organisation","G06F15/16 - G06F12/00","Practical (PRA); Theoretical or Mathematical (THR)","All Open Access, Green","Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Some New Results With k -Set Agreement","Delporte-Gallet, C. (1); Fauconnier, H. (1); Safir, M. (1, 2) ","(1) Institut de Recherche en Informatique Fondamentale, France (2) Université Polytechnique Mohammed VI Benguerir, College of Computing, Morocco ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","83-99","2024","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_5","International Conference on Networked Systems","2024","Rabat, Morocco","In this article, we investigate the solvability of k -set agreement among n processes in distributed systems prone to different types of process failures. k -set agreement allows each process to propose a value and decide a value such that at most k different values are decided by the correct processes, in such a way that, if all the correct processes propose the same value v , they will decide v . We specially explore two scenarios: synchronous message-passing systems prone to up to t Byzantine failures of processes, and asynchronous shared memory systems prone to up to t crash failures. Our goal is to address the gaps left by previous works [ 4 , 8 , 15 ] in these areas. In the message passing system with Byzantine failures we enrished the system with authentication, we present an algorithm that ensures k -set agreement in only two rounds, with no constraints on the number of faults t , with k determined as k ≥ ⌊n/n - t ⌋ + 1 , and an optimal algorihtm ensuring k -set agreement in t + 1 rounds for k ≥ ⌊n/n-t⌋. While in the crash asynchronous shared memory systems, we introduce an algorithm that ensure k -set agreement when n > 2 t for k ≥ ⌊ n-t/n-2t ⌋+1, and an impossibility result for k ≤ ⌊n-t/n-2t⌋-1 .","18",,"authorisation - message passing - shared memory systems","asynchronous shared memory systems - authentication - Byzantine failures - correct processes - distributed systems - k -set agreement - optimal algorihtm - synchronous message-passing systems","C5440 Multiprocessing systems - C6130S Data security","G06F15/16 - G06F21/00","Practical (PRA)",,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Data-driven power system linear model identification via quadrature-based balanced truncation","Arrieta Paternina, M.R. (1); Moreno Corbea, J.A. (1); Ramirez-Arredondo, J.M. (2); Chow, J.H. (3); Zamora-Mendez, A. (4) ","(1) Universidad Nacional Autonoma de Mexico, Mexico (2) IPN, Centro de Investigacion y de Estudios Avanzados, Mexico (3) Rensselaer Polytechnic Institute, Troy, NY, United States (4) Universidad Michoacana de San Nicolas de Hidalgo, Mexico ","IEEE Latin America Transactions","","IEEE, USA","v 23, n 9","787-98","Sept 2025","","1548-0992","","10.1109/TLA.2025.11119494","","","","This paper introduces the novel formulation of the quadrature-based balanced truncation (QBBT) method to precisely identify large-scale power system linear models. The QBBT interpolates a directional frequency dataset that is extracted from a dynamic system, following a quadrature rule to be applied from weighted data to derive a linear system model based on approximations of Gramians, and providing an alternative approach to the classic balanced truncation (BT) formulation that makes use of the system model. In this investigation, an accurate theoretical framework is presented to achieve the application of QBBT considering power systems as black-box models. The Boyd/Clenshaw-Curtis (BCC) quadrature rule is implemented by using different adjustments to accurately identify linear models of different order. The attained results and their validation with analytical power system models confirm the method's potential to retail oscillatory dynamics. The QBBT's effectiveness is compared with the Loewner-based frequency interpolation (LBFI) approach and the BT method on the Klein-Rogers-Kundur (KRK) benchmark power system and the equivalent of the New England transmission system - New York power system (NETS-NYPS), achieving a small absolute error in the magnitude of the frequency response of the models of the order of 1x10-3 dB in comparison with other state-of-the-art methods.","0",,"frequency response - interpolation - linear systems - power system identification - power system simulation - power transmission - reduced order systems","analytical power system models - black-box models - classic balanced truncation formulation - data-driven power system linear model identification - directional frequency dataset - Klein-Rogers-Kundur benchmark power system - large-scale power system linear models - linear system model - Loewner-based frequency interpolation approach - New England transmission system - New York power system - QBBT - QBBT considering power systems - quadrature-based balanced truncation method - weighted data","B0290F Interpolation and function approximation (numerical analysis) - C4130 Interpolation and function approximation (numerical analysis) - C6130 Data handling techniques - C7410B Power engineering computing - B8110 Power systems - B8120 Power transmission, distribution and supply","H02J3/00 - G06F7/00","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Static Data Race Detection via Lazy Sequentialization","Fischer, B. (1); Garbi, G. (2, 3); La Torre, S. (3); Parlato, G. (2); Schrammel, P. (4) ","(1) Stellenbosch University, South Africa (2) University of Molise, Italy (3) University of Salerno, Italy (4) Diffblue Ltd, United Kingdom ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","124-41","2024","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_8","International Conference on Networked Systems","2024","Rabat, Morocco","We present a new symbolic static data race detection algorithm, which is defined as a code-to-code translation that injects code to monitor any accesses to shared memory locations. We implemented this algorithm in the LaDR tool as an extension of an existing lazy sequentialization schema which works well when used in tandem with bounded model checkers. We evaluated LaDR on the benchmarks from the data race demonstration category of SV-COMP 2024, and on safestack, a lock-free data structure that contains a rare ABA-related bug. LaDR finds more data races than all other tools participating in SV-COMP 2024, and is the only tool that can find a data race in safestack.","31",,"data structures - program debugging - program diagnostics - program verification","bounded model checkers - code-to-code translation - data race demonstration category - existing lazy sequentialization schema - LaDR tool - lock-free data structure - shared memory locations - SV-COMP 2024 - symbolic static data race detection algorithm","C6110F Formal methods - C6120 File organisation - C6150G Diagnostic, testing, debugging and evaluating systems - C6190P Parallel software","G06F9/44 - G06F12/00 - G06F9/46 - G06F11/36","Practical (PRA); Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Integer transformation of Boolean networks and its topological implications","Bensussen, A. (1); Álvarez-Buylla, E.R. (2); Martínez-García, J.C. (1) ","(1) Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional, Departamento de Control Automático, Mexico (2) UNAM, Instituto de Ecología & C3, , Mexico ","IFAC PapersOnLine","","Elsevier B.V., Netherlands","v 58, n 17","61-6","2024","","2405-8963","","10.1016/j.ifacol.2024.10.114","","","","Studying large-scale Boolean networks is of interest for several areas of biology. One of the simplest ways to approach this type of systems is by implementing iterative synchronous update schemes. However, the complexity of such approach grows exponentially depending on the number of nodes included in the network, being almost impossible to characterize the complete topology of networks with more than 35 nodes. Consequently, in this paper we developed an algebraic method equivalent to the synchronous update scheme able to characterize the entire topology of Boolean networks. To do this, we explored the properties of transforming n-dimensional discrete non-parameterised Boolean systems into relations defined in integers, which can be visualized in the Cartesian plane. This visualization makes then easy to explore in a systematic manner the topology of the attractor landscape. Finally, we show examples of how to implement this method for topological analysis, which opens new possibilities for modeling large Boolean networks for biology and other areas of knowledge. All rights reserved Elsevier.","11",,"biology - iterative methods - synchronisation - topology","Cartesian plane - complete topology - integer transformation - iterative synchronous update schemes - large-scale Boolean networks - n-dimensional discrete nonparameterised Boolean systems - topological analysis","C1160 Combinatorial mathematics - C1290L Systems theory applications in biology and medicine - C4130 Interpolation and function approximation (numerical analysis)","","Theoretical or Mathematical (THR)","All Open Access, Gold","Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Earth-Air Thermal Siphon as a Passive Air-Conditioning System for a Humid Climate","Rivero, Juan Manuel (1) ","(1) Universidad Nacional Autónoma de México, ENES Mérida, Yucatán; 97357, Mexico ","SSRN","","SSRN","","","May 24, 2024","2024","15565068","","10.2139/ssrn.4840018","","","","The exchange of heat with the ground, or any mass with great thermal inertia, has been used for millennia for the conditioning of spaces in different climates. Particularly in places where environmental temperatures are extreme, such as North Africa or regions of Central Asia. Nowadays, incorporating this type of self-sustaining techniques is extremely attractive as an alternative to the use of energy generated from fossil fuels. That is why the present work addresses the issue of room air conditioning through a passive air conditioning system, which works using a large mass with thermal inertia and tubes inside of it through which air circulates thanks to natural convection.This design was originally proposed in the work of Rivero and Méndez (2023) for an arid climate with considerable temperature fluctuations. However, this greatly reduces the system’s field of application, so the current work aims to incorporate air humidity into the problem, requiring the adaptation of the model by considering the phase changes of humidity with their respective latent heats. This implies reformulating the base system, to build a new and improved model. In this way, the application of the design is expanded to multiple types of climates, generating greater versatility in the scope of the project. In general terms, it is required to solve the heat equation to study the heat transfer within the solid, coupling it with the nonlinear governing equations of the fluid that circulates through the pipes. To solve the resulting mathematical model, several techniques are used: scale analysis to simplify the general problem, singular perturbation methods for the conservation equations of the humid airflow, the multipole method for heat transfer on the ground, and iterative and discretization techniques for coupling both systems. The obtained result is a semi-analytical model that allows rendering the periodic behavior of the system, in order to find the optimal parameters in its performance, relegating the use of expensive numerical simulations for fine-tuning details. © 2024, The Authors. All rights reserved.","59","Nonlinear equations","Air conditioning - Analytical models - Climate models - Earth (planet) - Fossil fuels - Heat exchangers - Heat transfer - Iterative methods - Perturbation techniques","Analytic modeling - Conditioning systems - Earth-air heat exchangers - Humid air - Humid climates - Passive air - Renewable energies - Semi-analytic model - Thermal inertia - Thermal Siphon","443 Meteorology - 616.1 Heat Exchange Equipment and Components - 641.2 Heat Transfer - 643.3 Air Conditioning - 921 Mathematics - 921.6 Numerical Methods","",,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Parameter Identification Algorithm for a LTV System with Partially Unknown State Matrix","Kozachek, O. (1); Nikolaev, N. (1); Slita, O. (1); Bobtsov, A. (1) ","(1) ITMO University, 49 Kronverkskiy Av., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","","Springer Nature, Berlin, Germany","","306-19","2024","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_23","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","This work is devoted to the problem of unknown parameters identification for the case when the state of the system is not measured directly and only the input and output signals of the system are known. In this paper an adaptive state observer and parameter identification algorithm for a linear time-varying (LTV) system is developed. The state matrix of the system under consideration contains unknown time-varying parameters of a known form. Every unknown parameter can be described by a second-order dynamical system, generating sinusoidal signal with unknown frequency and initial conditions. The developed algorithm allows to observe the state vector without identification of the unknown parameters using only measured output signal and known input signal. As soon as the state vector estimate is obtained, the parameter identification algorithm is applied to find unknown parameters of the system. The identification algorithm that was proposed in previous papers of the authors is used for this purpose. The system that is considered in the paper is written as general linear time-varying model. Since many nonlinear systems after linearization can be transformed into linear time-varying systems, the proposed algorithm can be applied for different technical objects, such as mobile robots, manipulators, electro-mechanical systems, etc.","15",,"linear systems - mobile robots - nonlinear control systems - nonlinear systems - observers - parameter estimation - time-varying systems","adaptive state observer - electro-mechanical systems - general linear time-varying model - known input signal - linear time-varying system - LTV system - measured output signal - nonlinear systems - output signals - parameter identification algorithm - partially unknown state matrix - second-order dynamical system - state vector estimate - unknown frequency - unknown parameter - unknown parameters identification - unknown time-varying parameters","C1220 Simulation, modelling and identification - C1320 Stability in control theory - C1340L Linear control systems - C1340K Nonlinear control systems - C1340G Time-varying control systems - C3390C Mobile robots","G05B - G05D1/00","Theoretical or Mathematical (THR)",,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Intercavity polariton slows down dynamics in strongly coupled cavities","Garcia Jomaso, Y.A. (1); Vargas, B. (1); Dominguez, D.L. (1); Armenta-Rico, R.J. (1); Sauceda, H.E. (1); Ordoñez-Romero, C.L. (1); Lara-García, H.A. (1); Camacho-Guardian, A. (1); Pirruccio, G. (1) ","(1) Universidad Nacional Autonoma de Mexico, Instituto de Fisica, Apartado Postal 20-364, Mexico ","Nature Communications","","Springer Nature, Germany","v 15, n 1","2915 (8 pp.)","2024","","2041-1723","","10.1038/s41467-024-47336-y","","","","Band engineering stands as an efficient route to induce strongly correlated quantum many-body phenomena. Besides inspiring analogies among diverse physical fields, tuning on demand the group velocity is highly attractive in photonics because it allows unconventional flows of light. Λ-schemes offer a route to control the propagation of light in a lattice-free configurations, enabling exotic phases such as slow-light and allowing for highly optical non-linear systems. Here, we realize room-temperature intercavity Frenkel polaritons excited across two strongly coupled cavities. We demonstrate the formation of a tuneable heavy-polariton, akin to slow light, appearing in the absence of a periodic in-plane potential. Our photonic architecture based on a simple three-level scheme enables the unique spatial segregation of photons and excitons in different cavities and maintains a balanced degree of mixing between them. This unveils a dynamical competition between many-body scattering processes and the underlying polariton nature which leads to an increased fluorescence lifetime. The intercavity polariton features are further revealed under appropriate resonant pumping, where we observe suppression of the polariton fluorescence intensity.","52",,"excitons - fluorescence - polaritons - slow light","different cavities - diverse physical fields - dynamical competition - excitons - exotic phases - group velocity - intercavity polariton features - lattice-free configurations - many-body scattering processes - nonlinear systems - photonic architecture - photonics - polariton fluorescence intensity - polaritons - room-temperature intercavity - slow-light - strongly correlated quantum many-body phenomena - strongly coupled cavities - three-level scheme - tuneable heavy-polariton - unconventional flows - underlying polariton nature - λ-schemes","A7135 Excitons and related phenomena - A7136 Polaritons - A7320M Collective excitations (surface states)","G02F1/35","Theoretical or Mathematical (THR); Experimental (EXP)","All Open Access, Gold","Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
