Title,Author,Author affiliation,Source,Sponsor,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
"Investigating the relationship between acoustic sound and wood anatomy by coupling computed tomography and ultrasonic wave propagation","Espinoza-Herrera, R. (1); Olmos, L. (2); Arreola-Garcia, E. (1); Carrillo-Gomez, M.I. (3); Murillo-Sanchez, I.E. (4); Arteaga, D. (5) ","(1) Universidad Michoacana de San Nicolas de Hidalgo, Facultad de Ingenieria en Tecnologia de la Madera, Michoacan, Mexico (2) Universidad Michoacana de San Nicolas de Hidalgo, INICIT, Michoacan, Mexico (3) Universidad Michoacana de San Nicolas de Hidalgo, Facultad de Arquitectura, Michoacan, Mexico (4) Instituto Nacional de Bellas Artes y Literatura, Escuela de Lauderia, Mexico (5) Universidad Nacional Autonoma de Mexico, Centro de Geociencias, Mexico ","MRS Advances","","Springer Nature, Germany","v 10, n 5","683-7","May 2025","","","2059-8521","","","10.1557/s43580-025-01216-9","","","","","Picea abies is the most commonly used wood species for making soundboards for high-quality stringed musical instruments. This work performs for the first time an analysis of the propagation velocity of ultrasonic waves by coupling experimental measurements with numerical flow simulations on the 3D real microstructure of Picea abies wood. X-ray microtomography allows to determine a 3D anatomical characteristics as well as to simulate fluid through the anatomical structure of Picea abies wood in its three main directions: longitudinal, tangential, and radial. Results showed that ultrasonic wave's propagation is anisotropic in the three main directions because the anatomical characteristics of woody tissue strongly influences their path. Longitudinal direction had the highest velocity values, then tangential direction and finally the lowest propagation was in the Radial one. These differences agreed with the flow numerical simulations, generated from the data provided by computed tomography.","22",,"computerised tomography - flow simulation - medical image processing - musical acoustics - musical instruments - numerical analysis - ultrasonic propagation - ultrasonic waves - wood","acoustic sound - anatomical characteristics - anatomical structure - commonly used wood species - computed tomography - flow numerical simulations - high-quality stringed musical instruments - longitudinal direction - lowest propagation - numerical flow simulations - Picea abies wood - propagation velocity - simulate fluid - tangential direction - ultrasonic wave propagation - ultrasonic waves - wood anatomy","A0260 Numerical approximation and analysis - E3614 Wood processing industry - A4375 Music and musical instruments - A4710 General fluid dynamics theory, simulation and other computational methods - C7330 Biology and medical computing - A8770E Patient diagnostic methods and instrumentation","B27 - G10 - G16B - G01N33/48","Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Insulation Failure Analysis on Power Transformer by Finite Element Method Simulations","Ocon-Valdez, R. (1); Bravo-Ortega, C.P. (2); Espino-Cortes, F.P. (2) ","(1) UNAM, Electrical-Electronic Engineering, Mexico (2) Instituto Politécnico Nacional, Mexico ","2024 IEEE Electrical Insulation Conference (EIC)","","IEEE, Piscataway, NJ, USA","","339-42","2024","","","","","979-8-3503-6043-1","10.1109/EIC58847.2024.10579374","","2024 IEEE Electrical Insulation Conference (EIC)","2024","Minneapolis, MN, USA","Different types of dielectric failure in the insulation system of high voltage power transformers are analyzed using finite element method (FEM) simulations; cases of failure during lightning impulse, switching impulse, applied potential, and induced potential tests are examined. The analysis aims to understand the failure mechanisms involved in each case, comparing the calculation criteria typically used by designers with the defined safety margins used during the design review process, considering aspects like the drying process and manufacturing tolerances. The finite element method is used to calculate electric field distribution to define the expected design safety margins. For safety margin calculations, some known criteria are compared with Weidmann reference curves, manufacturing design rules, and oil volume stress theory. FEM is a numerical technique that enables engineers to analyze complex structures and simulate the behavior of dielectric materials and allows for a detailed and accurate assessment of the electrical performance of insulation structures. This study is intended to help understand the design criteria used in the insulation design review process. Physical analysis of dielectric failures and the application of advanced calculation tools are fundamental to generating criteria to increase the efficiency of design reviews and thus provide greater reliability to electrical equipment.",,,"failure analysis - finite element analysis - power transformers","advanced calculation tools - calculation criteria - defined safety margins - design criteria - design reviews - design rules - dielectric failure - dielectric materials - drying process - electric field distribution - expected design safety margins - failure mechanisms - FEM - finite element method simulations - high voltage power transformers - induced potential tests - insulation design review process - insulation failure analysis - insulation structures - insulation system - known criteria - lightning impulse - manufacturing tolerances - oil volume stress theory - physical analysis - power transformer - safety margin calculations","B0170N Reliability - E0210L Numerical analysis - B0290T Finite element analysis - B2830 Insulation and insulating coatings - B8350 Transformers and reactors","H01F27/00 - H01B3/00 - H01B17/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Study of the electroosmotic flow of a structured fluid with a new generalized rheological model","Herrera-Valencia, E.E. (1); Sánchez-Villavicencio, M.L. (1); Soriano-Correa, C. (2); Bautista, O. (3); Ramírez-Torres, L.A. (1); Hernández-Abad, V.J. (4); Calderas, F. (1) ","(1) UNAM, Laboratorio de Reología y fenómenos de Transporte, primer piso. Campus II Batalla 5 de mayo s/n, esquina Fuerte de Loreto, Mexico (2) Universidad Nacional Autónoma de México, Facultad de Estudios Superiores, Mexico (3) Instituto Politécnico Nacional, ESIME Azcapotzalco, de las Granjas No. 682, Mexico (4) Universidad Nacional Autónoma de México, Laboratorio de Investigación Farmacéutica, Batalla 5 de mayo S/N, Mexico ","Rheologica Acta","","Springer Nature, Germany","v 63, n 1","3-32","2024","","","1435-1528","","","10.1007/s00397-023-01418-8","","","","","The electroosmotic flow of a viscoelastic fluid in a capillary system was investigated analytically. The rheology of the fluid was characterized by a novel generalized exponential model equation. The charge density obeys the Boltzmann distribution, which governs the electrical double-layer field and body force generated by the applied electrical field. Mathematically, this scenario can be modeled by the Poisson-Boltzmann partial differential equation, by assuming that the zeta potential is small, i.e., less than 25 mV (Debye-Hückel approximation). Considering a pulsating electric field, the shear viscosity and the alteration in the volumetric flow were presented as a function of the material parameters through the characteristic dimensionless numbers by using an exponential-type generalized rheological model. Thixotropy, shear thinning, yield stress mechanisms, and weight concentration were analyzed through numerical results. Finally, the flow properties and rheology were predicted using experimental data reported elsewhere for worm-like micellar solution of cetyl trimethyl ammonium tosilate (CTAT). The rheological equation of state proposed in this study describes the alterations in the structure resulting from applied forces (tangential and normal). These forces induced a structural evolution (kinetic model) due to the relaxation processes caused by shear strain. It is important to mention that in electroosmotic flows, complex behavior such as (i) thixotropy, (ii) rheopexy, and (iii) shear banding flow is scarcely explained in terms of the change in the structure of the fluid under flow.[graphic not available: see fulltext]","62",,"colloids - computational fluid dynamics - Debye-Huckel theory - electrohydrodynamics - electrokinetic effects - electrophoresis - non-Newtonian flow - osmosis - partial differential equations - rheology - shear flow - thixotropy - viscoelasticity - viscosity - yield stress","body force - Boltzmann distribution - capillary system - characteristic dimensionless numbers - charge density - Debye-Huckel approximation - electrical double-layer field - electrical field - electroosmotic flow - exponential model equation - exponential-type generalized rheological model - flow properties - kinetic model - Poisson-Boltzmann partial differential equation - pulsating electric field - shear banding flow - shear thinning - shear viscosity - structural evolution - structured fluid - viscoelastic fluid - volumetric flow","A0230 Function theory, analysis - A0260 Numerical approximation and analysis - A4710 General fluid dynamics theory, simulation and other computational methods - A4750 Non-Newtonian dynamics - A4755K Multiphase flows (including two-phase flow and drops) - A4760 Flows in ducts, channels, and conduits - A4765 Magnetohydrodynamics and electrohydrodynamics - A8245 Electrochemistry and electrophoresis - A8270D Colloids","B01J13/00 - B01D57/02 - C25","Theoretical or Mathematical (THR)",,,"All Open Access, Hybrid Gold","Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Simultaneous observations of multiple ELVES and SPRITES at the Pierre Auger Observatory","Abdul Halim, A. (13); Abreu, P. (70); Aglietta, M. (51, 53); Allekotte, I. (1); Almeida Cheminant, K. (77, 78); Almela, A. (7, 12); Aloisio, R. (44, 45); Alvarez-Muñiz, J. (76); Ambrosone, A. (44); Ammerman Yebra, J. (76); Anastasi, G.A. (46, 57); Anchordoqui, L. (83); Andrada, B. (7); Andrade Dourado, L. (44, 45); Andringa, S. (70); Apollonio, L. (48, 58); Aramo, C. (49); Arnone, E. (51, 62); Arteaga Velázquez, J.C. (66); Assis, P. (70); Avila, G. (11); Avocone, E. (45, 56); Bakalova, A. (31); Barbato, F. (44, 45); Bartz Mocellin, A. (82); Bellido, J.A. (13); Berat, C. (35); Bertaina, M.E. (51, 62); Bianciotto, M. (51, 62); Biermann, P.L. (88); Binet, V. (5); Bismark, K. (7, 38); Bister, T. (77, 78); Biteau, J. (36, 95); Blazek, J. (31); Blümer, J. (40); Boháčová, M. (31); Boncioli, D. (45, 56); Bonifazi, C. (8); Bonneau Arbeletche, L. (22); Borodai, N. (68); Brack, J. (93); Brichetto Orchera, P.G. (7, 40); Briechle, F.L. (41); Bueno, A. (75); Buitink, S. (15); Buscemi, M. (46, 57); Büsken, M. (7, 38); Bwembya, A. (77, 78); Caballero-Mora, K.S. (65); Cabana-Freire, S. (76); Caccianiga, L. (48, 58); Campuzano, F. (6); Caraça-Valente, J. (82); Caruso, R. (46, 57); Castellina, A. (51, 53); Catalani, F. (19); Cataldi, G. (47); Cazon, L. (76); Cerda, M. (10); Čermáková, B. (40); Cermenati, A. (44, 45); Chinellato, J.A. (22); Chudoba, J. (31); Chytka, L. (32); Clay, R.W. (13); Cobos Cerutti, A.C. (6); Colalillo, R. (49, 59); Conceição, R. (70); Consolati, G. (48, 54); Conte, M. (47, 55); Convenga, F. (44, 45); Correia dosSantos, D. (27); Costa, P.J. (70); Covault, C.E. (81); Cristinziani, M. (43); Cruz Sanchez, C.S. (3); Dasso, S. (2, 4); Daumiller, K. (40); Dawson, B.R. (13); de Almeida, R.M. (27); de Boone, E.-T. (43); de Errico, B. (27); de Jesús, J. (7); de Jong, S.J. (77, 78); de Mello Neto, J.R.T. (27); De Mitri, I. (44, 45); de Oliveira, J. (18); de Oliveira Franco, D. (42); de Palma, F. (47, 55); de Souza, V. (20); De Vito, E. (47, 55); Del Popolo, A. (46, 57); Deligny, O. (33); Denner, N. (31); Deval, L. (51, 53); di Matteo, A. (51); Dobrigkeit, C. (22); D’Olivo, J.C. (67); Domingues Mendes, L.M. (16, 70); Dorosti, Q. (43); dos Anjos, J.C. (16); dos Anjos, R.C. (26); Ebr, J. (31); Ellwanger, F. (40); Engel, R. (38, 40); Epicoco, I. (47, 55); Erdmann, M. (41); Etchegoyen, A. (7, 12); Evoli, C. (44, 45); Falcke, H. (77, 78, 79); Farrar, G. (85); Fauth, A.C. (22); Fehler, T. (43); Feldbusch, F. (39); Fernandes, A. (70); Fernandez, M. (14); Fick, B. (84); Figueira, J.M. (7); Filip, P. (7, 38); Filipčič, A. (73, 74); Fitoussi, T. (40); Flaggs, B. (87); Fodran, T. (77); Franco, A. (47); Freitas, M. (70); Fujii, T. (86); Fuster, A. (7, 12); Galea, C. (77); García, B. (6); Gaudu, C. (37); Ghia, P.L. (33); Giaccari, U. (47); Gobbi, F. (10); Gollan, F. (7); Golup, G. (1); Gómez Berisso, M. (1); Gómez Vitale, P.F. (11); Gongora, J.P. (11); González, J.M. (1); González, N. (7); Góra, D. (68); Gorgi, A. (51, 53); Gottowik, M. (40) ","(1) Centro Atómico Bariloche, Instituto Balseiro (CNEA-UNCuyo-CONICET), San Carlos de Bariloche, Argentina (2) Departamento de Física, Departamento de Ciencias de la Atmósfera y los Océanos, FCEyN, Universidad de Buenos Aires, CONICET, Buenos Aires, Argentina (3) IFLP, Universidad Nacional de La Plata, CONICET, La Plata, Argentina (4) Instituto de Astronomía y Física del Espacio (IAFE, CONICET-UBA), Buenos Aires, Argentina (5) Instituto de Física de Rosario (IFIR), CONICET, U.N.R., Facultad de Ciencias Bioquímicas y Farmacéuticas U.N.R., Rosario, Argentina (6) Instituto de Tecnologías en Detección y Astropartículas (CNEA, CONICET, UNSAM), Universidad Tecnológica Nacional, Facultad Regional Mendoza (CONICET/CNEA), Mendoza, Argentina (7) Instituto de Tecnologías en Detección y Astropartículas (CNEA, CONICET, UNSAM), Buenos Aires, Argentina (8) International Center of Advanced Studies, Instituto de Ciencias Físicas, ECyT-UNSAM, CONICET, Campus Miguelete – San Martín, Buenos Aires, Argentina (9) Laboratorio Atmósfera, Departamento de Investigaciones en Láseres y sus Aplicaciones, UNIDEF (CITEDEFCONICET), Argentina (10) Observatorio Pierre Auger, Malargüe, Argentina (11) Observatorio Pierre Auger and Comisión Nacional de Energía Atómica, Malargüe, Argentina (12) Universidad Tecnológica Nacional, Facultad Regional Buenos Aires, Buenos Aires, Argentina (13) University of Adelaide, Adelaide; SA, Australia (14) Université Libre de Bruxelles (ULB), Brussels, Belgium (15) Vrije Universiteit Brussels, Brussels, Belgium (16) Centro Brasileiro de Pesquisas Fisicas, RJ, Rio de Janeiro, Brazil (17) Centro Federal de Educação Tecnológica Celso Suckow da Fonseca, Petropolis, Brazil (18) Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro (IFRJ), Brazil (19) Universidade de São Paulo, Escola de Engenharia de Lorena, SP, Lorena, Brazil (20) Universidade de São Paulo, Instituto de Física de São Carlos, SP, São Carlos, Brazil (21) Universidade de São Paulo, Instituto de Física, SP, São Paulo, Brazil (22) Universidade Estadual de Campinas (UNICAMP), IFGW, SP, Campinas, Brazil (23) Universidade Estadual de Feira de Santana, Feira de Santana, Brazil (24) Universidade Federal de Campina Grande, Centro de Ciencias e Tecnologia, Campina Grande, Brazil (25) Universidade Federal do ABC, SP, Santo André, Brazil (26) Universidade Federal do Paraná, Setor Palotina, Palotina, Brazil (27) Universidade Federal do Rio de Janeiro, Instituto de Física, RJ, Rio de Janeiro, Brazil (28) Universidad de Medellín, Medellín, Colombia (29) Universidad Industrial de Santander, Bucaramanga, Colombia (30) Charles University, Faculty of Mathematics and Physics, Institute of Particle and Nuclear Physics, Prague, Czech Republic (31) Institute of Physics of the Czech Academy of Sciences, Prague, Czech Republic (32) Palacky University, Olomouc, Czech Republic (33) CNRS, IN2P3, IJCLab, Université Paris-Saclay, Orsay, France (34) Laboratoire de Physique Nucléaire et de Hautes Energies (LPNHE), Sorbonne Université, Université de Paris, CNRSIN2P3, Paris, France (35) Univ. Grenoble Alpes, CNRS, Grenoble Institute of Engineering Univ. Grenoble Alpes, LPSC-IN2P3, Grenoble; 38000, France (36) Université Paris-Saclay, CNRS, IN2P3, IJCLab, Orsay, France (37) Bergische Universität Wuppertal, Department of Physics, Wuppertal, Germany (38) Karlsruhe Institute of Technology (KIT), Institute for Experimental Particle Physics, Karlsruhe, Germany (39) Karlsruhe Institute of Technology (KIT), Institut für Prozessdatenverarbeitung und Elektronik, Karlsruhe, Germany (40) Karlsruhe Institute of Technology (KIT), Institute for Astroparticle Physics, Karlsruhe, Germany (41) RWTH Aachen University, III. Physikalisches Institut A, Aachen, Germany (42) Universität Hamburg, II. Institut für Theoretische Physik, Hamburg, Germany (43) Universität Siegen, Department Physik – Experimentelle Teilchenphysik, Siegen, Germany (44) Gran Sasso Science Institute, L’Aquila, Italy (45) INFN Laboratori Nazionali del Gran Sasso, L’Aquila, Assergi, Italy (46) INFN, Sezione di Catania, Catania, Italy (47) INFN, Sezione di Lecce, Lecce, Italy (48) INFN, Sezione di Milano, Milano, Italy (49) INFN, Sezione di Napoli, Napoli, Italy (50) INFN, Sezione di Roma 'Tor Vergata', Roma, Italy (51) INFN, Sezione di Torino, Torino, Italy (52) Istituto di Astrofisica Spaziale e Fisica Cosmica di Palermo (INAF), Palermo, Italy (53) Osservatorio Astrofisico di Torino (INAF), Torino, Italy (54) Politecnico di Milano, Dipartimento di Scienze e Tecnologie Aerospaziali, Milano, Italy (55) Università del Salento, Dipartimento di Matematica e Fisica 'E. De Giorgi', Lecce, Italy (56) Università dell’Aquila, Dipartimento di Scienze Fisiche e Chimiche, L’Aquila, Italy (57) Università di Catania, Dipartimento di Fisica e Astronomia 'Ettore Majorana', Catania, Italy (58) Università di Milano, Dipartimento di Fisica, Milano, Italy (59) Università di Napoli 'Federico II', Dipartimento di Fisica 'Ettore Pancini', Napoli, Italy (60) Università di Palermo, Dipartimento di Fisica e Chimica 'E. Segrè', Palermo, Italy (61) Università di Roma 'Tor Vergata', Dipartimento di Fisica, Roma, Italy (62) Università Torino, Dipartimento di Fisica, Torino, Italy (63) Benemérita Universidad Autónoma de Puebla, Puebla, Mexico (64) Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas del Instituto Politécnico Nacional (UPIITA-IPN), D.F., México, Mexico (65) Universidad Autónoma de Chiapas, Chiapas, Tuxtla Gutiérrez, Mexico (66) Universidad Michoacana de San Nicolás de Hidalgo, Michoacán, Morelia, Mexico (67) Universidad Nacional Autónoma de México, D.F., México, Mexico (68) Institute of Nuclear Physics PAN, Krakow, Poland ","Proceedings of Science","","Sissa Medialab Srl","v 501","","December 30, 2025","ICRC 2025 - 39th International Cosmic Ray Conference","2025","","18248039","","10.22323/1.501.0342","342","39th International Cosmic Ray Conference, ICRC 2025","July 15, 2025 - July 24, 2025","","Since 2014, the Pierre Auger Observatory has exploited a dedicated trigger and its very high time resolution to study ELVES and harvest record samples of multiple ELVES using the Fluorescence Detector (FD). In 2017, after extending the readout of trace lengths to 0.9 ms, we started observing other types of light transients from the base of the ionosphere, such as HALOS, which deserved further investigation. In December 2023 and April 2024, we installed two additional cameras (TLECAMs), which allow us to perform simultaneous detection of these transients with higher space resolution and longer integration times. Here, we present our first simultaneous observations of SPRITES and ELVES by both TLECAMs and FD. Furthermore, we describe the Python algorithm based on DBSCAN to automatically detect SPRITES in the videos recorded by our TLECAMs and acquire data efficiently without needing the FD trigger. © Copyright owned by the author(s)","16","Augers","Computer software - Finite difference method - Observatories","Fluorescence detector - Higher time resolution - Integration time - Long integrations - Pierre Auger observatory - Simultaneous detection - Simultaneous observation - Space resolutions - Trace length","502 Mines and Quarry Equipment and Operations - 656.2 Space Research - 1106.9 Computer Software - 1201.9 Numerical Methods","",,,,"All Open Access, Gold, Green","Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Anomalous diffusion of self-propelled particles","J Sevilla, F. (1); Chacon-Acosta, G. (2, 3); Sandev, T. (4, 5, 6) ","(1) Universidad Nacional Autonoma de Mexico, Instituto de Fisica, Apdo. Postal 20-364, Mexico (2) Universidad Autonoma Metropolitana-Cuajimalpa, Departamento de Matematicas Aplicadas y Sistemas, Vasco de Quiroga 4871, Santa Fe, Cuajimalpa, Mexico (3) University of Potsdam, Institute of Physics and Astronomy, Germany (4) Macedonian Academy of Sciences and Arts, Research Center for Computer Science and Information Technologies, Bul. Krste Misirkov 2, Macedonia (5) Ss. Cyril and Methodius University, Faculty of Natural Sciences and Mathematics, Arhimedova 3, Macedonia (6) Korea University, Department of Physics, Korea, Republic of ","Journal of Physics A: Mathematical and Theoretical","","IOP Publishing, UK","v 57, n 33","335004 (23 pp.)","2024","","","1751-8121","","","10.1088/1751-8121/ad6720","","","","","The transport equation of active motion is generalised to consider time-fractional dynamics to describe the anomalous diffusion of self-propelled particles. In the present study, we consider an arbitrary active motion pattern modelled by a scattering function that defines the dynamics of the change of the self-propulsion direction. The exact probability density of the particle positions at a given time is obtained. From it, the time dependence of the firsts moments, i.e. the mean square displacement and the kurtosis for an arbitrary scattering function, are derived and analysed. Anomalous diffusion is found with a crossover of the scaling exponent from 2α in the short-time regime to α in the long-time one, 0α< 1 being the order of the fractional derivative considered. It is shown that the exact solution found satisfies a fractional diffusion equation that accounts for the non-local and retarded effects of the Laplacian of the probability density function through a coupled temporal and spatial memory function. Such a memory function holds the complete information of the active-motion pattern. In the long-time regime, space and time are decoupled in the memory function, and the time fractional telegrapher's equation is recovered. The theoretical framework presented here can be applied as model of active motion that exhibits anomalous diffusion.","96",,"diffusion - probability","active-motion pattern - anomalous diffusion - arbitrary active motion pattern - arbitrary scattering function - coupled temporal memory function - exact probability density - fractional diffusion equation - mean square displacement - particle positions - probability density function - self-propelled particles - short-time regime - spatial memory function - time dependence - time fractional telegrapher equation - time-fractional dynamics - transport equation","A0230 Function theory, analysis - A0250 Probability theory, stochastic processes, and statistics - A0540 Fluctuation phenomena, random processes, and Brownian motion - A0560 Transport processes: theory","","Bibliography (BIB); Theoretical or Mathematical (THR)",,,"All Open Access, Green","Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Electromagnetic guided waves in composite liquid crystal-based interfaces","Reyes, G. (1); Panayotaros, P. (1); Reyes, J.A. (2) ","(1) Universidad Nacional Autonoma de Mexico, Departamento de Matematicas y Mecanica, Mexico (2) Universidad Nacional Autonoma de Mexico, Departamento de Fisica Quimica, Mexico ","Journal of Applied Physics","","AIP Publishing, USA","v 135, n 2","023103 (12 pp.)","2024","","","1089-7550","","","10.1063/5.0174413","","","","","We study an air-crown glass planar interface that includes a thin layer of a cholesteric liquid crystal doped with silver spheres of nanometer size. We propose a new theoretical model for the propagation of electromagnetic waves through the liquid crystal part and use the Marcuvitz-Schwinger form of the Maxwell equations to compute guided surface wave profiles. The results suggest the presence of anisotropic surface modes with negligible attenuation. The dependence of the surface wave parameters on the liquid crystal layer parameters can be used in liquid crystal-based sensors. [The copyright for the referenced work is owned by Author(s). Copies of full-text articles should only be made or obtained from the publisher or authorized sources.]","41",,"cholesteric liquid crystals - electromagnetic wave attenuation - electromagnetic wave propagation - Maxwell equations - silver - surface electromagnetic waves","Ag/el - air-crown glass planar interface - anisotropic surface modes - cholesteric liquid crystal - composite liquid crystal-based interfaces - electromagnetic guided waves - electromagnetic wave propagation - guided surface wave profiles - liquid crystal layer parameters - liquid crystal part - liquid crystal-based sensors - Marcuvitz-Schwinger form - Maxwell equations - nanometer size - negligible attenuation - silver spheres - surface wave parameters","A4110H Electromagnetic waves: theory - A4270D Liquid crystals (optical materials)","G02F1/13 - C09K19/00","Theoretical or Mathematical (THR)",,,"All Open Access, Hybrid Gold","Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
