Title,Author,Author affiliation,Source,Sponsor,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,ISSN,E-ISSN,ISBN13,DOI,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
"AI-Enhanced Supercomputing for Next-Generation Astronomical Data Processing in Latin America: A Case Study of the ALMA Observatory","Lefranc, Gastón (1); Gatica, Gabriel (2); Vásquez, Edison (3); Peña, Mario (4) ","(1) Pontificia Universidad Católica de Valparaíso, Avda. Brasil2950, Valparaíso; 2430000, Chile (2) Startup I+D+i Inteligencia Artificial, ARTIFICYAN, Viña del Mar, Chile (3) JhedAI Startup., Viña del Mar, Chile (4) IIMAS-UNAM, Ciudad de México, Mexico ","Procedia Computer Science","","Elsevier B.V.","v 266","p 150-157","2025","12th International Conference on Information Technology and Quantitative Management, ITQM 2025","2025","","18770509","","10.1016/j.procs.2025.08.019","12th International Conference on Information Technology and Quantitative Management, ITQM 2025","August 15, 2025 - August 17, 2025","","This paper presents a proposal for improving the data processing workflow within an AI-powered supercomputing framework for the Atacama Large Millimetre/submillimeter Array (ALMA) Observatory. This framework aims to reduce processing times by 40% to 60%, improve image resolution, and increase data calibration accuracy. A high-performance computing (HPC) architecture with a GPU and artificial intelligence (AI) hardware for astronomical data management is described. The importance of such infrastructure for scientific advancement in developing countries is highlighted by analyzing implementation strategies, cost-benefit analyses, and technology transfer. © 2025 The Authors.","28","Radio astronomy","Computer architecture - Cost benefit analysis - Data handling - Image resolution - Information management - Observatories - Supercomputers - Technology transfer","Astronomical data - Atacama Large Millimeter/sub-millimeter Array (ALMA) - Atacamum large millimeter/submillimeter array observatory - Case-studies - GPU accelerations - High-performance computing - Latin America - Performance computing - Supercomputing - Work-flows","656.2 Space Research - 716.3 Radio Systems and Equipment - 903 Information Science - 911.1 Cost Accounting - 912.2 Management - 1103.4 Digital Computers and Systems - 1104 Computer Architecture - 1106.2 Data Handling and Data Processing - 1106.3.1 Image Processing - 1302 Astronomy","",,,,"All Open Access, Gold","Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Numerical Modeling for Tunnel Lining Optimization","Suárez-Fino, J.F. (1); Mayoral, J.M. (1) ","(1) National Autonomous University of Mexico, Geotechnical Department, Mexico ","Applied Sciences","","MDPI, Switzerland","v 14, n 16","7415 (26 pp.)","2024","","","2076-3417","","","10.3390/app14167415","","","","The construction of tunnels excavated by the conventional method in densely populated urban environments requires an adequate characterization of the loads acting on the primary lining during the excavation process, to ensure that the ground is deformed and stresses around the tunnel are relieved, simultaneously complying with the failure and serviceability limits of international standards while minimizing damage to nearby structures. In this paper, common lining design criteria are revisited, through the numerical simulation of an instrumented tunnel section which is part of a 4.5 km long metro line currently under construction in Mexico City. Key needs for improvement in current design approaches are identified. The tunnel was instrumented with load cells, extensometers, and topographical references for convergences and divergences. A three-dimensional finite difference model of the instrumented section was developed, and the load transfer mechanisms between the excavated soil and the primary lining were analyzed. Then, the numerical simulation of the contribution of the secondary lining in the overall stability for sustained load was established, along with the expected ground settlements, which can significantly affect nearby structures. Results gathered from this research are key for updating lining design criteria for urban tunnels built in stiff brittle soils.","52",,"deformation - geotechnical engineering - numerical analysis - soil - tunnels","adequate characterization - common lining design criteria - current design approaches - densely populated urban environments - excavated soil - excavation process - expected ground settlements - failure - instrumented section - instrumented tunnel section - international standards - km long metro line - load cells - load transfer mechanisms - minimizing damage - nearby structures - numerical modeling - numerical simulation - primary lining - secondary lining - serviceability limits - size 4.5 km - sustained load - three-dimensional finite difference model - tunnel lining optimization - urban tunnels","E0210L Numerical analysis - E1400 Design - E1710 Engineering materials - E2110D Geotechnical structures - E2180C Buckling and instability (mechanical engineering) - E2180B Plasticity (mechanical engineering) - E2180A Elasticity (mechanical engineering) - E3030 Construction industry","E02D29/00 - E21D","Practical (PRA); Theoretical or Mathematical (THR)",,,"All Open Access, Gold","Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Numerical Modelling of 2012 Intra-Eruptive Lahar in the Alcalican Valley (Iztaccíhuatl, Central Mexico) Using Hec-Ras Open-Source Software and Dendrogeomorphology","Figueroa-García, José Ernesto (1); Franco-Ramos, Osvaldo (2); Caballero, Lizeth (3); Ballesteros-Cánovas, Juan Antonio (4); Bodoque, José María (5) ","(1) Universidad Nacional Autónoma de México, Ciudad Universitaria Coyoacán, Ciudad de México; 04510, Mexico (2) Instituto de Geografía, Universidad Nacional Autónoma de México, Ciudad Universitaria, Coyoacán, Ciudad de México; 04510, Mexico (3) Escuela Nacional de Ciencias de la Tierra, ENCiT, Universidad Nacional Autónoma de México, UNAM, Ciudad de México, Mexico (4) University of Geneva, Switzerland (5) Department of Mining and Geological Engineering, University of Castilla-La Mancha, UCLM, Av. Carlos III s/n, Toledo; 45071, Spain ","SSRN","","SSRN","","","March 25, 2024","","2024","15565068","","","10.2139/ssrn.4771693","","","","AbstractLahars are frequent hydrovolcanic processes in volcanic mountain that can significantly transform the landscape due to the high energy of the sediment-laden flow as it moves downhill. This phenomenon tends to be unpredictable and has numerous negative effects on populations worldwide. To anticipate them, it is necessary to understand their possible triggering mechanisms and their spatio-temporal behavior, but baseline data are largely lacking in most volcanic mountains. In this study, we focus on reconstructing a lahar that occurred in the Alcalican valley of Iztaccíhuatl volcano (Mexico). We utilized dendrogeomorphological methods and numerical modelling to achieve this. By sampling trees (Pinus hartwegii) with lahar disturbance, we were able to determine the seasonal timing of the event. To estimate the discharge of the lahar and the affected area, we employed numerical modeling from HEC-RAS open-source software, and analyzed the scars on trees, which were considered as Paleo Stage Indicators (PSI) of the lahar flow. Our findings show that the event occurred in 2012 was likely triggered by a landslide on the steeper slopes of a valley wall caused by intense rainfalls (48 mm/24h) during the passage of the 'Ernesto' hurricane. We estimated a peak discharge of 5 m3/s with a maximum flow thickness of approximately 3 m. These values are relatively low, compared to other volcanic fluvial systems, suggest a complex and mixed dynamic and rheological conditions caused by the evolution of the rockslide into a lahar. These results demonstrate the value of combining several precise methods, which can be replicated in other regions to enhance our understanding of geomorphological processes in mountain environments. Additionally, this study provides insights into the formation and distribution of lahar flows in inactive volcano ravines. This knowledge will prove invaluable in the development of geomorphic-based risk management plans. © 2024, The Authors. All rights reserved.","70","Numerical models","Landslides - Numerical methods - Open source software - Open systems - Risk management - Volcanoes","Central Mexico - Dendrogeomorphology - Energy - HEC-RAS - Lahar - Open-source softwares - Paleo stage indicator - Sediment laden flows - Triggering mechanism - Volcanics","484 Seismology - 723 Computer Software, Data Handling and Applications - 921 Mathematics - 921.6 Numerical Methods","",,,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Numerical analysis on the effect of obstacles in the mixing dynamics of a supersonic natural gas jet","Zamudio-Fernández, I. (1); Salinas-Vázquez, M. (1); Vicente, W. (1) ","(1) Universidad Nacional Autonoma de Mexico, Instituto de Ingeniería, Mexico ","Physica D: Nonlinear Phenomena","","Elsevier B.V., Netherlands","v 481","134840","Nov. 2025","","","1872-8022","","","10.1016/j.physd.2025.134840","","","","The mixing dynamics of a supersonic natural gas jet in different tubes was investigated numerically using Large Eddy Simulation (LES). The three-dimensional geometries of eight tubes were evaluated to compare pressure, mass fraction, and velocity field evolution; a straight cylindrical tube serves as the reference case. Two cases feature tubes narrowing towards the outlet (one with 2.2 degrees of inclination and another with 3.7 degrees of inclination), and five other cases with 2.2 degrees of inclination and one, two, three, four, or six obstacles added—which decrease the tube diameter. The code employed in this study was validated against three jet cases, showing good agreement with experimental and numerical data. Turbulent regions coincided with regions of maximum natural gas mass fraction. As the number of obstacles increases in each case, mixing enhancement, turbulent regions and pressure gains were higher. The cases with the most obstacles were found to be the ones that had the best mixing enhancement as well as the greatest pressure gains along the length of the tube. The best performing case had an increase in natural gas mass fraction of 13% and in pressure gains of 5% with respect to the reference case, as well as a faster advancement of natural gas. Obstacles too close to the nozzle reduced natural gas advancement and velocity. All rights reserved Elsevier.","55",,"flow simulation - jets - mixing - natural gas - nozzles - numerical analysis - supersonic flow - turbulence","different tubes - experimental data - greatest pressure gains - jet cases - maximum natural gas mass fraction - mixing dynamics - mixing enhancement - natural gas advancement - numerical analysis - numerical data - obstacles increases - performing case - reference case - straight cylindrical tube - supersonic natural gas jet - tube diameter - turbulent regions - velocity field evolution","E2120 Heat and thermodynamic processes (mechanical engineering) - E2130 Fluid mechanics and aerodynamics (mechanical engineering) - A4710 General fluid dynamics theory, simulation and other computational methods - A4755E Nozzles - A4755C Jets in fluid dynamics - A4785 Applied fluid mechanics","F15D","Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Experimental study and mathematical modeling of the pectinases production by Aspergillus flavipes FP-500 in an airlift bioreactor","Hernandez-Acevedo, A.G. (1); Membrillo-Venegas, I.D.L.L. (1); Arcos-Casarrubias, J.A. (1); Aguilar-Osorio, G. (2); Trujillo, M.A.M. (1); Cruz Diaz, M.R. (1, 3) ","(1) Tecnologico Nacional de Mexico, Tecnologico de Estudios Superiores de Ecatepec, Av. Tecnológico esq. Av. Carlos Hank González, Mexico (2) Universidad Nacional Autonoma de Mexico, Departamento de Alimentos y Biotecnología, Mexico (3) Universidad Nacional Autonoma de Mexico, Departamento de Ingenieria y Tecnología, Av. 1. de mayo s/n Colonia Santa Ma. Las Torres, Mexico ","Biochemical Engineering Journal","","Elsevier B.V., Netherlands","v 211","109472","2024","","","1873-295X","","","10.1016/j.bej.2024.109472","","","","Mathematical models are indispensable for designing, optimizing, and controlling large-scale bioprocesses. In the present work, the production of pectinases was studied experimentally using an internal loop airlift bioreactor, pectin as a substrate, and Aspergillus flavipes FP-500 as a biocatalyst. The N-tanks-in-series (NTIS) model was implemented to predict the behavior of fungal growth, pectin and dissolved oxygen consumption, pectinases production, and the oxygen mass transfer rate from gas phase to liquid culture medium. A double Monod-Logistic kinetic model was used to describe the biomass growth rate as a function of biomass, pectin, and dissolved oxygen concentrations. In contrast, a Luedeking-Piret kinetic model was used to describe the production rate of endo and exo pectinases. A hydrodynamic model was utilized to estimate gas hold-ups, volumetric mass transfer coefficients, and air inflow velocities. Good agreement was observed between the experimental data and the theoretical results, demonstrating the predictive capacity of the NTIS model to describe pectinase production, the oxygen consumption rate, and the oxygen evolution in the gas phase. The model highlighted its robust capability to capture the critical parameters of aerobic fermentation processes. Therefore, it could be used as a tool for the scalability of the airlift bioreactors. All rights reserved Elsevier.","38",,"batch processing (industrial) - bioreactors - biotechnology - enzymes - fermentation - hydrodynamics - mass transfer - microorganisms - oxygen - tanks (containers)","Aspergillus flavipes FP-500 - biomass growth rate - dissolved oxygen concentrations - dissolved oxygen consumption - endo - exo pectinases - fungal growth - gas hold-ups - gas phase - hydrodynamic model - internal loop airlift bioreactor - Luedeking-Piret kinetic model - mathematical modeling - mathematical models - N-tanks-in-series model - NTIS model - oxygen consumption rate - oxygen evolution - oxygen mass transfer rate - pectin - pectinase production - pectinases production - production rate - volumetric mass transfer coefficients","E1525 Industrial processes - E1560 Production equipment - E3626 Chemical industry - E3628 Biotechnology industry","C12 - B65D","Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Simulation Model to the Online Course Advising","Pérez, Alejandro Felipe Zárate (1); de la Mota, Idalia Flores (1) ","(1) Universidad Nacional Autónoma de México, Av. Universidad 3004, Col Copilco Universidad, Ciudad de México, Coyoacán; 04510, Mexico ","Communications in Computer and Information Science","","Springer Science and Business Media Deutschland GmbH","v 2033 CCIS","p 98-109","2024","Simulation for a Sustainable Future - 11th Congress, EUROSIM 2023, Proceedings","2024","18650929","18650937","9783031684371","10.1007/978-3-031-68438-8_8","11th EUROSIM Congress on Simulation for a Sustainable Future, EUROSIM 2023","July 3, 2023 - July 5, 2023","","The processes involved in online teaching have been inherited from traditional face-to-face courses, in almost every case we transfer the face-to-face to the virtual without making an analysis about how the things work in virtuality. In this paper we propose a simulation model for the course taught process, and from the model we will review a point that we assume to be definitive: the quantity of hours that an advisor dedicates to grading a course. Even the size of the student's group assigned to an advisor is defined by administrative policy but not necessarily by the needs of the training program, which one can be different according to the project's aim. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","7",,"Adversarial machine learning - Digital elevation model","E - learning - E-learning analytic - Face to face - Online course - Online teaching - Optimisations - Simulation - Simulation model - Student groups - Teaching analytics","1101.2 Machine Learning - 1106.2 Data Handling and Data Processing - 1106.3.1 Image Processing","",,,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Development and Hydrodynamic Performance of an Oscillating Buoy-Type Wave Energy Converter","Berrio, Y. (1, 2); Rivillas-Ospina, G. (1, 3); Posada Vanegas, G. (4); Silva, R. (5); Mendoza, E. (5); Pugliese, V. (6); Sisa, A. (1) ","(1) Universidad del Norte, Department of Civil and Environmental Engineering, Colombia (2) University of La Guajira, Faculty of Engineering, Colombia (3) World Association for Waterborne Transport Infrastructure, Ecohydrology and Ecohydraulics Research Network, Colombia (4) Universidad Autonoma de Campeche, Instituto EPOMEX, Av. Héroe de Nacozari 480, Mexico (5) Universidad Nacional Autonoma de Mexico, Institute of Engineering, Mexico (6) Universidad del Norte, Department of Mechanical Engineering, Colombia ","Energies","","MDPI, Switzerland","v 18, n 16","4383 (27 pp.)","2025","","","1996-1073","","","10.3390/en18164383","","","","The development of wave energy converters (WECs) faces several technical challenges, particularly enhancing the capturing efficiency, improving the conversion of mechanical to electric energy, and reducing energy losses in the transmission of electricity to land-based facilities. The present study is an assessment of the interaction between an oscillating buoy-type wave energy converter (WEC) and waves using experimental and numerical methods. A small-scale model was tested in a wave tank to evaluate its energy capturing efficiency, taking wave heights and periods as independent variables. The recorded data were used to validate OpenFOAM (version 9.0) simulations, which provided insights into system response characteristics. The findings highlight the critical role of resonance in optimizing energy capture, with maximum efficiency observed for medium wave periods, and with specific buoy configurations. The study also identified an inverse relationship between the capture width ratio and wave height, suggesting the need for customized buoy designs, tailored to specific sea states. The integrated approach used in this research provides a comprehensive understanding of WEC behaviour and offers valuable insights for advancing wave energy technologies and improving their sustainability and efficiency in diverse marine environments.","80",,"hydrodynamics - marine systems - numerical analysis - wave power generation - wave power plants","customized buoy designs - electric energy - electricity transmission - energy capturing efficiency - energy losses - hydrodynamic performance - marine environments - numerical methods - oscillating buoy-type wave energy converter - sustainability - system response characteristics - wave height - wave tank - WEC behaviour","A0260 Numerical approximation and analysis - B0290Z Other numerical methods - B8240B Wave power - A8610F Tidal and flow energy","","Bibliography (BIB); Practical (PRA); Theoretical or Mathematical (THR); Experimental (EXP)",,,"All Open Access, Gold","Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Spreading of a diffusive soluble surfactant in a deep layer with inertial effects","Banos, R. (1); Mendez, F. (2); Bautista, O. (1); Arcos, J. (1) ","(1) ESIME Azcapotzalco, Instituto Politecnico Nacional, Avenida de las Granjas 682, Mexico (2) Universidad Nacional Autonoma de Mexico, Departamento de Termofluidos, Mexico ","Physical Review E","","APS - American Physical Society, USA","v 111, n 5","055501 (14 pp.)","00 May 2025","","","2470-0053","","","10.1103/PhysRevE.111.055501","","","","In this study, we conduct a numerical analysis of the spreading dynamics of a soluble and diffusive surfactant in a deep layer of Newtonian fluid. We investigate three different initial conditions for the surfactant distributions: a Gaussian pulse, a Cauchy hole, and a periodic distribution. We solved the momentum equations in the Stokes limit (Re→0) and also considering inertial effects (Re≫1), where Re denotes the Reynolds number. Furthermore, we include the convective-diffusion equation for both nondiffusive (Pes and Pe→∞) and diffusive (finite Pes and Pe) surfactants, with Pes and Pe representing surface and bulk Péclet numbers, respectively. The governing equations are coupled through a tangential stress balance at the interface, where a nonlinear Langmuir equation of state relates interfacial surface tension to surfactant concentration. The temporal evolution of the initial surfactant distribution is primarily influenced by several dimensionless parameters: the bulk and surface Péclet numbers, the Biot number (Bi), the solubility parameter (β), and the dimensionless surfactant depletion depth (α). Our findings indicate that the initial surfactant concentration is diminished due to diffusivity, and its decay toward a homogeneous state is significantly affected by solubility. The adsorption and desorption processes operate as an equilibrium mechanism that tends to homogenize the surface surfactant concentration.","40",,"adsorption - convection - desorption - diffusion - flow simulation - numerical analysis - solubility - surface tension - surfactants - two-phase flow","Biot number - Cauchy hole - convective-diffusion equation - deep layer - diffusive soluble surfactant - diffusive surfactant - diffusivity - dimensionless parameters - dimensionless surfactant depletion depth - Gaussian pulse - governing equations - inertial effects - interfacial surface tension - momentum equations - Newtonian fluid - nonlinear Langmuir equation - numerical analysis - periodic distribution - Reynolds number - solubility parameter - spreading dynamics - Stokes limit - surface surfactant concentration - surfactant concentration - surfactant distribution - surfactant distributions - tangential stress balance","A0230 Function theory, analysis - A0260 Numerical approximation and analysis - A4710 General fluid dynamics theory, simulation and other computational methods - A4725Q Convection and heat transfer - A4755K Multiphase flows (including two-phase flow and drops) - A4760 Flows in ducts, channels, and conduits - A6810G Fluid interface activity, spreading - A6810C Fluid surface energy (surface tension, interface tension, angle of contact, etc.)","","Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Large-Scale Validation and Analysis of the Rejection Capacity in Entropic Associative Memory","Borquez, Angel Fernando (1); Morales, Rafael (2); Pineda, Luis A. (3) ","(1) Universidad de Sonora, Jalisco, Guadalajara, Mexico (2) Universidad de Guadalajara, Jalisco, Guadalajara, Mexico (3) Universidad Nacional Autónoma de México, Jalisco, Guadalajara, Mexico ","2025 Mexican International Conference on Computer Science, ENC 2025","","Institute of Electrical and Electronics Engineers Inc.","","","2025","2025 Mexican International Conference on Computer Science, ENC 2025","2025","","","9798331590260","10.1109/ENC68268.2025.11311908","2025 Mexican International Conference on Computer Science, ENC 2025","November 10, 2025 - November 14, 2025","","The Entropic Associative Memory (EAM) is a cognitively inspired computational model that combines probabilistic recognition with an efficient pattern storage and retrieval architecture. Previous evaluations, limited to small domains of about ten classes and a few thousand instances per class, showed promising results in classification and reconstruction. This work extends those studies in two ways. First, we assess scalability using Googles Quick, Draw! dataset, which includes over 300 classes and 100,000 instances per class. Second, we test EAMs rejection capability by storing only half of the classes and evaluating performance on the full dataset. Results confirm EAMs adaptability to large-scale scenarios and its effective rejection of novel stimuli, underscoring its potential as a robust and explainable AI model. © 2025 IEEE.","9","Scalability","Associative storage - Computation theory - Memory architecture - Statistical tests","Associative memory - Computational modelling - Entropic associative memory - Large-scales - Open-set recognition - Quick draw - Rejection - Rejection capacity - Scale analysis - Scale validation","961 Systems Science - 1102.1 Computer Theory, Includes Computational Logic, Automata Theory, Switching Theory, Programming Theory - 1103 Computer Systems and Equipment - 1103.1 Data Storage, Equipment and Techniques - 1104 Computer Architecture - 1106 Computer Software, Data Handling and Applications - 1202.2 Mathematical Statistics","",,"Number: -, Acronym: -, Sponsor: Universidad de Guadalajara; ","The work was conducted during the first author s summer stay at the University of Guadalajara, supported by a scholarship from the Programa Delf n.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Modelling and simulation of a trickling filter bioreactor for ex-situ hydrogenotrophic methanation","Ortiz-Ricárdez, F.A. (1); Muñoz-Páez, K.M. (1); Vargas, A. (1) ","(1) UNAM, Laboratory for Research on Advanced Processes for Water Treatment, Mexico ","IFAC PapersOnLine","","Elsevier B.V., Netherlands","v 59, n 6","445-50","2025","","","2405-8963","","","10.1016/j.ifacol.2025.07.186","","","","A mathematical modelling approach for a hydrogenotrophic methanation process in a trickling filter bioreactor (TFB) is formulated and simulated. As other works have suggested, the proposed model partitions the physical space in an arbitrary number of vertical levels and uses the first Fickian diffusion law along its vertical axis and along the thickness of the biofilm layer attached to the inert bed material. The biological hydrogenotrophy reaction is modelled using Monod kinetics. According to the ideal gas law, to calculate gas flows among levels, the model approach considers the fixed amount of moles of gas in each TFB level. Simulations of the proposed model were compared to experimental results of ex-situ hydrogenotrophic methanation in a TFB. Model performance against the experimental results of the real reactor fitted remarkably well the effluent proportions within an average 2% error band in the reported best experimental case. It even surpassed real productivity by 20% on average, considering an ideal scenario in which the model formulation assumes that hydrogenotrophic methanation by archaea is the sole biological transformation. A qualitative analysis of important model parameters was crucial for fitting simulation results to real experimental data. Particularly, influent raw biogas proportions near the ideal stoichiometry for hydrogenotrophic methanation is detrimental to purity and productivity of the desired biomethane effluent. The numerical effort needed for simulations was remarkably lower than expected, given the large-sized models the approach may produce. Simulation results provided insight into possible model modifications for further discussion. All rights reserved Elsevier.","8",,"biofuel - bioreactors - biotechnology - chemical reactors - diffusion - effluents - microorganisms - stoichiometry","biological hydrogenotrophy reaction - Fickian diffusion law - gas flows - hydrogenotrophic methanation process - ideal gas law - important model parameters - large-sized models - mathematical modelling approach - model approach - model formulation - model partitions - possible model modifications - reported best experimental case - TFB level - trickling filter bioreactor - vertical levels","E0230 Environmental issues - E1525 Industrial processes - E1560 Production equipment - E3624 Fuel processing industry - E3628 Biotechnology industry","","Theoretical or Mathematical (THR)",,,"All Open Access, Gold","Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
